code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	12636742	6726975	6229323
DE-BY	14656981	7901219	7091038
DE-BE	4200877	2284757	2005130
DE-BB	2652884	1432570	1298720
DE-HB	901403	488598	443937
DE-HH	2148461	1209152	998096
DE-HE	7147977	3923359	3402569
DE-MV	1824201	978409	889962
DE-NI	9370375	5232755	4459049
DE-NW	21584572	11858219	10337435
DE-RP	4808049	2624020	2302926
DE-SL	1239631	679666	592189
DE-SN	4077949	2158663	1998752
DE-ST	2368212	1276117	1169309
DE-SH	3557148	1947217	1711891
DE-TH	2275121	1200646	1125694
