code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4641889	1751737	1734908	1268171
DE-BE	7630015	2834636	2803244	2122532
DE-BUND	527918	201702	194567	139793
DE-BW	22080111	8186302	8181436	6193887
DE-BY	26134235	9696294	9758034	7185128
DE-HB	1593496	611603	601397	428668
DE-HE	12643092	4810464	4653042	3431210
DE-HH	3999591	1527764	1517861	1062336
DE-MV	3200655	1193099	1188716	884880
DE-NI	16901966	6255562	6164502	4916640
DE-NW	38256195	14367570	14053997	10653988
DE-RP	8394690	3165144	3054027	2343035
DE-SH	6471109	2335030	2332144	1938877
DE-SL	2194646	809097	803723	631387
DE-SN	7007596	2642137	2593435	1873657
DE-ST	4174922	1563922	1581349	1137836
DE-TH	3925595	1482186	1476714	1061187
