date	dosen_kumulativ	dosen_differenz_zum_vortag	dosen_erst_differenz_zum_vortag	dosen_zweit_differenz_zum_vortag	dosen_biontech_kumulativ	dosen_moderna_kumulativ	dosen_astrazeneca_kumulativ	personen_erst_kumulativ	personen_voll_kumulativ	impf_quote_erst	impf_quote_voll	indikation_alter_dosen	indikation_beruf_dosen	indikation_medizinisch_dosen	indikation_pflegeheim_dosen	indikation_alter_erst	indikation_beruf_erst	indikation_medizinisch_erst	indikation_pflegeheim_erst	indikation_alter_voll	indikation_beruf_voll	indikation_medizinisch_voll	indikation_pflegeheim_voll
2020-12-27	23567	23567	23567	0	23567	0	0	23567	0	0.00028	0.00000	8634	7774	1281	13036	8634	7774	1281	13036	0	0	0	0
2020-12-28	42308	18741	18741	0	42308	0	0	42308	0	0.00051	0.00000	16423	15166	1968	21869	16423	15166	1968	21869	0	0	0	0
2020-12-29	84963	42655	42655	0	84963	0	0	84963	0	0.00102	0.00000	28858	36727	3044	38598	28858	36727	3044	38598	0	0	0	0
2020-12-30	142965	58002	58002	0	142965	0	0	142965	0	0.00172	0.00000	46273	68154	4645	59526	46273	68154	4645	59526	0	0	0	0
2020-12-31	181584	38619	38619	0	181584	0	0	181584	0	0.00218	0.00000	59369	86808	6463	74886	59369	86808	6463	74886	0	0	0	0
2021-01-01	206337	24753	24753	0	206337	0	0	206337	0	0.00248	0.00000	67118	96772	7538	87486	67118	96772	7538	87486	0	0	0	0
2021-01-02	258311	51974	51974	0	258311	0	0	258311	0	0.00311	0.00000	86430	120475	10019	108504	86430	120475	10019	108504	0	0	0	0
2021-01-03	283304	24993	24993	0	283304	0	0	283304	0	0.00341	0.00000	96351	131328	10949	119084	96351	131328	10949	119084	0	0	0	0
2021-01-04	331948	48644	48644	0	331948	0	0	331948	0	0.00399	0.00000	111676	156385	13609	134899	111676	156385	13609	134899	0	0	0	0
2021-01-05	384383	52435	52435	0	384383	0	0	384383	0	0.00462	0.00000	127918	183904	16044	153058	127918	183903	16044	153058	0	1	0	0
2021-01-06	443472	59089	59089	0	443472	0	0	443472	0	0.00533	0.00000	145835	214847	19458	174206	145835	214846	19458	174206	0	1	0	0
2021-01-07	501888	58416	58416	0	501888	0	0	501888	0	0.00603	0.00000	163624	245251	22462	191993	163623	245250	22462	191993	1	1	0	0
2021-01-08	562228	60340	60340	0	562228	0	0	562228	0	0.00676	0.00000	183172	276805	25754	211722	183167	276804	25754	211722	5	1	0	0
2021-01-09	619421	57193	57193	0	619421	0	0	619421	0	0.00745	0.00000	205516	301509	28067	234591	205507	301508	28067	234591	9	1	0	0
2021-01-10	652706	33285	33285	0	652706	0	0	652706	0	0.00785	0.00000	218745	315623	29336	246399	218734	315622	29336	246399	11	1	0	0
2021-01-11	718377	65671	65671	0	718377	0	0	718377	0	0.00864	0.00000	241710	346939	32281	266669	241699	346938	32281	266669	11	1	0	0
2021-01-12	800564	82187	82187	0	800564	0	0	800564	0	0.00963	0.00000	267229	389376	35433	290907	267218	389375	35433	290907	11	1	0	0
2021-01-13	899565	99001	99001	0	898770	795	0	899565	0	0.01082	0.00000	299588	441606	38855	320397	299577	441605	38855	320397	11	1	0	0
2021-01-14	999679	100114	100000	114	994236	5443	0	999565	114	0.01202	0.00000	325711	492910	41150	353221	325645	492905	41150	353221	66	5	0	0
2021-01-15	1092425	92746	92317	429	1081531	10894	0	1091882	543	0.01313	0.00001	355426	540169	44768	381338	355247	540085	44759	381249	179	84	9	89
2021-01-16	1149537	57112	56715	397	1136785	12752	0	1148597	940	0.01381	0.00001	376401	565261	46807	401213	376031	565070	46737	400922	370	191	70	291
2021-01-17	1194045	44508	30898	13610	1179878	14167	0	1179495	14550	0.01418	0.00017	393115	584847	48530	419056	386425	579764	47865	410823	6690	5083	665	8233
2021-01-18	1268264	74219	57847	16372	1252163	16101	0	1237342	30922	0.01488	0.00037	420385	620675	50638	439633	407925	608514	49439	423972	12460	12161	1199	15661
2021-01-19	1363387	95123	67892	27231	1345763	17624	0	1305234	58153	0.01569	0.00070	452863	669580	53894	466746	430947	644395	51902	440457	21916	25185	1992	26289
2021-01-20	1492147	128760	78103	50657	1473231	18916	0	1383337	108810	0.01663	0.00131	494894	732101	57793	509371	458125	681545	54903	463073	36769	50556	2890	46298
2021-01-21	1588123	95976	60542	35434	1568107	20016	0	1443879	144244	0.01736	0.00173	532386	775996	62021	540401	482657	708255	58129	480672	49729	67741	3892	59729
2021-01-22	1703394	115271	83982	31289	1682040	21354	0	1527861	175533	0.01837	0.00211	573633	827959	65598	582926	511345	745766	60814	508259	62288	82193	4784	74667
