BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
38,69.09,17,30.91,55,0,0,0,0,01001,"Flensburg, Stadt",null,3
109,47.6,120,52.4,229,0,0,0,0,01002,"Kiel, Landeshauptstadt",null,5
113,52.07,104,47.93,217,1,1,0.46,100,01003,"Lübeck, Hansestadt",null,2
19,76,6,24,25,1,1,4,100,01004,"Neumünster, Stadt",null,1
53,98.15,1,1.85,54,0,0,0,0,01051,Dithmarschen,null,1
17,70.83,7,29.17,24,0,0,0,0,01053,Herzogtum Lauenburg,null,2
30,76.92,9,23.08,39,0,0,0,0,01054,Nordfriesland,null,3
36,70.59,15,29.41,51,0,0,0,0,01055,Ostholstein,null,3
30,75,10,25,40,0,0,0,0,01056,Pinneberg,null,2
8,66.67,4,33.33,12,0,0,0,0,01057,Plön,null,1
30,71.43,12,28.57,42,0,0,0,0,01058,Rendsburg-Eckernförde,null,5
15,62.5,9,37.5,24,0,0,0,0,01059,Schleswig-Flensburg,null,1
69,57.5,51,42.5,120,0,0,0,0,01060,Segeberg,null,4
21,42.86,28,57.14,49,0,0,0,0,01061,Steinburg,null,3
28,50.91,27,49.09,55,1,1,1.82,100,01062,Stormarn,null,3
594,71.48,237,28.52,831,12,6,1.44,50,02000,"Hamburg, Freie und Hansestadt",null,34
114,76,36,24,150,1,0,0.67,0,03101,"Braunschweig, Stadt",null,7
22,75.86,7,24.14,29,0,0,0,0,03102,"Salzgitter, Stadt",null,2
23,63.89,13,36.11,36,0,0,0,0,03103,"Wolfsburg, Stadt",null,1
25,78.13,7,21.88,32,1,0,3.13,0,03151,Gifhorn,null,2
37,45.12,45,54.88,82,0,0,0,0,03153,Goslar,null,3
22,64.71,12,35.29,34,0,0,0,0,03154,Helmstedt,null,1
15,65.22,8,34.78,23,2,0,8.7,0,03155,Northeim,null,2
13,59.09,9,40.91,22,0,0,0,0,03157,Peine,null,1
10,62.5,6,37.5,16,0,0,0,0,03158,Wolfenbüttel,null,1
153,76.5,47,23.5,200,2,1,1,50,03159,Göttingen,null,8
364,67.66,174,32.34,538,8,4,1.49,50,03241,Region Hannover,null,18
7,41.18,10,58.82,17,1,1,5.88,100,03251,Diepholz,null,3
59,81.94,13,18.06,72,0,0,0,0,03252,Hameln-Pyrmont,null,6
60,65.22,32,34.78,92,0,0,0,0,03254,Hildesheim,null,7
7,50,7,50,14,0,0,0,0,03255,Holzminden,null,1
15,62.5,9,37.5,24,0,0,0,0,03256,Nienburg (Weser),null,1
22,95.65,1,4.35,23,0,0,0,0,03257,Schaumburg,null,1
37,90.24,4,9.76,41,2,1,4.88,50,03351,Celle,null,3
9,34.62,17,65.38,26,0,0,0,0,03352,Cuxhaven,null,2
