BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2351,72.52,891,27.48,3242,59,31,1.82,52.54,"27,5%",181,Baden-Württemberg
3057,72.36,1168,27.64,4225,60,34,1.42,56.67,"27,6%",254,Bayern
1012,82.61,213,17.39,1225,37,19,3.02,51.35,"17,4%",65,Berlin
665,72.6,251,27.4,916,5,1,0.55,20,"27,4%",57,Brandenburg
180,75.95,57,24.05,237,2,1,0.84,50,"24,1%",14,Bremen
613,73.77,218,26.23,831,14,6,1.68,42.86,"26,2%",34,Hamburg
1762,76.54,540,23.46,2302,31,16,1.35,51.61,"23,5%",116,Hessen
589,73.08,217,26.92,806,1,1,0.12,100,"26,9%",39,Mecklenburg-Vorpommern
1789,67.69,854,32.31,2643,26,13,0.98,50,"32,3%",152,Niedersachsen
5218,72.46,1983,27.54,7201,98,60,1.36,61.22,"27,5%",407,Nordrhein-Westfalen
925,63.53,531,36.47,1456,12,5,0.82,41.67,"36,5%",95,Rheinland-Pfalz
388,68.55,178,31.45,566,3,1,0.53,33.33,"31,5%",23,Saarland
1199,66.98,591,33.02,1790,12,6,0.67,50,33%,95,Sachsen
774,73.3,282,26.7,1056,6,2,0.57,33.33,"26,7%",56,Sachsen-Anhalt
617,58.99,429,41.01,1046,2,2,0.19,100,41%,39,Schleswig-Holstein
650,70.12,277,29.88,927,8,2,0.86,25,"29,9%",44,Thüringen
