BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
32,58.18,23,41.82,55,0,0,0,0,01001,"Flensburg, Stadt",null,3
114,49.78,115,50.22,229,1,1,0.44,100,01002,"Kiel, Landeshauptstadt",null,5
113,52.07,104,47.93,217,0,0,0,0,01003,"Lübeck, Hansestadt",null,2
21,84,4,16,25,2,1,8,50,01004,"Neumünster, Stadt",null,1
39,72.22,15,27.78,54,0,0,0,0,01051,Dithmarschen,null,1
15,62.5,9,37.5,24,0,0,0,0,01053,Herzogtum Lauenburg,null,2
22,56.41,17,43.59,39,0,0,0,0,01054,Nordfriesland,null,3
40,78.43,11,21.57,51,0,0,0,0,01055,Ostholstein,null,3
31,77.5,9,22.5,40,1,0,2.5,0,01056,Pinneberg,null,2
8,66.67,4,33.33,12,0,0,0,0,01057,Plön,null,1
35,64.81,19,35.19,54,0,0,0,0,01058,Rendsburg-Eckernförde,null,5
16,66.67,8,33.33,24,0,0,0,0,01059,Schleswig-Flensburg,null,1
74,61.67,46,38.33,120,0,0,0,0,01060,Segeberg,null,4
34,69.39,15,30.61,49,0,0,0,0,01061,Steinburg,null,3
27,49.09,28,50.91,55,1,0,1.82,0,01062,Stormarn,null,3
569,67.9,269,32.1,838,17,11,2.03,64.71,02000,"Hamburg, Freie und Hansestadt",null,34
94,62.67,56,37.33,150,0,0,0,0,03101,"Braunschweig, Stadt",null,7
16,55.17,13,44.83,29,0,0,0,0,03102,"Salzgitter, Stadt",null,2
26,72.22,10,27.78,36,0,0,0,0,03103,"Wolfsburg, Stadt",null,1
20,60.61,13,39.39,33,0,0,0,0,03151,Gifhorn,null,2
38,46.34,44,53.66,82,0,0,0,0,03153,Goslar,null,3
23,67.65,11,32.35,34,0,0,0,0,03154,Helmstedt,null,1
12,52.17,11,47.83,23,0,0,0,0,03155,Northeim,null,2
12,54.55,10,45.45,22,1,0,4.55,0,03157,Peine,null,1
10,62.5,6,37.5,16,1,0,6.25,0,03158,Wolfenbüttel,null,1
138,70.05,59,29.95,197,2,2,1.02,100,03159,Göttingen,null,8
330,61.22,209,38.78,539,9,6,1.67,66.67,03241,Region Hannover,null,18
10,52.63,9,47.37,19,1,1,5.26,100,03251,Diepholz,null,3
57,75,19,25,76,2,1,2.63,50,03252,Hameln-Pyrmont,null,6
45,48.91,47,51.09,92,0,0,0,0,03254,Hildesheim,null,7
9,64.29,5,35.71,14,0,0,0,0,03255,Holzminden,null,1
14,53.85,12,46.15,26,0,0,0,0,03256,Nienburg (Weser),null,1
18,78.26,5,21.74,23,1,0,4.35,0,03257,Schaumburg,null,1
30,73.17,11,26.83,41,2,1,4.88,50,03351,Celle,null,3
11,42.31,15,57.69,26,0,0,0,0,03352,Cuxhaven,null,2
28,68.29,13,31.71,41,1,1,2.44,100,03353,Harburg,null,3
7,46.67,8,53.33,15,0,0,0,0,03354,Lüchow-Dannenberg,null,1
32,59.26,22,40.74,54,0,0,0,0,03355,Lüneburg,null,4
10,66.67,5,33.33,15,0,0,0,0,03356,Osterholz,null,3
30,78.95,8,21.05,38,1,1,2.63,100,03357,Rotenburg (Wümme),null,3
28,82.35,6,17.65,34,0,0,0,0,03358,Heidekreis,null,3
26,78.79,7,21.21,33,0,0,0,0,03359,Stade,null,3
65,79.27,17,20.73,82,0,0,0,0,03360,Uelzen,null,2
11,73.33,4,26.67,15,0,0,0,0,03361,Verden,null,2
14,87.5,2,12.5,16,0,0,0,0,03401,"Delmenhorst, Stadt",null,1
13,65,7,35,20,0,0,0,0,03402,"Emden, Stadt",null,1
96,67.13,47,32.87,143,3,0,2.1,0,03403,"Oldenburg (Oldenburg), Stadt",null,5
91,73.98,32,26.02,123,2,1,1.63,50,03404,"Osnabrück, Stadt",null,5
19,47.5,21,52.5,40,0,0,0,0,03405,"Wilhelmshaven, Stadt",null,2
27,81.82,6,18.18,33,0,0,0,0,03451,Ammerland,null,3
24,61.54,15,38.46,39,1,0,2.56,0,03452,Aurich,null,4
14,41.18,20,58.82,34,2,0,5.88,0,03453,Cloppenburg,null,3
85,71.43,34,28.57,119,0,0,0,0,03454,Emsland,null,11
28,75.68,9,24.32,37,0,0,0,0,03455,Friesland,null,2
17,56.67,13,43.33,30,0,0,0,0,03456,Grafschaft Bentheim,null,1
19,45.24,23,54.76,42,0,0,0,0,03457,Leer,null,4
6,60,4,40,10,0,0,0,0,03458,Oldenburg,null,1
66,57.89,48,42.11,114,0,0,0,0,03459,Osnabrück,null,7
23,56.1,18,43.9,41,0,0,0,0,03460,Vechta,null,5
8,47.06,9,52.94,17,0,0,0,0,03461,Wesermarsch,null,2
8,100,0,0,8,1,0,12.5,0,03462,Wittmund,null,1
124,70.86,51,29.14,175,2,0,1.14,0,04011,"Bremen, Stadt",null,10
24,66.67,12,33.33,36,0,0,0,0,04012,"Bremerhaven, Stadt",null,3
245,73.8,87,26.2,332,3,1,0.9,33.33,05111,"Düsseldorf, Stadt",null,13
172,64.66,94,35.34,266,4,3,1.5,75,05112,"Duisburg, Stadt",null,16
331,78.81,89,21.19,420,4,4,0.95,100,05113,"Essen, Stadt",null,17
78,78.79,21,21.21,99,0,0,0,0,05114,"Krefeld, Stadt",null,7
72,72.73,27,27.27,99,2,1,2.02,50,05116,"Mönchengladbach, Stadt",null,6
30,54.55,25,45.45,55,0,0,0,0,05117,"Mülheim an der Ruhr, Stadt",null,2
