BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
39,70.91,16,29.09,55,0,0,0,0,01001,"Flensburg, Stadt",null,3
122,53.28,107,46.72,229,0,0,0,0,01002,"Kiel, Landeshauptstadt",null,5
114,52.53,103,47.47,217,0,0,0,0,01003,"Lübeck, Hansestadt",null,2
18,72,7,28,25,0,0,0,0,01004,"Neumünster, Stadt",null,1
44,81.48,10,18.52,54,0,0,0,0,01051,Dithmarschen,null,1
12,50,12,50,24,0,0,0,0,01053,Herzogtum Lauenburg,null,2
25,64.1,14,35.9,39,0,0,0,0,01054,Nordfriesland,null,3
34,65.38,18,34.62,52,0,0,0,0,01055,Ostholstein,null,3
23,60.53,15,39.47,38,1,1,2.63,100,01056,Pinneberg,null,2
7,58.33,5,41.67,12,0,0,0,0,01057,Plön,null,1
41,75.93,13,24.07,54,0,0,0,0,01058,Rendsburg-Eckernförde,null,5
14,58.33,10,41.67,24,0,0,0,0,01059,Schleswig-Flensburg,null,1
70,60.34,46,39.66,116,0,0,0,0,01060,Segeberg,null,4
24,48.98,25,51.02,49,0,0,0,0,01061,Steinburg,null,3
37,67.27,18,32.73,55,0,0,0,0,01062,Stormarn,null,3
589,67.55,283,32.45,872,9,5,1.03,55.56,02000,"Hamburg, Freie und Hansestadt",null,34
108,72,42,28,150,0,0,0,0,03101,"Braunschweig, Stadt",null,7
17,58.62,12,41.38,29,0,0,0,0,03102,"Salzgitter, Stadt",null,2
26,76.47,8,23.53,34,0,0,0,0,03103,"Wolfsburg, Stadt",null,1
29,80.56,7,19.44,36,0,0,0,0,03151,Gifhorn,null,2
42,51.22,40,48.78,82,0,0,0,0,03153,Goslar,null,3
18,52.94,16,47.06,34,0,0,0,0,03154,Helmstedt,null,1
13,56.52,10,43.48,23,0,0,0,0,03155,Northeim,null,2
