BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2337,70.37,984,29.63,3321,29,20,0.87,68.97,"29,6%",178,Baden-Württemberg
2957,69.22,1315,30.78,4272,25,15,0.59,60,"30,8%",245,Bayern
1023,80.61,246,19.39,1269,14,8,1.1,57.14,"19,4%",64,Berlin
591,64.03,332,35.97,923,1,1,0.11,100,36%,57,Brandenburg
180,76.92,54,23.08,234,2,2,0.85,100,"23,1%",14,Bremen
567,66.32,288,33.68,855,10,8,1.17,80,"33,7%",33,Hamburg
1744,75.4,569,24.6,2313,18,8,0.78,44.44,"24,6%",115,Hessen
595,73.1,219,26.9,814,2,0,0.25,0,"26,9%",37,Mecklenburg-Vorpommern
1790,66.97,883,33.03,2673,14,8,0.52,57.14,33%,152,Niedersachsen
4946,70.62,2058,29.38,7004,84,49,1.2,58.33,"29,4%",393,Nordrhein-Westfalen
932,63.84,528,36.16,1460,11,6,0.75,54.55,"36,2%",94,Rheinland-Pfalz
359,63.43,207,36.57,566,3,2,0.53,66.67,"36,6%",23,Saarland
1253,70.16,533,29.84,1786,4,3,0.22,75,"29,8%",95,Sachsen
698,67.18,341,32.82,1039,3,2,0.29,66.67,"32,8%",55,Sachsen-Anhalt
597,57.4,443,42.6,1040,4,2,0.38,50,"42,6%",39,Schleswig-Holstein
571,66.55,287,33.45,858,3,0,0.35,0,"33,5%",43,Thüringen
