BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2422,72.08,938,27.92,3360,36,19,1.07,52.78,"27,9%",181,Baden-Württemberg
3241,75.06,1077,24.94,4318,41,26,0.95,63.41,"24,9%",249,Bayern
1050,85.5,178,14.5,1228,14,8,1.14,57.14,"14,5%",64,Berlin
646,69.31,286,30.69,932,0,0,0,0,"30,7%",57,Brandenburg
182,75.52,59,24.48,241,4,1,1.66,25,"24,5%",14,Bremen
607,73.31,221,26.69,828,11,7,1.33,63.64,"26,7%",34,Hamburg
1736,75.61,560,24.39,2296,20,12,0.87,60,"24,4%",116,Hessen
637,76.2,199,23.8,836,1,0,0.12,0,"23,8%",39,Mecklenburg-Vorpommern
1855,69.97,796,30.03,2651,17,9,0.64,52.94,30%,152,Niedersachsen
5255,72.6,1983,27.4,7238,72,43,0.99,59.72,"27,4%",405,Nordrhein-Westfalen
951,65.32,505,34.68,1456,8,4,0.55,50,"34,7%",95,Rheinland-Pfalz
379,66.84,188,33.16,567,2,2,0.35,100,"33,2%",23,Saarland
1245,70.22,528,29.78,1773,7,2,0.39,28.57,"29,8%",96,Sachsen
745,70.48,312,29.52,1057,3,1,0.28,33.33,"29,5%",56,Sachsen-Anhalt
657,62.69,391,37.31,1048,0,0,0,0,"37,3%",39,Schleswig-Holstein
661,71.85,259,28.15,920,4,1,0.43,25,"28,2%",44,Thüringen
