BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
39,70.91,16,29.09,55,0,0,0,0,01001,"Flensburg, Stadt",null,3
114,49.78,115,50.22,229,1,0,0.44,0,01002,"Kiel, Landeshauptstadt",null,5
117,53.92,100,46.08,217,0,0,0,0,01003,"Lübeck, Hansestadt",null,2
17,68,8,32,25,0,0,0,0,01004,"Neumünster, Stadt",null,1
47,87.04,7,12.96,54,1,1,1.85,100,01051,Dithmarschen,null,1
17,70.83,7,29.17,24,0,0,0,0,01053,Herzogtum Lauenburg,null,2
28,71.79,11,28.21,39,0,0,0,0,01054,Nordfriesland,null,3
36,69.23,16,30.77,52,0,0,0,0,01055,Ostholstein,null,3
31,77.5,9,22.5,40,0,0,0,0,01056,Pinneberg,null,2
9,75,3,25,12,1,1,8.33,100,01057,Plön,null,1
38,70.37,16,29.63,54,0,0,0,0,01058,Rendsburg-Eckernförde,null,5
13,54.17,11,45.83,24,0,0,0,0,01059,Schleswig-Flensburg,null,1
81,67.5,39,32.5,120,0,0,0,0,01060,Segeberg,null,4
32,65.31,17,34.69,49,0,0,0,0,01061,Steinburg,null,3
40,72.73,15,27.27,55,0,0,0,0,01062,Stormarn,null,3
613,70.06,262,29.94,875,10,7,1.14,70,02000,"Hamburg, Freie und Hansestadt",null,34
103,68.67,47,31.33,150,0,0,0,0,03101,"Braunschweig, Stadt",null,7
16,55.17,13,44.83,29,0,0,0,0,03102,"Salzgitter, Stadt",null,2
25,73.53,9,26.47,34,0,0,0,0,03103,"Wolfsburg, Stadt",null,1
30,83.33,6,16.67,36,0,0,0,0,03151,Gifhorn,null,2
47,57.32,35,42.68,82,0,0,0,0,03153,Goslar,null,3
18,52.94,16,47.06,34,0,0,0,0,03154,Helmstedt,null,1
14,63.64,8,36.36,22,0,0,0,0,03155,Northeim,null,2
11,50,11,50,22,0,0,0,0,03157,Peine,null,1
7,43.75,9,56.25,16,0,0,0,0,03158,Wolfenbüttel,null,1
132,66.33,67,33.67,199,0,0,0,0,03159,Göttingen,null,8
352,72.58,133,27.42,485,6,5,1.24,83.33,03241,Region Hannover,null,18
8,47.06,9,52.94,17,0,0,0,0,03251,Diepholz,null,3
55,73.33,20,26.67,75,1,1,1.33,100,03252,Hameln-Pyrmont,null,6
53,57.61,39,42.39,92,0,0,0,0,03254,Hildesheim,null,7
10,90.91,1,9.09,11,0,0,0,0,03255,Holzminden,null,1
13,50,13,50,26,0,0,0,0,03256,Nienburg (Weser),null,1
20,86.96,3,13.04,23,1,0,4.35,0,03257,Schaumburg,null,1
34,82.93,7,17.07,41,0,0,0,0,03351,Celle,null,3
10,38.46,16,61.54,26,0,0,0,0,03352,Cuxhaven,null,2
38,95,2,5,40,0,0,0,0,03353,Harburg,null,3
7,46.67,8,53.33,15,0,0,0,0,03354,Lüchow-Dannenberg,null,1
42,71.19,17,28.81,59,0,0,0,0,03355,Lüneburg,null,4
9,60,6,40,15,0,0,0,0,03356,Osterholz,null,3
29,76.32,9,23.68,38,0,0,0,0,03357,Rotenburg (Wümme),null,3
19,54.29,16,45.71,35,0,0,0,0,03358,Heidekreis,null,3
21,63.64,12,36.36,33,0,0,0,0,03359,Stade,null,3
63,76.83,19,23.17,82,0,0,0,0,03360,Uelzen,null,2
9,60,6,40,15,0,0,0,0,03361,Verden,null,2
14,63.64,8,36.36,22,0,0,0,0,03401,"Delmenhorst, Stadt",null,1
11,55,9,45,20,1,0,5,0,03402,"Emden, Stadt",null,1
119,75.32,39,24.68,158,1,1,0.63,100,03403,"Oldenburg (Oldenburg), Stadt",null,5
97,76.98,29,23.02,126,2,1,1.59,50,03404,"Osnabrück, Stadt",null,5
31,77.5,9,22.5,40,0,0,0,0,03405,"Wilhelmshaven, Stadt",null,2
30,90.91,3,9.09,33,0,0,0,0,03451,Ammerland,null,3
