bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,0.58,2020-10-06T21:00:05Z,6,4,66.67,613,423,1036,298,39
HAMBURG,1.68,2020-10-06T21:00:05Z,14,5,35.71,575,256,831,299,34
NIEDERSACHSEN,1.1,2020-10-06T21:00:05Z,29,14,48.28,1772,864,2636,984,152
BREMEN,1.65,2020-10-06T21:00:05Z,4,3,75.0,184,58,242,152,14
NORDRHEIN_WESTFALEN,1.85,2020-10-06T21:00:05Z,133,69,51.88,5206,1972,7178,2500,404
HESSEN,1.85,2020-10-06T21:00:05Z,42,17,40.48,1726,543,2269,1001,115
RHEINLAND_PFALZ,0.96,2020-10-06T21:00:05Z,14,7,50.0,885,578,1463,519,95
BADEN_WUERTTEMBERG,1.86,2020-10-06T21:00:05Z,60,28,46.67,2319,912,3231,1525,181
BAYERN,1.42,2020-10-06T21:00:05Z,60,36,60.0,3091,1140,4231,1924,254
SAARLAND,0.88,2020-10-06T21:00:05Z,5,2,40.0,397,169,566,223,23
BERLIN,3.57,2020-10-06T21:00:05Z,44,20,45.45,1005,226,1231,447,65
BRANDENBURG,0.46,2020-10-06T21:00:05Z,4,1,25.0,599,264,863,423,57
MECKLENBURG_VORPOMMERN,0.25,2020-10-06T21:00:05Z,2,2,100.0,576,228,804,299,39
SACHSEN,1.06,2020-10-06T21:00:05Z,19,7,36.84,1182,605,1787,699,95
SACHSEN_ANHALT,0.76,2020-10-06T21:00:05Z,8,4,50.0,726,323,1049,366,56
THUERINGEN,0.98,2020-10-06T21:00:05Z,9,2,22.22,624,293,917,415,44
