Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
,,,,,
,,,,,
"<app-krankenhaus-standort-adresse _ngcontent-rfg-c4="""" _nghost-rfg-c11=""""><address _ngcontent-rfg-c11=""""> Städtisches Klinikum Dresden, Städtisches Klinikum Dresden - Standort Friedrichstadt<br _ngcontent-rfg-c11=""""> Friedrichstraße 41<br _ngcontent-rfg-c11=""""> 01067 Dresden<br _ngcontent-rfg-c11=""""> Sachsen
</address></app-krankenhaus-standort-adresse>","<app-ampel-verfuegbarkeit _ngcontent-rfg-c4="""" _nghost-rfg-c13=""""><!----><span _ngcontent-rfg-c13="""" class=""verfuegbarkeit level-VERFUEGBAR ng-star-inserted"" aria-describedby=""cdk-describedby-message-7"" cdk-describedby-host="""" style=""touch-action: none; user-select: none; -webkit-user-drag: none; -webkit-tap-highlight-color: rgba(0, 0, 0, 0);""></span><!----></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-rfg-c4="""" _nghost-rfg-c13=""""><!----><span _ngcontent-rfg-c13="""" class=""verfuegbarkeit level-VERFUEGBAR ng-star-inserted"" aria-describedby=""cdk-describedby-message-7"" cdk-describedby-host="""" style=""touch-action: none; user-select: none; -webkit-user-drag: none; -webkit-tap-highlight-color: rgba(0, 0, 0, 0);""></span><!----></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-rfg-c4="""" _nghost-rfg-c13=""""><!----></app-ampel-verfuegbarkeit>",19.04.2020 09:08 Uhr,Kontakte anzeigen
"<app-krankenhaus-standort-adresse _ngcontent-rfg-c4="""" _nghost-rfg-c11=""""><address _ngcontent-rfg-c11=""""> Diakonissenkrankenhaus Dresden<br _ngcontent-rfg-c11=""""> Holzhofgasse 29<br _ngcontent-rfg-c11=""""> 01099 Dresden<br _ngcontent-rfg-c11=""""> Sachsen
</address></app-krankenhaus-standort-adresse>","<app-ampel-verfuegbarkeit _ngcontent-rfg-c4="""" _nghost-rfg-c13=""""><!----></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-rfg-c4="""" _nghost-rfg-c13=""""><!----></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-rfg-c4="""" _nghost-rfg-c13=""""><!----></app-ampel-verfuegbarkeit>",19.04.2020 08:59 Uhr,Kontakte anzeigen
"<app-krankenhaus-standort-adresse _ngcontent-rfg-c4="""" _nghost-rfg-c11=""""><address _ngcontent-rfg-c11=""""> Städtisches Klinikum Dresden, Städtisches Klinikum Dresden - Standort Neustadt/Trachau<br _ngcontent-rfg-c11=""""> Industriestraße 40<br _ngcontent-rfg-c11=""""> 01129 Dresden<br _ngcontent-rfg-c11=""""> Sachsen
</address></app-krankenhaus-standort-adresse>","<app-ampel-verfuegbarkeit _ngcontent-rfg-c4="""" _nghost-rfg-c13=""""><!----><span _ngcontent-rfg-c13="""" class=""verfuegbarkeit level-VERFUEGBAR ng-star-inserted"" aria-describedby=""cdk-describedby-message-7"" cdk-describedby-host="""" style=""touch-action: none; user-select: none; -webkit-user-drag: none; -webkit-tap-highlight-color: rgba(0, 0, 0, 0);""></span><!----></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-rfg-c4="""" _nghost-rfg-c13=""""><!----><span _ngcontent-rfg-c13="""" class=""verfuegbarkeit level-VERFUEGBAR ng-star-inserted"" aria-describedby=""cdk-describedby-message-7"" cdk-describedby-host="""" style=""touch-action: none; user-select: none; -webkit-user-drag: none; -webkit-tap-highlight-color: rgba(0, 0, 0, 0);""></span><!----></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-rfg-c4="""" _nghost-rfg-c13=""""><!----></app-ampel-verfuegbarkeit>",19.04.2020 10:56 Uhr,Kontakte anzeigen
"<app-krankenhaus-standort-adresse _ngcontent-rfg-c4="""" _nghost-rfg-c11=""""><address _ngcontent-rfg-c11=""""> Herzzentrum Dresden<br _ngcontent-rfg-c11=""""> Fetscherstraße 76<br _ngcontent-rfg-c11=""""> 01307 Dresden<br _ngcontent-rfg-c11=""""> Sachsen
</address></app-krankenhaus-standort-adresse>","<app-ampel-verfuegbarkeit _ngcontent-rfg-c4="""" _nghost-rfg-c13=""""><!----><span _ngcontent-rfg-c13="""" class=""verfuegbarkeit level-VERFUEGBAR ng-star-inserted"" aria-describedby=""cdk-describedby-message-7"" cdk-describedby-host="""" style=""touch-action: none; user-select: none; -webkit-user-drag: none; -webkit-tap-highlight-color: rgba(0, 0, 0, 0);""></span><!----></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-rfg-c4="""" _nghost-rfg-c13=""""><!----><span _ngcontent-rfg-c13="""" class=""verfuegbarkeit level-VERFUEGBAR ng-star-inserted"" aria-describedby=""cdk-describedby-message-7"" cdk-describedby-host="""" style=""touch-action: none; user-select: none; -webkit-user-drag: none; -webkit-tap-highlight-color: rgba(0, 0, 0, 0);""></span><!----></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-rfg-c4="""" _nghost-rfg-c13=""""><!----><span _ngcontent-rfg-c13="""" class=""verfuegbarkeit level-VERFUEGBAR ng-star-inserted"" aria-describedby=""cdk-describedby-message-7"" cdk-describedby-host="""" style=""touch-action: none; user-select: none; -webkit-user-drag: none; -webkit-tap-highlight-color: rgba(0, 0, 0, 0);""></span><!----></app-ampel-verfuegbarkeit>",19.04.2020 10:15 Uhr,Kontakte anzeigen
"<app-krankenhaus-standort-adresse _ngcontent-rfg-c4="""" _nghost-rfg-c11=""""><address _ngcontent-rfg-c11=""""> Krankenhaus St. Joseph-Stift Dresden GmbH, Krankenhaus St. Joseph-Stift Dresden<br _ngcontent-rfg-c11=""""> Wintergartenstraße 15/17<br _ngcontent-rfg-c11=""""> 01307 Dresden<br _ngcontent-rfg-c11=""""> Sachsen
</address></app-krankenhaus-standort-adresse>","<app-ampel-verfuegbarkeit _ngcontent-rfg-c4="""" _nghost-rfg-c13=""""><!----><span _ngcontent-rfg-c13="""" class=""verfuegbarkeit level-VERFUEGBAR ng-star-inserted"" aria-describedby=""cdk-describedby-message-7"" cdk-describedby-host="""" style=""touch-action: none; user-select: none; -webkit-user-drag: none; -webkit-tap-highlight-color: rgba(0, 0, 0, 0);""></span><!----></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-rfg-c4="""" _nghost-rfg-c13=""""><!----><span _ngcontent-rfg-c13="""" class=""verfuegbarkeit level-VERFUEGBAR ng-star-inserted"" aria-describedby=""cdk-describedby-message-7"" cdk-describedby-host="""" style=""touch-action: none; user-select: none; -webkit-user-drag: none; -webkit-tap-highlight-color: rgba(0, 0, 0, 0);""></span><!----></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-rfg-c4="""" _nghost-rfg-c13=""""><!----></app-ampel-verfuegbarkeit>",19.04.2020 08:02 Uhr,Kontakte anzeigen
"<app-krankenhaus-standort-adresse _ngcontent-rfg-c4="""" _nghost-rfg-c11=""""><address _ngcontent-rfg-c11=""""> Universitätsklinikum Carl Gustav Carus an der TU Dresden, Universitätsklinikum Carl Gustav Carus an der TU Dresden, Fetscherstr. 74, 01307 Dresden<br _ngcontent-rfg-c11=""""> Fetscherstr. 74<br _ngcontent-rfg-c11=""""> 01307 Dresden<br _ngcontent-rfg-c11=""""> Sachsen
</address></app-krankenhaus-standort-adresse>","<app-ampel-verfuegbarkeit _ngcontent-rfg-c4="""" _nghost-rfg-c13=""""><!----><span _ngcontent-rfg-c13="""" class=""verfuegbarkeit level-VERFUEGBAR ng-star-inserted"" aria-describedby=""cdk-describedby-message-7"" cdk-describedby-host="""" style=""touch-action: none; user-select: none; -webkit-user-drag: none; -webkit-tap-highlight-color: rgba(0, 0, 0, 0);""></span><!----></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-rfg-c4="""" _nghost-rfg-c13=""""><!----><span _ngcontent-rfg-c13="""" class=""verfuegbarkeit level-VERFUEGBAR ng-star-inserted"" aria-describedby=""cdk-describedby-message-7"" cdk-describedby-host="""" style=""touch-action: none; user-select: none; -webkit-user-drag: none; -webkit-tap-highlight-color: rgba(0, 0, 0, 0);""></span><!----></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-rfg-c4="""" _nghost-rfg-c13=""""><!----><span _ngcontent-rfg-c13="""" class=""verfuegbarkeit level-VERFUEGBAR ng-star-inserted"" aria-describedby=""cdk-describedby-message-7"" cdk-describedby-host="""" style=""touch-action: none; user-select: none; -webkit-user-drag: none; -webkit-tap-highlight-color: rgba(0, 0, 0, 0);""></span><!----></app-ampel-verfuegbarkeit>",19.04.2020 11:14 Uhr,Kontakte anzeigen
"<app-krankenhaus-standort-adresse _ngcontent-rfg-c4="""" _nghost-rfg-c11=""""><address _ngcontent-rfg-c11=""""> ELBLANDKLINIKUM Radebeul<br _ngcontent-rfg-c11=""""> Heinrich-Zille-Straße 13<br _ngcontent-rfg-c11=""""> 01445 Radebeul<br _ngcontent-rfg-c11=""""> Sachsen
</address></app-krankenhaus-standort-adresse>","<app-ampel-verfuegbarkeit _ngcontent-rfg-c4="""" _nghost-rfg-c13=""""><!----></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-rfg-c4="""" _nghost-rfg-c13=""""><!----><span _ngcontent-rfg-c13="""" class=""verfuegbarkeit level-VERFUEGBAR ng-star-inserted"" aria-describedby=""cdk-describedby-message-7"" cdk-describedby-host="""" style=""touch-action: none; user-select: none; -webkit-user-drag: none; -webkit-tap-highlight-color: rgba(0, 0, 0, 0);""></span><!----></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-rfg-c4="""" _nghost-rfg-c13=""""><!----></app-ampel-verfuegbarkeit>",19.04.2020 06:59 Uhr,Kontakte anzeigen
"<app-krankenhaus-standort-adresse _ngcontent-rfg-c4="""" _nghost-rfg-c11=""""><address _ngcontent-rfg-c11=""""> ASKLEPIOS-ASB Klinik Radeberg, Asklepios-ASB Klinik Radeberg<br _ngcontent-rfg-c11=""""> Pulsnitzer Straße 60<br _ngcontent-rfg-c11=""""> 01454 Radeberg, Sachsen<br _ngcontent-rfg-c11=""""> Sachsen
</address></app-krankenhaus-standort-adresse>","<app-ampel-verfuegbarkeit _ngcontent-rfg-c4="""" _nghost-rfg-c13=""""><!----><span _ngcontent-rfg-c13="""" class=""verfuegbarkeit level-VERFUEGBAR ng-star-inserted"" aria-describedby=""cdk-describedby-message-7"" cdk-describedby-host="""" style=""touch-action: none; user-select: none; -webkit-user-drag: none; -webkit-tap-highlight-color: rgba(0, 0, 0, 0);""></span><!----></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-rfg-c4="""" _nghost-rfg-c13=""""><!----><span _ngcontent-rfg-c13="""" class=""verfuegbarkeit level-VERFUEGBAR ng-star-inserted"" aria-describedby=""cdk-describedby-message-7"" cdk-describedby-host="""" style=""touch-action: none; user-select: none; -webkit-user-drag: none; -webkit-tap-highlight-color: rgba(0, 0, 0, 0);""></span><!----></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-rfg-c4="""" _nghost-rfg-c13=""""><!----></app-ampel-verfuegbarkeit>",19.04.2020 07:38 Uhr,Kontakte anzeigen
