BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
40,72.73,15,27.27,55,0,0,0,0,01001,"Flensburg, Stadt",null,3
124,54.15,105,45.85,229,1,0,0.44,0,01002,"Kiel, Landeshauptstadt",null,5
115,53,102,47,217,0,0,0,0,01003,"Lübeck, Hansestadt",null,2
21,84,4,16,25,2,2,8,100,01004,"Neumünster, Stadt",null,1
44,81.48,10,18.52,54,0,0,0,0,01051,Dithmarschen,null,1
15,62.5,9,37.5,24,0,0,0,0,01053,Herzogtum Lauenburg,null,2
25,64.1,14,35.9,39,0,0,0,0,01054,Nordfriesland,null,3
37,72.55,14,27.45,51,0,0,0,0,01055,Ostholstein,null,3
28,70,12,30,40,1,0,2.5,0,01056,Pinneberg,null,2
6,50,6,50,12,0,0,0,0,01057,Plön,null,1
32,59.26,22,40.74,54,0,0,0,0,01058,Rendsburg-Eckernförde,null,5
16,66.67,8,33.33,24,0,0,0,0,01059,Schleswig-Flensburg,null,1
73,62.93,43,37.07,116,0,0,0,0,01060,Segeberg,null,4
23,46.94,26,53.06,49,0,0,0,0,01061,Steinburg,null,3
27,49.09,28,50.91,55,0,0,0,0,01062,Stormarn,null,3
624,74.73,211,25.27,835,14,7,1.68,50,02000,"Hamburg, Freie und Hansestadt",null,34
108,72,42,28,150,0,0,0,0,03101,"Braunschweig, Stadt",null,7
19,65.52,10,34.48,29,0,0,0,0,03102,"Salzgitter, Stadt",null,2
20,55.56,16,44.44,36,0,0,0,0,03103,"Wolfsburg, Stadt",null,1
23,69.7,10,30.3,33,0,0,0,0,03151,Gifhorn,null,2
36,43.9,46,56.1,82,0,0,0,0,03153,Goslar,null,3
24,70.59,10,29.41,34,0,0,0,0,03154,Helmstedt,null,1
13,56.52,10,43.48,23,0,0,0,0,03155,Northeim,null,2
12,54.55,10,45.45,22,0,0,0,0,03157,Peine,null,1
10,62.5,6,37.5,16,0,0,0,0,03158,Wolfenbüttel,null,1
138,69,62,31,200,2,2,1,100,03159,Göttingen,null,8
371,76.34,115,23.66,486,9,5,1.85,55.56,03241,Region Hannover,null,18
5,29.41,12,70.59,17,0,0,0,0,03251,Diepholz,null,3
56,73.68,20,26.32,76,1,0,1.32,0,03252,Hameln-Pyrmont,null,6
