BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2215,73.37,804,26.63,3019,345,192,11.43,55.65,"11,4%",181,Baden-Württemberg
3015,60.75,1948,39.25,4963,385,204,7.76,52.99,"7,8%",261,Bayern
1050,83.87,202,16.13,1252,268,178,21.41,66.42,"21,4%",65,Berlin
554,69.86,239,30.14,793,61,39,7.69,63.93,"7,7%",56,Brandenburg
183,75.93,58,24.07,241,32,21,13.28,65.63,"13,3%",14,Bremen
566,76.9,170,23.1,736,73,39,9.92,53.42,"9,9%",34,Hamburg
1694,79.34,441,20.66,2135,276,141,12.93,51.09,"12,9%",118,Hessen
626,75.15,207,24.85,833,25,11,3,44,3%,42,Mecklenburg-Vorpommern
1652,67.29,803,32.71,2455,177,104,7.21,58.76,"7,2%",150,Niedersachsen
5194,77.89,1474,22.11,6668,826,521,12.39,63.08,"12,4%",402,Nordrhein-Westfalen
883,64.36,489,35.64,1372,104,68,7.58,65.38,"7,6%",95,Rheinland-Pfalz
350,66.29,178,33.71,528,57,20,10.8,35.09,"10,8%",24,Saarland
1244,73.83,441,26.17,1685,268,116,15.91,43.28,"15,9%",95,Sachsen
717,72.79,268,27.21,985,34,15,3.45,44.12,"3,5%",56,Sachsen-Anhalt
546,61.83,337,38.17,883,28,13,3.17,46.43,"3,2%",39,Schleswig-Holstein
599,65.04,322,34.96,921,61,16,6.62,26.23,"6,6%",45,Thüringen
