BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2246,69.77,973,30.23,3219,67,32,2.08,47.76,"30,2%",181,Baden-Württemberg
2968,69.67,1292,30.33,4260,63,44,1.48,69.84,"30,3%",256,Bayern
1008,82.22,218,17.78,1226,50,20,4.08,40,"17,8%",65,Berlin
565,67.02,278,32.98,843,6,4,0.71,66.67,33%,56,Brandenburg
172,71.97,67,28.03,239,4,3,1.67,75,28%,14,Bremen
557,67.19,272,32.81,829,15,7,1.81,46.67,"32,8%",34,Hamburg
1695,75.17,560,24.83,2255,47,25,2.08,53.19,"24,8%",116,Hessen
540,68.61,247,31.39,787,5,4,0.64,80,"31,4%",39,Mecklenburg-Vorpommern
1713,65.33,909,34.67,2622,34,16,1.3,47.06,"34,7%",149,Niedersachsen
5139,72.15,1984,27.85,7123,175,86,2.46,49.14,"27,9%",404,Nordrhein-Westfalen
880,60.94,564,39.06,1444,18,7,1.25,38.89,"39,1%",95,Rheinland-Pfalz
370,65.37,196,34.63,566,8,4,1.41,50,"34,6%",23,Saarland
1117,62.51,670,37.49,1787,30,12,1.68,40,"37,5%",95,Sachsen
716,67.93,338,32.07,1054,9,7,0.85,77.78,"32,1%",56,Sachsen-Anhalt
558,54.07,474,45.93,1032,5,4,0.48,80,"45,9%",39,Schleswig-Holstein
617,67.65,295,32.35,912,11,2,1.21,18.18,"32,4%",44,Thüringen
