BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2309,71.57,917,28.43,3226,60,30,1.86,50,"1,9%",181,Baden-Württemberg
3134,73.67,1120,26.33,4254,65,36,1.53,55.38,"1,5%",256,Bayern
1030,83.88,198,16.12,1228,42,22,3.42,52.38,"3,4%",65,Berlin
590,69.91,254,30.09,844,5,1,0.59,20,"0,6%",56,Brandenburg
187,77.27,55,22.73,242,4,3,1.65,75,"1,7%",14,Bremen
594,71.48,237,28.52,831,12,6,1.44,50,"1,4%",34,Hamburg
1748,76.87,526,23.13,2274,46,20,2.02,43.48,2%,115,Hessen
569,70.86,234,29.14,803,2,2,0.25,100,"0,3%",39,Mecklenburg-Vorpommern
1831,69.25,813,30.75,2644,31,13,1.17,41.94,"1,2%",152,Niedersachsen
5312,74.13,1854,25.87,7166,140,74,1.95,52.86,2%,402,Nordrhein-Westfalen
919,62.86,543,37.14,1462,13,6,0.89,46.15,"0,9%",95,Rheinland-Pfalz
400,70.67,166,29.33,566,6,2,1.06,33.33,"1,1%",23,Saarland
1216,68.01,572,31.99,1788,21,6,1.17,28.57,"1,2%",95,Sachsen
755,72.11,292,27.89,1047,9,5,0.86,55.56,"0,9%",56,Sachsen-Anhalt
616,59.46,420,40.54,1036,3,3,0.29,100,"0,3%",39,Schleswig-Holstein
644,70.61,268,29.39,912,10,2,1.1,20,"1,1%",44,Thüringen
