BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
35,63.64,20,36.36,55,0,0,0,0,01001,"Flensburg, Stadt",null,3
120,52.4,109,47.6,229,1,0,0.44,0,01002,"Kiel, Landeshauptstadt",null,5
117,53.92,100,46.08,217,0,0,0,0,01003,"Lübeck, Hansestadt",null,2
19,76,6,24,25,0,0,0,0,01004,"Neumünster, Stadt",null,1
40,74.07,14,25.93,54,1,1,1.85,100,01051,Dithmarschen,null,1
14,77.78,4,22.22,18,0,0,0,0,01053,Herzogtum Lauenburg,null,2
25,64.1,14,35.9,39,0,0,0,0,01054,Nordfriesland,null,3
35,67.31,17,32.69,52,0,0,0,0,01055,Ostholstein,null,3
26,70.27,11,29.73,37,0,0,0,0,01056,Pinneberg,null,2
9,75,3,25,12,1,1,8.33,100,01057,Plön,null,1
35,64.81,19,35.19,54,0,0,0,0,01058,Rendsburg-Eckernförde,null,5
13,54.17,11,45.83,24,0,0,0,0,01059,Schleswig-Flensburg,null,1
78,65,42,35,120,0,0,0,0,01060,Segeberg,null,4
34,69.39,15,30.61,49,0,0,0,0,01061,Steinburg,null,3
34,61.82,21,38.18,55,0,0,0,0,01062,Stormarn,null,3
597,69.91,257,30.09,854,10,8,1.17,80,02000,"Hamburg, Freie und Hansestadt",null,33
102,68,48,32,150,0,0,0,0,03101,"Braunschweig, Stadt",null,7
13,44.83,16,55.17,29,0,0,0,0,03102,"Salzgitter, Stadt",null,2
24,70.59,10,29.41,34,0,0,0,0,03103,"Wolfsburg, Stadt",null,1
26,72.22,10,27.78,36,0,0,0,0,03151,Gifhorn,null,2
46,56.1,36,43.9,82,0,0,0,0,03153,Goslar,null,3
19,55.88,15,44.12,34,0,0,0,0,03154,Helmstedt,null,1
14,60.87,9,39.13,23,0,0,0,0,03155,Northeim,null,2
17,77.27,5,22.73,22,0,0,0,0,03157,Peine,null,1
7,43.75,9,56.25,16,0,0,0,0,03158,Wolfenbüttel,null,1
122,63.54,70,36.46,192,0,0,0,0,03159,Göttingen,null,8
364,72.51,138,27.49,502,6,6,1.2,100,03241,Region Hannover,null,19
9,52.94,8,47.06,17,1,0,5.88,0,03251,Diepholz,null,3
56,74.67,19,25.33,75,1,1,1.33,100,03252,Hameln-Pyrmont,null,6
55,61.11,35,38.89,90,0,0,0,0,03254,Hildesheim,null,7
11,78.57,3,21.43,14,0,0,0,0,03255,Holzminden,null,1
