BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2297,69.08,1028,30.92,3325,28,14,0.84,50,"30,9%",179,Baden-Württemberg
3021,71.13,1226,28.87,4247,34,23,0.8,67.65,"28,9%",242,Bayern
1040,81.7,233,18.3,1273,16,9,1.26,56.25,"18,3%",64,Berlin
601,64.48,331,35.52,932,1,0,0.11,0,"35,5%",57,Brandenburg
166,68.03,78,31.97,244,3,2,1.23,66.67,32%,14,Bremen
563,64.27,313,35.73,876,7,5,0.8,71.43,"35,7%",34,Hamburg
1660,72.58,627,27.42,2287,18,5,0.79,27.78,"27,4%",115,Hessen
590,70.57,246,29.43,836,0,0,0,0,"29,4%",39,Mecklenburg-Vorpommern
1757,66.7,877,33.3,2634,20,10,0.76,50,"33,3%",151,Niedersachsen
4868,69.76,2110,30.24,6978,75,52,1.07,69.33,"30,2%",390,Nordrhein-Westfalen
899,61.53,562,38.47,1461,7,6,0.48,85.71,"38,5%",95,Rheinland-Pfalz
350,62.06,214,37.94,564,3,2,0.53,66.67,"37,9%",23,Saarland
1178,66.63,590,33.37,1768,6,4,0.34,66.67,"33,4%",96,Sachsen
693,66.32,352,33.68,1045,0,0,0,0,"33,7%",56,Sachsen-Anhalt
618,58.97,430,41.03,1048,3,1,0.29,33.33,41%,39,Schleswig-Holstein
624,68.57,286,31.43,910,3,1,0.33,33.33,"31,4%",44,Thüringen
