BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
45,78.95,12,21.05,57,6,6,10.53,100.0,04012,"Bremerhaven, Stadt",,4
47,94.0,3,6.0,50,5,2,10.0,40.0,08125,Heilbronn,,2
28,66.67,14,33.33,42,2,1,4.76,50.0,01056,Pinneberg,,2
72,82.76,15,17.24,87,10,5,11.49,50.0,05382,Rhein-Sieg-Kreis,,7
75,75.76,24,24.24,99,11,3,11.11,27.27,05316,"Leverkusen, Stadt",,5
43,76.79,13,23.21,56,1,0,1.79,0.0,12068,Ostprignitz-Ruppin,,3
9,42.86,12,57.14,21,1,1,4.76,100.0,07233,Vulkaneifel,,2
34,82.93,7,17.07,41,3,2,7.32,66.67,07141,Rhein-Lahn-Kreis,,5
89,83.96,17,16.04,106,9,7,8.49,77.78,08416,Tübingen,,5
249,84.98,44,15.02,293,77,36,26.28,46.75,06412,"Frankfurt am Main, Stadt",,17
16,59.26,11,40.74,27,4,2,14.81,50.0,08336,Lörrach,,2
176,88.44,23,11.56,199,25,13,12.56,52.0,08311,"Freiburg im Breisgau, Stadtkreis",,7
110,90.16,12,9.84,122,17,11,13.93,64.71,16053,"Jena, Stadt",,3
17,54.84,14,45.16,31,0,0,0.0,0.0,16064,Unstrut-Hainich-Kreis,,4
21,72.41,8,27.59,29,7,5,24.14,71.43,03102,"Salzgitter, Stadt",,2
76,73.08,28,26.92,104,4,1,3.85,25.0,13003,Rostock,,3
65,75.58,21,24.42,86,21,12,24.42,57.14,05122,"Solingen, Klingenstadt",,4
22,61.11,14,38.89,36,4,4,11.11,100.0,06636,Werra-Meißner-Kreis,,3
13,61.9,8,38.1,21,1,1,4.76,100.0,12071,Spree-Neiße,,3
36,52.94,32,47.06,68,11,3,16.18,27.27,08435,Bodenseekreis,,5
14,82.35,3,17.65,17,6,3,35.29,50.0,06439,Rheingau-Taunus-Kreis,,2
46,69.7,20,30.3,66,8,6,12.12,75.0,08315,Breisgau-Hochschwarzwald,,4
1095,86.29,174,13.71,1269,309,214,24.35,69.26,11000,"Berlin, Stadt",,64
156,78.39,43,21.61,199,21,13,10.55,61.9,05911,"Bochum, Stadt",,8
15,51.72,14,48.28,29,1,1,3.45,100.0,15086,Jerichower Land,,2
13,59.09,9,40.91,22,2,1,9.09,50.0,09777,Ostallgäu,,3
14,82.35,3,17.65,17,6,3,35.29,50.0,07332,Bad Dürkheim,,2
16,80.0,4,20.0,20,6,5,30.0,83.33,09177,Erding,,1
70,72.92,26,27.08,96,8,4,8.33,50.0,03454,Emsland,,10
23,65.71,12,34.29,35,2,0,5.71,0.0,09185,Neuburg-Schrobenhausen,,4
114,77.03,34,22.97,148,13,9,8.78,69.23,09663,Würzburg,,4
15,62.5,9,37.5,24,0,0,0.0,0.0,01059,Schleswig-Flensburg,,1
11,78.57,3,21.43,14,2,1,14.29,50.0,09375,Regensburg,,2
52,83.87,10,16.13,62,1,1,1.61,100.0,09462,Bayreuth,,7
11,68.75,5,31.25,16,0,0,0.0,0.0,08425,Alb-Donau-Kreis,,2
13,72.22,5,27.78,18,6,2,33.33,33.33,09762,Kaufbeuren,,1
43,69.35,19,30.65,62,4,3,6.45,75.0,12069,Potsdam-Mittelmark,,2
26,92.86,2,7.14,28,6,4,21.43,66.67,09174,Dachau,,1
13,54.17,11,45.83,24,1,1,4.17,100.0,03256,Nienburg (Weser),,1
30,73.17,11,26.83,41,4,3,9.76,75.0,06431,Bergstraße,,5
6,75.0,2,25.0,8,0,0,0.0,0.0,09671,Aschaffenburg,,1
47,60.26,31,39.74,78,8,3,10.26,37.5,07138,Neuwied,,7
75,65.79,39,34.21,114,11,5,9.65,45.45,07111,"Koblenz, kreisfreie Stadt",,6
6,100.0,0,0.0,6,2,2,33.33,100.0,03458,Oldenburg,,1
8,57.14,6,42.86,14,2,0,14.29,0.0,09371,Amberg-Sulzbach,,1
29,59.18,20,40.82,49,2,1,4.08,50.0,05762,Höxter,,6
57,80.28,14,19.72,71,10,4,14.08,40.0,03254,Hildesheim,,7
12,92.31,1,7.69,13,1,0,7.69,0.0,07337,Südliche Weinstraße,,2
13,92.86,1,7.14,14,2,0,14.29,0.0,09778,Unterallgäu,,2
131,86.18,21,13.82,152,12,7,7.89,58.33,06534,Marburg-Biedenkopf,,3
8,50.0,8,50.0,16,1,0,6.25,0.0,07235,Trier-Saarburg,,2
17,80.95,4,19.05,21,4,2,19.05,50.0,07334,Germersheim,,2
89,83.96,17,16.04,106,27,19,25.47,70.37,14524,Zwickau,,7
159,87.85,22,12.15,181,35,19,19.34,54.29,14511,"Chemnitz, Stadt",,7
7,50.0,7,50.0,14,2,0,14.29,0.0,07140,Rhein-Hunsrück-Kreis,,2
5,31.25,11,68.75,16,4,2,25.0,50.0,09471,Bamberg,,2
87,95.6,4,4.4,91,1,1,1.1,100.0,08316,Emmendingen,,3
7,58.33,5,41.67,12,0,0,0.0,0.0,07333,Donnersbergkreis,,2
61,65.59,32,34.41,93,9,5,9.68,55.56,06635,Waldeck-Frankenberg,,7
130,70.65,54,29.35,184,6,3,3.26,50.0,03159,Göttingen,,8
40,72.73,15,27.27,55,5,1,9.09,20.0,08127,Schwäbisch Hall,,4
