BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
613,85.97,100,14.03,713,136,74,19.07,54.41,"19,1%",37,Thüringen
579,77.82,165,22.18,744,83,54,11.16,65.06,"11,2%",33,Schleswig-Holstein
155,87.08,23,12.92,178,30,19,16.85,63.33,"16,9%",12,Bremen
482,83.25,97,16.75,579,62,35,10.71,56.45,"10,7%",24,Hamburg
838,78.54,229,21.46,1067,135,66,12.65,48.89,"12,7%",77,Rheinland-Pfalz
694,84.33,129,15.67,823,129,73,15.67,56.59,"15,7%",42,Sachsen-Anhalt
1689,86.97,253,13.03,1942,350,174,18.02,49.71,18%,100,Hessen
2906,85.82,480,14.18,3386,565,302,16.69,53.45,"16,7%",208,Bayern
2049,84.46,377,15.54,2426,281,156,11.58,55.52,"11,6%",129,Baden-Württemberg
576,80.67,138,19.33,714,144,77,20.17,53.47,"20,2%",50,Brandenburg
509,80.41,124,19.59,633,67,30,10.58,44.78,"10,6%",34,Mecklenburg-Vorpommern
1592,82.27,343,17.73,1935,231,130,11.94,56.28,"11,9%",121,Niedersachsen
1107,74.7,375,25.3,1482,247,142,16.67,57.49,"16,7%",78,Sachsen
4945,85.75,822,14.25,5767,689,379,11.95,55.01,12%,321,Nordrhein-Westfalen
1013,87.33,147,12.67,1160,269,194,23.19,72.12,"23,2%",53,Berlin
389,84.57,71,15.43,460,63,34,13.7,53.97,"13,7%",17,Saarland

