BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
413,83.1,84,16.9,497,73,28,14.69,38.36,"16,9%",25,Saarland
736,76.83,222,23.17,958,56,30,5.85,53.57,"23,2%",56,Sachsen-Anhalt
1780,77.46,518,22.54,2298,187,107,8.14,57.22,"22,5%",152,Niedersachsen
590,84.41,109,15.59,699,94,59,13.45,62.77,"15,6%",34,Hamburg
1329,81.99,292,18.01,1621,421,241,25.97,57.24,18%,95,Sachsen
898,73.97,316,26.03,1214,173,98,14.25,56.65,26%,94,Rheinland-Pfalz
1769,86.08,286,13.92,2055,341,215,16.59,63.05,"13,9%",117,Hessen
3313,84.13,625,15.87,3938,710,401,18.03,56.48,"15,9%",268,Bayern
567,80.54,137,19.46,704,30,17,4.26,56.67,"19,5%",42,Mecklenburg-Vorpommern
1100,86.89,166,13.11,1266,332,232,26.22,69.88,"13,1%",64,Berlin
622,81.31,143,18.69,765,100,56,13.07,56.0,"18,7%",56,Brandenburg
192,84.21,36,15.79,228,33,28,14.47,84.85,"15,8%",14,Bremen
2417,81.6,545,18.4,2962,432,258,14.58,59.72,"18,4%",182,Baden-Württemberg
652,79.03,173,20.97,825,89,40,10.79,44.94,21%,45,Thüringen
622,73.18,228,26.82,850,23,12,2.71,52.17,"26,8%",39,Schleswig-Holstein
5387,82.72,1125,17.28,6512,927,573,14.24,61.81,"17,3%",404,Nordrhein-Westfalen

