BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
42,93.33,3,6.67,45,11,8,24.44,72.73,04012,"Bremerhaven, Stadt",,3
45,90.0,5,10.0,50,4,3,8.0,75.0,08125,Heilbronn,,2
33,91.67,3,8.33,36,4,4,11.11,100.0,01056,Pinneberg,,2
60,84.51,11,15.49,71,8,2,11.27,25.0,05382,Rhein-Sieg-Kreis,,5
65,98.48,1,1.52,66,10,3,15.15,30.0,05316,"Leverkusen, Stadt",,3
51,92.73,4,7.27,55,21,7,38.18,33.33,12068,Ostprignitz-Ruppin,,3
14,66.67,7,33.33,21,1,0,4.76,0.0,07233,Vulkaneifel,,2
22,73.33,8,26.67,30,6,4,20.0,66.67,07141,Rhein-Lahn-Kreis,,5
77,95.06,4,4.94,81,17,16,20.99,94.12,08416,Tübingen,,3
238,89.81,27,10.19,265,72,33,27.17,45.83,06412,"Frankfurt am Main, Stadt",,14
14,82.35,3,17.65,17,1,0,5.88,0.0,08336,Lörrach,,1
137,89.54,16,10.46,153,29,23,18.95,79.31,08311,"Freiburg im Breisgau, Stadtkreis",,4
103,93.64,7,6.36,110,30,20,27.27,66.67,16053,"Jena, Stadt",,1
15,100.0,0,0.0,15,0,0,0.0,0.0,16064,Unstrut-Hainich-Kreis,,3
20,68.97,9,31.03,29,4,3,13.79,75.0,03102,"Salzgitter, Stadt",,2
83,88.3,11,11.7,94,10,6,10.64,60.0,13003,Rostock,,2
58,73.42,21,26.58,79,11,7,13.92,63.64,05122,"Solingen, Klingenstadt",,3
25,78.13,7,21.88,32,8,2,25.0,25.0,06636,Werra-Meißner-Kreis,,3
11,55.0,9,45.0,20,5,0,25.0,0.0,12071,Spree-Neiße,,3
54,88.52,7,11.48,61,6,3,9.84,50.0,08435,Bodenseekreis,,3
8,50.0,8,50.0,16,2,1,12.5,50.0,06439,Rheingau-Taunus-Kreis,,2
47,88.68,6,11.32,53,12,4,22.64,33.33,08315,Breisgau-Hochschwarzwald,,4
1050,88.68,134,11.32,1184,384,268,32.43,69.79,11000,"Berlin, Stadt",,53
159,92.44,13,7.56,172,30,21,17.44,70.0,05911,"Bochum, Stadt",,6
23,95.83,1,4.17,24,4,4,16.67,100.0,15086,Jerichower Land,,2
10,55.56,8,44.44,18,2,1,11.11,50.0,09777,Ostallgäu,,3
15,78.95,4,21.05,19,6,3,31.58,50.0,07332,Bad Dürkheim,,2
17,89.47,2,10.53,19,3,0,15.79,0.0,09177,Erding,,1
48,72.73,18,27.27,66,11,5,16.67,45.45,03454,Emsland,,6
11,78.57,3,21.43,14,2,2,14.29,100.0,09185,Neuburg-Schrobenhausen,,2
116,87.22,17,12.78,133,13,9,9.77,69.23,09663,Würzburg,,3
22,91.67,2,8.33,24,3,2,12.5,66.67,01059,Schleswig-Flensburg,,1
10,71.43,4,28.57,14,1,0,7.14,0.0,09375,Regensburg,,2
52,89.66,6,10.34,58,8,4,13.79,50.0,09462,Bayreuth,,5
9,56.25,7,43.75,16,0,0,0.0,0.0,08425,Alb-Donau-Kreis,,2
16,72.73,6,27.27,22,3,1,13.64,33.33,09762,Kaufbeuren,,1
45,88.24,6,11.76,51,7,4,13.73,57.14,12069,Potsdam-Mittelmark,,2
27,96.43,1,3.57,28,6,5,21.43,83.33,09174,Dachau,,1
22,91.67,2,8.33,24,6,0,25.0,0.0,03256,Nienburg (Weser),,1
39,97.5,1,2.5,40,8,1,20.0,12.5,06431,Bergstraße,,5
7,87.5,1,12.5,8,0,0,0.0,0.0,09671,Aschaffenburg,,1
39,67.24,19,32.76,58,11,7,18.97,63.64,07138,Neuwied,,6
71,73.2,26,26.8,97,18,5,18.56,27.78,07111,"Koblenz, kreisfreie Stadt",,4
9,90.0,1,10.0,10,2,2,20.0,100.0,03458,Oldenburg,,1
