Fälle COVID-19 aktuell in Behandlung,Fälle COVID-19 aktuell invasiv beatmet,Prozentualer Anteil invasiv beatmeter PatientInnen,Intensivbetten aktuell belegt,Intensivbetten aktuell frei,Gesamtzahl aktuell betreibbarer Intensivbetten,Notfallreserve,Bundesland
,,,,,,,
469,231,"49,25",21.854,8.469,30.323,12.098,Summe
60,30,50,2.309,917,3.226,1.528,Baden-Württemberg
65,36,"55,38",3.134,1.120,4.254,1.968,Bayern
42,22,"52,38",1.030,198,1.228,448,Berlin
5,1,20,590,254,844,413,Brandenburg
4,3,75,187,55,242,158,Bremen
12,6,50,594,237,831,299,Hamburg
46,20,"43,48",1.748,526,2.274,1.003,Hessen
2,2,100,569,234,803,299,Mecklenburg-Vorpommern
31,13,"41,94",1.831,813,2.644,979,Niedersachsen
140,74,"52,86",5.312,1.854,7.166,2.480,Nordrhein-Westfalen
13,6,"46,15",919,543,1.462,515,Rheinland-Pfalz
6,2,"33,33",400,166,566,223,Saarland
21,6,"28,57",1.216,572,1.788,700,Sachsen
9,5,"55,56",755,292,1.047,371,Sachsen-Anhalt
3,3,100,616,420,1.036,298,Schleswig-Holstein
10,2,20,644,268,912,416,Thüringen
