bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,0.48,2020-10-13T18:00:05Z,5,4,80.0,555,481,1036,298,39
HAMBURG,2.05,2020-10-13T18:00:05Z,17,9,52.94,579,252,831,301,34
NIEDERSACHSEN,1.54,2020-10-13T18:00:05Z,40,17,42.5,1747,855,2602,961,148
BREMEN,2.48,2020-10-13T18:00:05Z,6,5,83.33,184,58,242,158,14
NORDRHEIN_WESTFALEN,2.79,2020-10-13T18:00:05Z,200,98,49.0,5195,1969,7164,2554,404
HESSEN,2.29,2020-10-13T18:00:05Z,52,28,53.85,1715,559,2274,990,116
RHEINLAND_PFALZ,1.31,2020-10-13T18:00:05Z,19,8,42.11,860,594,1454,514,95
BADEN_WUERTTEMBERG,2.32,2020-10-13T18:00:05Z,75,41,54.67,2266,968,3234,1515,181
BAYERN,1.69,2020-10-13T18:00:05Z,72,49,68.06,3076,1173,4249,2003,256
SAARLAND,1.59,2020-10-13T18:00:05Z,9,4,44.44,367,199,566,229,23
BERLIN,4.62,2020-10-13T18:00:05Z,57,24,42.11,1046,189,1235,451,65
BRANDENBURG,0.95,2020-10-13T18:00:05Z,8,2,25.0,609,234,843,400,56
MECKLENBURG_VORPOMMERN,0.76,2020-10-13T18:00:05Z,6,4,66.67,569,217,786,295,39
SACHSEN,1.95,2020-10-13T18:00:05Z,35,18,51.43,1172,624,1796,701,95
SACHSEN_ANHALT,0.85,2020-10-13T18:00:05Z,9,7,77.78,748,307,1055,366,56
THUERINGEN,0.99,2020-10-13T18:00:05Z,9,2,22.22,648,260,908,427,44
