bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,0.48,2020-10-14T21:00:05Z,5,4,80.0,597,439,1036,298,39
HAMBURG,2.29,2020-10-14T21:00:05Z,19,9,47.37,595,236,831,302,34
NIEDERSACHSEN,1.41,2020-10-14T21:00:05Z,37,17,45.95,1750,868,2618,964,149
BREMEN,3.32,2020-10-14T21:00:05Z,7,5,71.43,171,40,211,150,13
NORDRHEIN_WESTFALEN,2.59,2020-10-14T21:00:05Z,185,97,52.43,5178,1974,7152,2570,404
HESSEN,2.02,2020-10-14T21:00:05Z,46,27,58.7,1727,547,2274,991,116
RHEINLAND_PFALZ,1.6,2020-10-14T21:00:05Z,23,9,39.13,890,551,1441,502,95
BADEN_WUERTTEMBERG,2.13,2020-10-14T21:00:05Z,69,42,60.87,2308,924,3232,1662,181
BAYERN,1.7,2020-10-14T21:00:05Z,72,46,63.89,3098,1141,4239,1984,255
SAARLAND,1.59,2020-10-14T21:00:05Z,9,4,44.44,364,202,566,223,23
BERLIN,4.62,2020-10-14T21:00:05Z,57,27,47.37,1068,167,1235,449,65
BRANDENBURG,0.95,2020-10-14T21:00:05Z,8,3,37.5,586,256,842,402,56
MECKLENBURG_VORPOMMERN,0.76,2020-10-14T21:00:05Z,6,3,50.0,578,209,787,301,39
SACHSEN,2.12,2020-10-14T21:00:05Z,38,20,52.63,1214,582,1796,702,95
SACHSEN_ANHALT,0.95,2020-10-14T21:00:05Z,10,7,70.0,735,320,1055,366,56
THUERINGEN,1.43,2020-10-14T21:00:05Z,13,3,23.08,632,276,908,421,44
