bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,0.48,2020-10-20T17:00:05Z,5,3,60.0,606,430,1036,298,39
HAMBURG,3.01,2020-10-20T17:00:05Z,25,12,48.0,554,277,831,298,34
NIEDERSACHSEN,1.84,2020-10-20T17:00:05Z,48,31,64.58,1726,888,2614,945,150
BREMEN,6.86,2020-10-20T17:00:05Z,14,5,35.71,170,34,204,113,13
NORDRHEIN_WESTFALEN,3.57,2020-10-20T17:00:05Z,256,112,43.75,5206,1956,7162,2587,407
HESSEN,3.6,2020-10-20T17:00:05Z,82,36,43.9,1748,528,2276,987,116
RHEINLAND_PFALZ,2.77,2020-10-20T17:00:05Z,40,19,47.5,904,540,1444,521,95
BADEN_WUERTTEMBERG,3.06,2020-10-20T17:00:05Z,98,53,54.08,2282,921,3203,1671,181
BAYERN,2.09,2020-10-20T17:00:05Z,88,48,54.55,3010,1210,4220,1983,257
SAARLAND,3.89,2020-10-20T17:00:05Z,22,7,31.82,356,210,566,229,24
BERLIN,7.3,2020-10-20T17:00:05Z,90,40,44.44,1039,194,1233,451,65
BRANDENBURG,2.48,2020-10-20T17:00:05Z,22,9,40.91,592,295,887,432,56
MECKLENBURG_VORPOMMERN,0.38,2020-10-20T17:00:05Z,3,1,33.33,554,233,787,301,39
SACHSEN,2.98,2020-10-20T17:00:05Z,53,27,50.94,1189,587,1776,713,95
SACHSEN_ANHALT,1.62,2020-10-20T17:00:05Z,17,6,35.29,727,321,1048,397,56
THUERINGEN,1.9,2020-10-20T17:00:05Z,17,4,23.53,654,243,897,428,44
