bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,2.38,2020-11-02T18:00:05Z,21,12,57.14,568,315,883,446,39
HAMBURG,6.16,2020-11-02T18:00:05Z,49,30,61.22,568,228,796,312,34
NIEDERSACHSEN,5.13,2020-11-02T18:00:05Z,127,68,53.54,1663,813,2476,966,150
BREMEN,12.33,2020-11-02T18:00:05Z,27,18,66.67,171,48,219,137,14
NORDRHEIN_WESTFALEN,9.47,2020-11-02T18:00:05Z,646,354,54.8,5174,1649,6823,2786,403
HESSEN,9.66,2020-11-02T18:00:05Z,207,115,55.56,1672,470,2142,978,115
RHEINLAND_PFALZ,5.58,2020-11-02T18:00:05Z,78,42,53.85,906,492,1398,514,95
BADEN_WUERTTEMBERG,8.2,2020-11-02T18:00:05Z,247,132,53.44,2243,771,3014,1686,181
BAYERN,6.59,2020-11-02T18:00:05Z,269,137,50.93,2981,1102,4083,1912,259
SAARLAND,9.06,2020-11-02T18:00:05Z,48,14,29.17,345,185,530,224,24
BERLIN,17.01,2020-11-02T18:00:05Z,208,121,58.17,1060,163,1223,460,65
BRANDENBURG,7.18,2020-11-02T18:00:05Z,58,28,48.28,541,267,808,444,56
MECKLENBURG_VORPOMMERN,2.56,2020-11-02T18:00:05Z,19,6,31.58,558,185,743,311,39
SACHSEN,11.65,2020-11-02T18:00:05Z,202,73,36.14,1231,503,1734,697,95
SACHSEN_ANHALT,2.29,2020-11-02T18:00:05Z,23,13,56.52,712,293,1005,466,56
THUERINGEN,3.11,2020-11-02T18:00:05Z,29,12,41.38,596,337,933,454,45
