"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
67.73,32.27,SCHLESWIG_HOLSTEIN,2.59,2020-11-21T23:19:10Z,22,14,63.64,575,274,849,449,39
80.25,19.75,HAMBURG,11.68,2020-11-21T23:19:10Z,84,56,66.67,577,142,719,344,34
71.24,28.76,NIEDERSACHSEN,7.83,2020-11-21T23:19:10Z,186,106,56.99,1692,683,2375,1000,152
78.48,21.52,BREMEN,17.94,2020-11-21T23:19:10Z,40,29,72.5,175,48,223,137,14
80.08,19.92,NORDRHEIN_WESTFALEN,14.57,2020-11-21T23:19:10Z,961,568,59.11,5282,1314,6596,2523,402
83.83,16.17,HESSEN,15.74,2020-11-21T23:19:10Z,324,189,58.33,1726,333,2059,907,118
71.14,28.86,RHEINLAND_PFALZ,11.84,2020-11-21T23:19:10Z,151,83,54.97,907,368,1275,465,94
78.67,21.33,BADEN_WUERTTEMBERG,13.51,2020-11-21T23:19:10Z,406,240,59.11,2364,641,3005,1538,182
78.43,21.57,BAYERN,13.41,2020-11-21T23:19:10Z,539,309,57.33,3152,867,4019,1651,263
76.69,23.31,SAARLAND,11.75,2020-11-21T23:19:10Z,59,17,28.81,385,117,502,244,24
86.55,13.45,BERLIN,24.0,2020-11-21T23:19:10Z,305,200,65.57,1100,171,1271,420,64
76.83,23.17,BRANDENBURG,10.3,2020-11-21T23:19:10Z,80,45,56.25,597,180,777,421,57
76.4,23.6,MECKLENBURG_VORPOMMERN,3.07,2020-11-21T23:19:10Z,22,16,72.73,547,169,716,265,41
75.74,24.26,SACHSEN,18.66,2020-11-21T23:19:10Z,307,184,59.93,1246,399,1645,739,95
74.06,25.94,SACHSEN_ANHALT,5.27,2020-11-21T23:19:10Z,52,24,46.15,731,256,987,463,56
70.08,29.92,THUERINGEN,9.8,2020-11-21T23:19:10Z,91,28,30.77,651,278,929,459,45
