"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
73.64,26.36,SCHLESWIG_HOLSTEIN,8.7,2021-01-16T17:19:07Z,67,41,61.19,567,203,770,481,39
78.77,21.23,HAMBURG,13.6,2021-01-16T17:19:07Z,91,54,59.34,527,142,669,328,34
80.94,19.06,NIEDERSACHSEN,13.44,2021-01-16T17:19:07Z,292,147,50.34,1758,414,2172,1031,152
83.96,16.04,BREMEN,12.26,2021-01-16T17:19:07Z,26,17,65.38,178,34,212,142,14
84.41,15.59,NORDRHEIN_WESTFALEN,14.25,2021-01-16T17:19:07Z,917,525,57.25,5431,1003,6434,2472,406
85.56,14.44,HESSEN,21.28,2021-01-16T17:19:07Z,442,237,53.62,1777,300,2077,835,117
78.1,21.9,RHEINLAND_PFALZ,16.45,2021-01-16T17:19:07Z,199,98,49.25,945,265,1210,446,94
84.28,15.72,BADEN_WUERTTEMBERG,18.49,2021-01-16T17:19:07Z,527,311,59.01,2402,448,2850,1394,183
84.23,15.77,BAYERN,20.14,2021-01-16T17:19:07Z,775,466,60.13,3241,607,3848,1135,270
80.65,19.35,SAARLAND,18.58,2021-01-16T17:19:07Z,97,43,44.33,421,101,522,239,24
86.37,13.63,BERLIN,30.64,2021-01-16T17:19:07Z,398,278,69.85,1122,177,1299,383,64
83.33,16.67,BRANDENBURG,29.17,2021-01-16T17:19:07Z,224,110,49.11,640,128,768,329,56
80.03,19.97,MECKLENBURG_VORPOMMERN,12.43,2021-01-16T17:19:07Z,89,36,40.45,573,143,716,224,42
79.22,20.78,SACHSEN,29.78,2021-01-16T17:19:07Z,480,277,57.71,1277,335,1612,622,93
84.21,15.79,SACHSEN_ANHALT,21.49,2021-01-16T17:19:07Z,196,111,56.63,768,144,912,343,55
83.48,16.52,THUERINGEN,23.78,2021-01-16T17:19:07Z,190,114,60.0,667,132,799,352,45
