"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
77.86,22.14,SCHLESWIG_HOLSTEIN,11.2,86,49,56.98,598,170,768,477,39
82.18,17.82,HAMBURG,11.63,79,44,55.7,558,121,679,327,34
79.3,20.7,NIEDERSACHSEN,10.96,241,136,56.43,1743,455,2198,1023,153
85.71,14.29,BREMEN,16.67,35,26,74.29,180,30,210,132,14
85.31,14.69,NORDRHEIN_WESTFALEN,11.83,764,432,56.54,5509,949,6458,2524,406
87.65,12.35,HESSEN,18.27,386,193,50.0,1852,261,2113,822,117
75.61,24.39,RHEINLAND_PFALZ,14.7,176,80,45.45,905,292,1197,441,94
84.97,15.03,BADEN_WUERTTEMBERG,12.22,348,207,59.48,2420,428,2848,1375,183
83.6,16.4,BAYERN,16.22,621,343,55.23,3201,628,3829,1140,269
82.4,17.6,SAARLAND,15.09,78,42,53.85,426,91,517,242,24
83.14,16.86,BERLIN,24.04,308,222,72.08,1065,216,1281,378,64
77.6,22.4,BRANDENBURG,20.27,152,78,51.32,582,168,750,343,56
77.43,22.57,MECKLENBURG_VORPOMMERN,11.29,79,36,45.57,542,158,700,247,42
74.74,25.26,SACHSEN,19.33,313,168,53.67,1210,409,1619,638,94
85.43,14.57,SACHSEN_ANHALT,16.11,146,81,55.48,774,132,906,356,55
83.71,16.29,THUERINGEN,19.8,158,82,51.9,668,130,798,347,45
