"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
77.92,22.08,SCHLESWIG_HOLSTEIN,61,11.17,87,53,60.92,607,172,779,478,39
78.39,21.61,HAMBURG,60,11.1,77,43,55.84,544,150,694,319,34
80.69,19.31,NIEDERSACHSEN,170,10.96,244,131,53.69,1797,430,2227,1009,153
85.71,14.29,BREMEN,17,14.73,33,22,66.67,192,32,224,136,14
84.94,15.06,NORDRHEIN_WESTFALEN,497,11.24,729,396,54.32,5509,977,6486,2524,406
87.19,12.81,HESSEN,110,18.11,383,196,51.17,1844,271,2115,828,117
74.79,25.21,RHEINLAND_PFALZ,114,12.4,149,76,51.01,899,303,1202,443,94
84.23,15.77,BADEN_WUERTTEMBERG,260,11.56,330,193,58.48,2404,450,2854,1379,183
85.15,14.85,BAYERN,329,16.01,617,333,53.97,3281,572,3853,1126,269
83.88,16.12,SAARLAND,42,15.36,80,41,51.25,437,84,521,240,24
87.29,12.71,BERLIN,81,23.84,302,211,69.87,1106,161,1267,381,64
76.17,23.83,BRANDENBURG,104,18.38,138,74,53.62,572,179,751,339,56
75.68,24.32,MECKLENBURG_VORPOMMERN,63,10.67,75,29,38.67,532,171,703,245,42
74.3,25.7,SACHSEN,133,18.81,303,169,55.78,1197,414,1611,644,94
85.23,14.77,SACHSEN_ANHALT,51,15.77,143,78,54.55,773,134,907,357,55
83.57,16.43,THUERINGEN,64,20.15,157,86,54.78,651,128,779,351,45
