"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
79.69,20.31,SCHLESWIG_HOLSTEIN,59,9.58,2021-02-23T18:19:10Z,75,52,69.33,624,159,783,479,39
82.75,17.25,HAMBURG,39,13.33,2021-02-23T18:19:10Z,92,53,57.61,571,119,690,324,34
82.6,17.4,NIEDERSACHSEN,194,9.33,2021-02-23T18:19:10Z,207,120,57.97,1832,386,2218,1041,153
85.59,14.41,BREMEN,14,12.61,2021-02-23T18:19:10Z,28,18,64.29,190,32,222,134,14
84.78,15.22,NORDRHEIN_WESTFALEN,478,9.42,2021-02-23T18:19:10Z,606,350,57.76,5453,979,6432,2513,404
86.44,13.56,HESSEN,137,13.94,2021-02-23T18:19:10Z,294,158,53.74,1823,286,2109,826,116
74.98,25.02,RHEINLAND_PFALZ,126,9.17,2021-02-23T18:19:10Z,110,66,60.0,899,300,1199,449,94
83.13,16.87,BADEN_WUERTTEMBERG,249,8.84,2021-02-23T18:19:10Z,253,145,57.31,2380,483,2863,1384,183
83.66,16.34,BAYERN,317,12.37,2021-02-23T18:19:10Z,474,274,57.81,3205,626,3831,1132,270
83.59,16.41,SAARLAND,57,10.16,2021-02-23T18:19:10Z,52,32,61.54,428,84,512,247,24
85.76,14.24,BERLIN,81,17.72,2021-02-23T18:19:10Z,224,159,70.98,1084,180,1264,386,64
80.21,19.79,BRANDENBURG,67,15.36,2021-02-23T18:19:10Z,118,65,55.08,616,152,768,349,57
78.74,21.26,MECKLENBURG_VORPOMMERN,62,7.28,2021-02-23T18:19:10Z,51,23,45.1,552,149,701,246,42
75.22,24.78,SACHSEN,119,13.59,2021-02-23T18:19:10Z,221,119,53.85,1223,403,1626,645,94
84.54,15.46,SACHSEN_ANHALT,61,11.07,2021-02-23T18:19:10Z,101,59,58.42,771,141,912,343,55
87.5,12.5,THUERINGEN,52,17.58,2021-02-23T18:19:10Z,135,77,57.04,672,96,768,362,45
