"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,"intensivBettenFreiProStandort",intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz,standortAnzahl
77.2,22.8,SCHLESWIG_HOLSTEIN,51,6.04,2022-02-13T18:05:00Z,44,24,54.55,562,166,5.354838709677419,728,483,41,31
75.95,24.05,HAMBURG,22,11.17,2022-02-13T18:05:00Z,65,35,53.85,442,140,5.833333333333333,582,314,34,24
80.44,19.56,NIEDERSACHSEN,133,6.07,2022-02-13T18:05:00Z,126,63,50.0,1670,406,3.440677966101695,2076,967,153,118
93.75,6.25,BREMEN,2,14.77,2022-02-13T18:05:00Z,26,17,65.38,165,11,1.0,176,84,13,11
84.53,15.47,NORDRHEIN_WESTFALEN,247,9.67,2022-02-13T18:05:00Z,570,270,47.37,4983,912,3.0299003322259135,5895,2010,399,301
85.73,14.27,HESSEN,58,10.69,2022-02-13T18:05:00Z,209,97,46.41,1676,279,2.9680851063829787,1955,632,114,94
76.98,23.02,RHEINLAND_PFALZ,71,8.92,2022-02-13T18:05:00Z,100,33,33.0,863,258,3.4864864864864864,1121,366,94,74
82.91,17.09,BADEN_WUERTTEMBERG,150,11.01,2022-02-13T18:05:00Z,288,143,49.65,2169,447,3.5476190476190474,2616,1074,183,126
83.33,16.67,BAYERN,181,10.03,2022-02-13T18:05:00Z,355,164,46.2,2950,590,2.9353233830845773,3540,598,268,201
77.39,22.61,SAARLAND,45,8.09,2022-02-13T18:05:00Z,39,17,43.59,373,109,6.8125,482,252,23,16
86.35,13.65,BERLIN,40,16.49,2022-02-13T18:05:00Z,186,111,59.68,974,154,3.7560975609756095,1128,317,68,41
80.95,19.05,BRANDENBURG,45,11.37,2022-02-13T18:05:00Z,77,33,42.86,548,129,2.5294117647058822,677,340,57,51
77.21,22.79,MECKLENBURG_VORPOMMERN,42,11.84,2022-02-13T18:05:00Z,79,32,40.51,515,152,4.75,667,214,42,32
77.3,22.7,SACHSEN,93,10.3,2022-02-13T18:05:00Z,152,68,44.74,1141,335,4.71830985915493,1476,434,96,71
81.94,18.06,SACHSEN_ANHALT,40,8.33,2022-02-13T18:05:00Z,66,25,37.88,649,143,3.4878048780487805,792,327,55,41
76.08,23.92,THUERINGEN,57,7.93,2022-02-13T18:05:00Z,55,23,41.82,528,166,4.611111111111111,694,226,44,36
