Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
,,,,,
,,,,,
"<app-krankenhaus-standort-adresse _ngcontent-ruu-c7="""" _nghost-ruu-c14=""""><address _ngcontent-ruu-c14=""""> Städtisches Klinikum Dresden, Städtisches Klinikum Dresden - Standort Friedrichstadt<br _ngcontent-ruu-c14=""""> Friedrichstraße 41<br _ngcontent-ruu-c14=""""> 01067 Dresden<br _ngcontent-ruu-c14=""""> Sachsen
</address></app-krankenhaus-standort-adresse>","<app-ampel-verfuegbarkeit _ngcontent-ruu-c7="""" _nghost-ruu-c15=""""><!----></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-ruu-c7="""" _nghost-ruu-c15=""""><!----><span _ngcontent-ruu-c15="""" class=""verfuegbarkeit level-BEGRENZT ng-star-inserted"" title=""BEGRENZT""></span></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-ruu-c7="""" _nghost-ruu-c15=""""><!----></app-ampel-verfuegbarkeit>",7,09.04.2020 13:45 Uhr
"<app-krankenhaus-standort-adresse _ngcontent-ruu-c7="""" _nghost-ruu-c14=""""><address _ngcontent-ruu-c14=""""> Städtisches Klinikum Dresden, Städtisches Klinikum Dresden - Standort Neustadt/Trachau<br _ngcontent-ruu-c14=""""> Industriestraße 40<br _ngcontent-ruu-c14=""""> 01129 Dresden<br _ngcontent-ruu-c14=""""> Sachsen
</address></app-krankenhaus-standort-adresse>","<app-ampel-verfuegbarkeit _ngcontent-ruu-c7="""" _nghost-ruu-c15=""""><!----><span _ngcontent-ruu-c15="""" class=""verfuegbarkeit level-VERFUEGBAR ng-star-inserted"" title=""VERFUEGBAR""></span></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-ruu-c7="""" _nghost-ruu-c15=""""><!----><span _ngcontent-ruu-c15="""" class=""verfuegbarkeit level-VERFUEGBAR ng-star-inserted"" title=""VERFUEGBAR""></span></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-ruu-c7="""" _nghost-ruu-c15=""""><!----></app-ampel-verfuegbarkeit>",3,08.04.2020 19:52 Uhr
"<app-krankenhaus-standort-adresse _ngcontent-ruu-c7="""" _nghost-ruu-c14=""""><address _ngcontent-ruu-c14=""""> Herzzentrum Dresden<br _ngcontent-ruu-c14=""""> Fetscherstraße 76<br _ngcontent-ruu-c14=""""> 01307 Dresden<br _ngcontent-ruu-c14=""""> Sachsen
</address></app-krankenhaus-standort-adresse>","<app-ampel-verfuegbarkeit _ngcontent-ruu-c7="""" _nghost-ruu-c15=""""><!----><span _ngcontent-ruu-c15="""" class=""verfuegbarkeit level-BEGRENZT ng-star-inserted"" title=""BEGRENZT""></span></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-ruu-c7="""" _nghost-ruu-c15=""""><!----><span _ngcontent-ruu-c15="""" class=""verfuegbarkeit level-VERFUEGBAR ng-star-inserted"" title=""VERFUEGBAR""></span></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-ruu-c7="""" _nghost-ruu-c15=""""><!----><span _ngcontent-ruu-c15="""" class=""verfuegbarkeit level-VERFUEGBAR ng-star-inserted"" title=""VERFUEGBAR""></span></app-ampel-verfuegbarkeit>",0,09.04.2020 11:45 Uhr
"<app-krankenhaus-standort-adresse _ngcontent-ruu-c7="""" _nghost-ruu-c14=""""><address _ngcontent-ruu-c14=""""> Universitätsklinikum Carl Gustav Carus an der TU Dresden, Universitätsklinikum Carl Gustav Carus an der TU Dresden, Fetscherstr. 74, 01307 Dresden<br _ngcontent-ruu-c14=""""> Fetscherstr. 74<br _ngcontent-ruu-c14=""""> 01307 Dresden<br _ngcontent-ruu-c14=""""> Sachsen
</address></app-krankenhaus-standort-adresse>","<app-ampel-verfuegbarkeit _ngcontent-ruu-c7="""" _nghost-ruu-c15=""""><!----><span _ngcontent-ruu-c15="""" class=""verfuegbarkeit level-VERFUEGBAR ng-star-inserted"" title=""VERFUEGBAR""></span></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-ruu-c7="""" _nghost-ruu-c15=""""><!----><span _ngcontent-ruu-c15="""" class=""verfuegbarkeit level-VERFUEGBAR ng-star-inserted"" title=""VERFUEGBAR""></span></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-ruu-c7="""" _nghost-ruu-c15=""""><!----><span _ngcontent-ruu-c15="""" class=""verfuegbarkeit level-VERFUEGBAR ng-star-inserted"" title=""VERFUEGBAR""></span></app-ampel-verfuegbarkeit>",6,09.04.2020 11:23 Uhr
"<app-krankenhaus-standort-adresse _ngcontent-ruu-c7="""" _nghost-ruu-c14=""""><address _ngcontent-ruu-c14=""""> ELBLANDKLINIKUM Radebeul<br _ngcontent-ruu-c14=""""> Heinrich-Zille-Straße 13<br _ngcontent-ruu-c14=""""> 01445 Radebeul<br _ngcontent-ruu-c14=""""> Sachsen
</address></app-krankenhaus-standort-adresse>","<app-ampel-verfuegbarkeit _ngcontent-ruu-c7="""" _nghost-ruu-c15=""""><!----><span _ngcontent-ruu-c15="""" class=""verfuegbarkeit level-VERFUEGBAR ng-star-inserted"" title=""VERFUEGBAR""></span></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-ruu-c7="""" _nghost-ruu-c15=""""><!----><span _ngcontent-ruu-c15="""" class=""verfuegbarkeit level-VERFUEGBAR ng-star-inserted"" title=""VERFUEGBAR""></span></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-ruu-c7="""" _nghost-ruu-c15=""""><!----></app-ampel-verfuegbarkeit>",0,09.04.2020 13:29 Uhr
"<app-krankenhaus-standort-adresse _ngcontent-ruu-c7="""" _nghost-ruu-c14=""""><address _ngcontent-ruu-c14=""""> ASKLEPIOS-ASB Klinik Radeberg, Asklepios-ASB Klinik Radeberg<br _ngcontent-ruu-c14=""""> Pulsnitzer Straße 60<br _ngcontent-ruu-c14=""""> 01454 Radeberg, Sachsen<br _ngcontent-ruu-c14=""""> Sachsen
</address></app-krankenhaus-standort-adresse>","<app-ampel-verfuegbarkeit _ngcontent-ruu-c7="""" _nghost-ruu-c15=""""><!----><span _ngcontent-ruu-c15="""" class=""verfuegbarkeit level-NICHT_VERFUEGBAR ng-star-inserted"" title=""NICHT_VERFUEGBAR""></span></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-ruu-c7="""" _nghost-ruu-c15=""""><!----><span _ngcontent-ruu-c15="""" class=""verfuegbarkeit level-VERFUEGBAR ng-star-inserted"" title=""VERFUEGBAR""></span></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-ruu-c7="""" _nghost-ruu-c15=""""><!----></app-ampel-verfuegbarkeit>",0,07.04.2020 17:14 Uhr
"<app-krankenhaus-standort-adresse _ngcontent-ruu-c7="""" _nghost-ruu-c14=""""><address _ngcontent-ruu-c14=""""> Sächsisches Krankenhaus Arnsdorf, Arnsdorf<br _ngcontent-ruu-c14=""""> Hufelandstraße 15<br _ngcontent-ruu-c14=""""> 01477 Arnsdorf bei Dresden<br _ngcontent-ruu-c14=""""> Sachsen
</address></app-krankenhaus-standort-adresse>","<app-ampel-verfuegbarkeit _ngcontent-ruu-c7="""" _nghost-ruu-c15=""""><!----><span _ngcontent-ruu-c15="""" class=""verfuegbarkeit level-NICHT_VERFUEGBAR ng-star-inserted"" title=""NICHT_VERFUEGBAR""></span></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-ruu-c7="""" _nghost-ruu-c15=""""><!----><span _ngcontent-ruu-c15="""" class=""verfuegbarkeit level-BEGRENZT ng-star-inserted"" title=""BEGRENZT""></span></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-ruu-c7="""" _nghost-ruu-c15=""""><!----><span _ngcontent-ruu-c15="""" class=""verfuegbarkeit level-NICHT_VERFUEGBAR ng-star-inserted"" title=""NICHT_VERFUEGBAR""></span></app-ampel-verfuegbarkeit>",0,26.03.2020 14:14 Uhr
"<app-krankenhaus-standort-adresse _ngcontent-ruu-c7="""" _nghost-ruu-c14=""""><address _ngcontent-ruu-c14=""""> ELBLAND Reha- und Präventionsklinik Großenhain<br _ngcontent-ruu-c14=""""> Am Bobersberg 4<br _ngcontent-ruu-c14=""""> 01558 Großenhain, Sachsen<br _ngcontent-ruu-c14=""""> Sachsen
</address></app-krankenhaus-standort-adresse>","<app-ampel-verfuegbarkeit _ngcontent-ruu-c7="""" _nghost-ruu-c15=""""><!----><span _ngcontent-ruu-c15="""" class=""verfuegbarkeit level-BEGRENZT ng-star-inserted"" title=""BEGRENZT""></span></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-ruu-c7="""" _nghost-ruu-c15=""""><!----><span _ngcontent-ruu-c15="""" class=""verfuegbarkeit level-BEGRENZT ng-star-inserted"" title=""BEGRENZT""></span></app-ampel-verfuegbarkeit>","<app-ampel-verfuegbarkeit _ngcontent-ruu-c7="""" _nghost-ruu-c15=""""><!----></app-ampel-verfuegbarkeit>",0,09.04.2020 15:56 Uhr
