bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,0,0,2,5,35,2021-10-17 12:15:00,30,3
01,01002,5,2,2,3,50,114,2021-10-17 12:15:00,111,47
01,01003,2,1,0,2,36,97,2021-10-17 12:15:00,97,36
01,01004,1,1,0,1,3,22,2021-10-17 12:15:00,22,3
01,01051,1,1,0,1,1,37,2021-10-17 12:15:00,37,1
01,01053,2,1,1,2,4,14,2021-10-17 12:15:00,14,4
01,01054,3,3,2,3,6,18,2021-10-17 12:15:00,18,6
01,01055,3,1,0,3,12,33,2021-10-17 12:15:00,33,12
01,01056,2,1,1,2,1,27,2021-10-17 12:15:00,27,1
01,01057,1,0,0,1,4,8,2021-10-17 12:15:00,8,4
01,01058,5,2,2,3,13,29,2021-10-17 12:15:00,28,8
01,01059,1,0,0,1,0,24,2021-10-17 12:15:00,24,0
01,01060,3,1,1,3,26,54,2021-10-17 12:15:00,54,26
01,01061,3,0,0,1,12,31,2021-10-17 12:15:00,20,10
01,01062,3,1,0,3,6,20,2021-10-17 12:15:00,20,6
02,02000,33,31,18,23,91,486,2021-10-17 12:15:00,415,55
03,03101,7,1,0,5,38,91,2021-10-17 12:15:00,77,35
03,03102,2,0,0,2,8,21,2021-10-17 12:15:00,21,8
03,03103,3,2,2,1,5,26,2021-10-17 12:15:00,18,4
03,03151,1,0,0,1,0,12,2021-10-17 12:15:00,12,0
03,03153,3,0,0,3,1,25,2021-10-17 12:15:00,25,1
03,03154,1,1,1,1,0,16,2021-10-17 12:15:00,16,0
03,03155,2,0,0,2,8,12,2021-10-17 12:15:00,12,8
03,03157,1,0,0,1,0,15,2021-10-17 12:15:00,15,0
03,03158,1,0,0,1,7,9,2021-10-17 12:15:00,9,7
03,03159,8,11,8,7,18,105,2021-10-17 12:15:00,92,14
03,03241,19,33,27,16,54,329,2021-10-17 12:15:00,285,44
03,03251,3,0,0,3,6,11,2021-10-17 12:15:00,11,6
03,03252,6,1,0,4,13,62,2021-10-17 12:15:00,60,9
03,03254,7,1,1,4,10,64,2021-10-17 12:15:00,55,8
03,03255,1,0,0,1,5,9,2021-10-17 12:15:00,9,5
03,03256,1,0,0,1,2,14,2021-10-17 12:15:00,14,2
03,03257,1,0,0,1,2,25,2021-10-17 12:15:00,25,2
03,03351,2,1,1,1,5,25,2021-10-17 12:15:00,18,2
03,03352,2,1,1,2,5,7,2021-10-17 12:15:00,7,5
03,03353,3,3,3,3,4,28,2021-10-17 12:15:00,28,4
03,03354,1,0,0,1,0,5,2021-10-17 12:15:00,5,0
03,03355,3,0,0,1,15,29,2021-10-17 12:15:00,16,12
03,03356,3,1,1,2,4,8,2021-10-17 12:15:00,8,4
03,03357,3,0,0,2,8,26,2021-10-17 12:15:00,23,7
03,03358,2,0,0,2,6,14,2021-10-17 12:15:00,14,6
03,03359,3,2,1,2,3,25,2021-10-17 12:15:00,25,0
03,03360,2,2,0,2,3,73,2021-10-17 12:15:00,73,3
03,03361,2,1,0,2,4,11,2021-10-17 12:15:00,11,4
03,03401,1,1,1,1,4,12,2021-10-17 12:15:00,12,4
03,03402,1,1,0,1,3,11,2021-10-17 12:15:00,11,3
03,03403,6,9,5,3,7,107,2021-10-17 12:15:00,87,5
03,03404,5,6,4,4,15,99,2021-10-17 12:15:00,86,12
03,03405,2,2,1,1,5,22,2021-10-17 12:15:00,18,1
03,03451,3,0,0,2,1,32,2021-10-17 12:15:00,32,1
03,03452,4,0,0,3,7,29,2021-10-17 12:15:00,23,5
03,03453,3,1,0,3,12,12,2021-10-17 12:15:00,12,12
03,03454,10,3,0,6,18,71,2021-10-17 12:15:00,54,9
03,03455,2,0,0,2,6,25,2021-10-17 12:15:00,25,6
03,03456,1,2,1,1,3,24,2021-10-17 12:15:00,24,3
03,03457,6,0,0,4,7,23,2021-10-17 12:15:00,21,4
03,03458,1,0,0,1,0,10,2021-10-17 12:15:00,10,0
03,03459,7,1,0,6,10,80,2021-10-17 12:15:00,80,10
03,03460,5,1,0,3,7,27,2021-10-17 12:15:00,23,3
03,03461,2,0,0,2,7,8,2021-10-17 12:15:00,8,7
03,03462,1,0,0,1,0,8,2021-10-17 12:15:00,8,0
04,04011,9,15,8,8,14,124,2021-10-17 12:15:00,114,8
04,04012,4,7,6,3,17,33,2021-10-17 12:15:00,30,8
05,05111,14,12,8,11,25,261,2021-10-17 12:15:00,240,20
05,05112,15,5,2,9,25,147,2021-10-17 12:15:00,133,17
