BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,MAPLABEL,MELDEBEREICHANZ,Name
2295,71.12,932,28.88,3227,59,30,1.83,50.85,"1,8%",181,Baden-Württemberg
3106,73.15,1140,26.85,4246,63,36,1.48,57.14,"1,5%",256,Bayern
1038,84.32,193,15.68,1231,40,22,3.25,55,"3,3%",65,Berlin
587,69.8,254,30.2,841,5,2,0.59,40,"0,6%",56,Brandenburg
183,75.62,59,24.38,242,5,3,2.07,60,"2,1%",14,Bremen
598,71.96,233,28.04,831,13,6,1.56,46.15,"1,6%",34,Hamburg
1754,77.37,513,22.63,2267,43,22,1.9,51.16,"1,9%",115,Hessen
577,71.86,226,28.14,803,3,2,0.37,66.67,"0,4%",39,Mecklenburg-Vorpommern
1785,68.39,825,31.61,2610,31,12,1.19,38.71,"1,2%",149,Niedersachsen
5279,74.07,1848,25.93,7127,158,75,2.22,47.47,"2,2%",400,Nordrhein-Westfalen
949,64.78,516,35.22,1465,15,6,1.02,40,1%,95,Rheinland-Pfalz
401,70.85,165,29.15,566,7,3,1.24,42.86,"1,2%",23,Saarland
1210,67.33,587,32.67,1797,22,7,1.22,31.82,"1,2%",95,Sachsen
756,71.73,298,28.27,1054,9,6,0.85,66.67,"0,9%",56,Sachsen-Anhalt
611,58.98,425,41.02,1036,4,3,0.39,75,"0,4%",39,Schleswig-Holstein
658,72.15,254,27.85,912,10,2,1.1,20,"1,1%",44,Thüringen
