BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
36,65.45,19,34.55,55,0,0,0,0,01001,"Flensburg, Stadt",null,3
107,46.72,122,53.28,229,0,0,0,0,01002,"Kiel, Landeshauptstadt",null,5
113,52.07,104,47.93,217,1,1,0.46,100,01003,"Lübeck, Hansestadt",null,2
19,76,6,24,25,1,1,4,100,01004,"Neumünster, Stadt",null,1
51,94.44,3,5.56,54,0,0,0,0,01051,Dithmarschen,null,1
18,75,6,25,24,0,0,0,0,01053,Herzogtum Lauenburg,null,2
27,69.23,12,30.77,39,0,0,0,0,01054,Nordfriesland,null,3
36,70.59,15,29.41,51,0,0,0,0,01055,Ostholstein,null,3
28,70,12,30,40,1,0,2.5,0,01056,Pinneberg,null,2
7,58.33,5,41.67,12,0,0,0,0,01057,Plön,null,1
28,66.67,14,33.33,42,0,0,0,0,01058,Rendsburg-Eckernförde,null,5
16,66.67,8,33.33,24,0,0,0,0,01059,Schleswig-Flensburg,null,1
76,63.33,44,36.67,120,0,0,0,0,01060,Segeberg,null,4
24,48.98,25,51.02,49,0,0,0,0,01061,Steinburg,null,3
25,45.45,30,54.55,55,1,1,1.82,100,01062,Stormarn,null,3
598,71.96,233,28.04,831,13,6,1.56,46.15,02000,"Hamburg, Freie und Hansestadt",null,34
111,74,39,26,150,0,0,0,0,03101,"Braunschweig, Stadt",null,7
19,65.52,10,34.48,29,0,0,0,0,03102,"Salzgitter, Stadt",null,2
22,61.11,14,38.89,36,0,0,0,0,03103,"Wolfsburg, Stadt",null,1
28,87.5,4,12.5,32,2,0,6.25,0,03151,Gifhorn,null,2
36,43.9,46,56.1,82,0,0,0,0,03153,Goslar,null,3
24,70.59,10,29.41,34,0,0,0,0,03154,Helmstedt,null,1
12,52.17,11,47.83,23,2,0,8.7,0,03155,Northeim,null,2
12,54.55,10,45.45,22,0,0,0,0,03157,Peine,null,1
10,62.5,6,37.5,16,0,0,0,0,03158,Wolfenbüttel,null,1
140,72.16,54,27.84,194,2,1,1.03,50,03159,Göttingen,null,8
361,67.1,177,32.9,538,8,4,1.49,50,03241,Region Hannover,null,18
7,41.18,10,58.82,17,1,1,5.88,100,03251,Diepholz,null,3
62,86.11,10,13.89,72,0,0,0,0,03252,Hameln-Pyrmont,null,6
60,65.22,32,34.78,92,0,0,0,0,03254,Hildesheim,null,7
8,57.14,6,42.86,14,0,0,0,0,03255,Holzminden,null,1
19,79.17,5,20.83,24,0,0,0,0,03256,Nienburg (Weser),null,1
21,91.3,2,8.7,23,0,0,0,0,03257,Schaumburg,null,1
31,75.61,10,24.39,41,1,1,2.44,100,03351,Celle,null,3
10,38.46,16,61.54,26,0,0,0,0,03352,Cuxhaven,null,2
28,71.79,11,28.21,39,1,0,2.56,0,03353,Harburg,null,3
6,100,0,0,6,0,0,0,0,03354,Lüchow-Dannenberg,null,1
33,61.11,21,38.89,54,0,0,0,0,03355,Lüneburg,null,4
10,66.67,5,33.33,15,0,0,0,0,03356,Osterholz,null,3
26,68.42,12,31.58,38,0,0,0,0,03357,Rotenburg (Wümme),null,3
20,86.96,3,13.04,23,0,0,0,0,03358,Heidekreis,null,2
22,66.67,11,33.33,33,0,0,0,0,03359,Stade,null,3
