bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
SCHLESWIG_HOLSTEIN,0.39,2020-10-08T18:00:05Z,4,3,75.0,611,425,1036,298,39
HAMBURG,1.56,2020-10-08T18:00:05Z,13,6,46.15,598,233,831,299,34
NIEDERSACHSEN,1.19,2020-10-08T18:00:05Z,31,12,38.71,1785,825,2610,984,149
BREMEN,2.07,2020-10-08T18:00:05Z,5,3,60.0,183,59,242,158,14
NORDRHEIN_WESTFALEN,2.22,2020-10-08T18:00:05Z,158,75,47.47,5279,1848,7127,2509,400
HESSEN,1.9,2020-10-08T18:00:05Z,43,22,51.16,1754,513,2267,1019,115
RHEINLAND_PFALZ,1.02,2020-10-08T18:00:05Z,15,6,40.0,949,516,1465,513,95
BADEN_WUERTTEMBERG,1.83,2020-10-08T18:00:05Z,59,30,50.85,2295,932,3227,1526,181
BAYERN,1.48,2020-10-08T18:00:05Z,63,36,57.14,3106,1140,4246,1987,256
SAARLAND,1.24,2020-10-08T18:00:05Z,7,3,42.86,401,165,566,223,23
BERLIN,3.25,2020-10-08T18:00:05Z,40,22,55.0,1038,193,1231,446,65
BRANDENBURG,0.59,2020-10-08T18:00:05Z,5,2,40.0,587,254,841,413,56
MECKLENBURG_VORPOMMERN,0.37,2020-10-08T18:00:05Z,3,2,66.67,577,226,803,300,39
SACHSEN,1.22,2020-10-08T18:00:05Z,22,7,31.82,1210,587,1797,695,95
SACHSEN_ANHALT,0.85,2020-10-08T18:00:05Z,9,6,66.67,756,298,1054,378,56
THUERINGEN,1.1,2020-10-08T18:00:05Z,10,2,20.0,658,254,912,418,44
