Datum,Bundesland,Stratum_17_Minus,Stratum_18_Bis_29,Stratum_30_Bis_39,Stratum_40_Bis_49,Stratum_50_Bis_59,Stratum_60_Bis_69,Stratum_70_Bis_79,Stratum_80_Plus,Stratum_Unbekannt
"2021-04-29T12:15:00+02:00",DEUTSCHLAND,14,24,75,179,505,751,657,204,2624
"2021-04-30T12:15:00+02:00",DEUTSCHLAND,13,30,94,248,687,958,838,255,1901
"2021-05-01T12:15:00+02:00",DEUTSCHLAND,11,35,90,279,739,1066,931,275,1583
"2021-05-02T12:15:00+02:00",DEUTSCHLAND,10,41,105,296,771,1096,956,281,1472
"2021-05-03T12:15:00+02:00",DEUTSCHLAND,10,38,116,299,780,1157,994,315,1298
"2021-05-04T12:15:00+02:00",DEUTSCHLAND,9,38,112,296,807,1156,1027,320,1189
"2021-05-05T12:15:00+02:00",DEUTSCHLAND,10,33,116,291,804,1155,1028,311,1091
"2021-05-06T12:15:00+02:00",DEUTSCHLAND,10,39,130,353,936,1371,1145,326,456
"2021-05-07T12:15:00+02:00",DEUTSCHLAND,10,38,128,350,909,1328,1102,305,502
"2021-05-08T12:15:00+02:00",DEUTSCHLAND,11,38,118,326,893,1310,1087,308,516
"2021-05-09T12:15:00+02:00",DEUTSCHLAND,14,36,113,317,892,1287,1095,304,525
"2021-05-10T12:15:00+02:00",DEUTSCHLAND,11,43,110,315,898,1304,1109,312,480
"2021-05-11T12:15:00+02:00",DEUTSCHLAND,11,39,105,303,868,1273,1077,312,472
"2021-05-12T12:15:00+02:00",DEUTSCHLAND,13,35,103,286,867,1228,1064,296,482
"2021-05-13T12:15:00+02:00",DEUTSCHLAND,11,38,110,300,856,1228,1065,291,356
"2021-05-14T12:15:00+02:00",DEUTSCHLAND,7,37,99,291,805,1155,1029,279,477
"2021-05-15T12:15:00+02:00",DEUTSCHLAND,6,41,97,276,776,1119,1000,250,525
"2021-05-16T12:15:00+02:00",DEUTSCHLAND,11,41,96,279,766,1134,982,240,516
"2021-05-17T12:15:00+02:00",DEUTSCHLAND,13,40,99,273,758,1114,961,250,507
"2021-05-18T12:15:00+02:00",DEUTSCHLAND,13,40,93,272,727,1069,916,237,510
"2021-05-19T12:15:00+02:00",DEUTSCHLAND,14,34,90,259,689,1019,889,224,489
"2021-05-20T12:15:00+02:00",DEUTSCHLAND,14,39,90,264,754,1058,866,237,271
"2021-05-21T12:15:00+02:00",DEUTSCHLAND,13,37,84,249,664,1014,823,217,372
"2021-05-22T12:15:00+02:00",DEUTSCHLAND,14,36,75,235,660,960,784,218,376
"2021-05-23T12:15:00+02:00",DEUTSCHLAND,12,33,73,234,651,957,768,210,365
"2021-05-24T12:15:00+02:00",DEUTSCHLAND,12,33,67,224,657,929,755,207,350
"2021-05-25T12:15:00+02:00",DEUTSCHLAND,14,39,72,211,626,901,741,205,370
"2021-05-26T12:15:00+02:00",DEUTSCHLAND,10,36,69,196,582,845,697,190,375
"2021-05-27T12:15:00+02:00",DEUTSCHLAND,10,33,70,211,562,837,678,186,249
"2021-05-28T12:15:00+02:00",DEUTSCHLAND,6,33,62,202,517,788,622,165,307
"2021-05-29T12:15:00+02:00",DEUTSCHLAND,5,31,61,193,492,744,575,153,340
"2021-05-30T12:15:00+02:00",DEUTSCHLAND,5,31,58,188,470,722,563,141,339
"2021-05-31T12:15:00+02:00",DEUTSCHLAND,5,31,59,186,475,720,541,142,292
"2021-06-01T12:15:00+02:00",DEUTSCHLAND,4,29,60,164,450,686,505,120,271
"2021-06-02T12:15:00+02:00",DEUTSCHLAND,4,29,56,151,422,650,446,103,287
"2021-06-03T12:15:00+02:00",DEUTSCHLAND,6,25,64,151,432,675,444,112,126
"2021-06-04T12:15:00+02:00",DEUTSCHLAND,7,21,55,136,390,622,412,107,219
"2021-06-05T12:15:00+02:00",DEUTSCHLAND,7,18,57,132,379,583,393,104,223
"2021-06-06T12:15:00+02:00",DEUTSCHLAND,7,20,57,136,378,560,379,94,222
"2021-06-07T12:15:00+02:00",DEUTSCHLAND,6,23,56,139,367,536,369,93,206
"2021-06-08T12:15:00+02:00",DEUTSCHLAND,6,22,50,130,346,523,352,83,187
"2021-06-09T12:15:00+02:00",DEUTSCHLAND,7,22,51,120,337,496,327,78,160
"2021-06-10T12:15:00+02:00",DEUTSCHLAND,8,21,55,129,329,493,327,80,65
"2021-06-11T12:15:00+02:00",DEUTSCHLAND,7,17,49,110,283,454,299,71,130
"2021-06-12T12:15:00+02:00",DEUTSCHLAND,7,15,43,104,266,425,286,62,135
"2021-06-13T12:15:00+02:00",DEUTSCHLAND,8,15,45,100,264,420,286,64,135
"2021-06-14T12:15:00+02:00",DEUTSCHLAND,8,17,47,98,256,395,261,64,135
"2021-06-15T12:15:00+02:00",DEUTSCHLAND,6,14,42,92,243,368,245,58,140
"2021-06-16T12:15:00+02:00",DEUTSCHLAND,5,15,41,91,235,343,230,52,123
"2021-06-17T12:15:00+02:00",DEUTSCHLAND,4,16,44,98,238,357,218,47,47
"2021-06-18T12:15:00+02:00",DEUTSCHLAND,4,11,37,91,211,311,192,44,109
"2021-06-19T12:15:00+02:00",DEUTSCHLAND,4,10,36,86,201,288,183,47,110
"2021-06-20T12:15:00+02:00",DEUTSCHLAND,4,10,37,81,192,277,172,47,111
"2021-06-21T12:15:00+02:00",DEUTSCHLAND,4,8,35,80,187,260,165,44,106
"2021-06-22T12:15:00+02:00",DEUTSCHLAND,5,10,31,76,174,246,151,41,116
"2021-06-23T12:15:00+02:00",DEUTSCHLAND,4,10,30,76,160,242,145,38,106
