date,Belegte Betten,COVID-19-Fälle
2020-03-20T12:15:00+01:00,598,200
2020-03-21T12:15:00+01:00,2871,308
2020-03-22T12:15:00+01:00,3300,364
2020-03-23T12:15:00+01:00,3832,451
2020-03-24T12:15:00+01:00,4942,616
2020-03-25T12:15:00+01:00,5596,789
2020-03-26T12:15:00+01:00,6090,824
2020-03-27T12:15:00+01:00,6426,905
2020-03-28T12:15:00+01:00,6895,1001
2020-03-29T12:15:00+02:00,6874,1063
2020-03-30T12:15:00+02:00,7232,1206
2020-03-31T12:15:00+02:00,8561,1552
2020-04-01T12:15:00+02:00,9471,1788
2020-04-02T12:15:00+02:00,10834,2107
2020-04-03T12:15:00+02:00,11903,2367
2020-04-04T12:15:00+02:00,12114,2477
2020-04-05T12:15:00+02:00,12147,2534
2020-04-06T12:15:00+02:00,12186,2559
2020-04-07T12:15:00+02:00,12108,2649
2020-04-08T12:15:00+02:00,12790,2667
2020-04-09T12:15:00+02:00,13371,2724
2020-04-10T12:15:00+02:00,13121,2710
2020-04-11T12:15:00+02:00,12709,2662
2020-04-12T12:15:00+02:00,12784,2663
2020-04-13T12:15:00+02:00,13072,2728
2020-04-14T12:15:00+02:00,13360,2730
2020-04-15T12:15:00+02:00,14327,2744
2020-04-16T12:15:00+02:00,15911,2821
2020-04-17T12:15:00+02:00,17121,2885
2020-04-18T12:15:00+02:00,17597,2935
2020-04-19T12:15:00+02:00,17216,2877
2020-04-20T12:15:00+02:00,17528,2908
2020-04-21T12:15:00+02:00,18466,2862
2020-04-22T12:15:00+02:00,18862,2746
2020-04-23T12:15:00+02:00,19060,2731
2020-04-24T12:15:00+02:00,19263,2651
2020-04-25T12:15:00+02:00,19129,2545
2020-04-26T12:15:00+02:00,18645,2531
2020-04-27T12:15:00+02:00,18833,2473
2020-04-28T12:15:00+02:00,19372,2395
2020-04-29T12:15:00+02:00,19640,2315
2020-04-30T12:15:00+02:00,19599,2243
2020-05-01T12:15:00+02:00,19669,2126
2020-05-02T12:15:00+02:00,19033,2053
2020-05-03T12:15:00+02:00,19159,2019
2020-05-04T12:15:00+02:00,19080,1981
2020-05-05T12:15:00+02:00,19697,1907
2020-05-06T12:15:00+02:00,20095,1826
2020-05-07T12:15:00+02:00,20065,1769
2020-05-08T12:15:00+02:00,20037,1663
2020-05-09T12:15:00+02:00,19816,1597
2020-05-10T12:15:00+02:00,19260,1606
2020-05-11T12:15:00+02:00,19420,1591
2020-05-12T12:15:00+02:00,20306,1500
2020-05-13T12:15:00+02:00,20243,1387
2020-05-14T12:15:00+02:00,20151,1321
2020-05-15T12:15:00+02:00,20490,1239
2020-05-16T12:15:00+02:00,20130,1180
2020-05-17T12:15:00+02:00,19597,1132
2020-05-18T12:15:00+02:00,19566,1130
2020-05-19T12:15:00+02:00,20158,1091
2020-05-20T12:15:00+02:00,20415,1023
2020-05-21T12:15:00+02:00,20412,1001
2020-05-22T12:15:00+02:00,19854,976
2020-05-23T12:15:00+02:00,20047,932
2020-05-24T12:15:00+02:00,19558,901
2020-05-25T12:15:00+02:00,19647,886
2020-05-26T12:15:00+02:00,20192,816
2020-05-27T12:15:00+02:00,20488,751
2020-05-28T12:15:00+02:00,20569,726
2020-05-29T12:15:00+02:00,20498,725
2020-05-30T12:15:00+02:00,20381,716
2020-05-31T12:15:00+02:00,19718,699
2020-06-01T12:15:00+02:00,19646,698
2020-06-02T12:15:00+02:00,19722,694
2020-06-03T12:15:00+02:00,20447,635
2020-06-04T12:15:00+02:00,20765,600
2020-06-05T12:15:00+02:00,20827,588
2020-06-06T12:15:00+02:00,20567,562
2020-06-07T12:15:00+02:00,19976,567
2020-06-08T12:15:00+02:00,19838,546
2020-06-09T12:15:00+02:00,20691,522
2020-06-10T12:15:00+02:00,20857,488
2020-06-11T12:15:00+02:00,20784,453
2020-06-12T12:15:00+02:00,20292,453
2020-06-13T12:15:00+02:00,20235,442
2020-06-14T12:15:00+02:00,19836,438
2020-06-15T12:15:00+02:00,19904,434
2020-06-16T12:15:00+02:00,20619,422
2020-06-17T12:15:00+02:00,20934,409
2020-06-18T12:15:00+02:00,21071,398
2020-06-19T12:15:00+02:00,21157,377
2020-06-20T12:15:00+02:00,20847,362
2020-06-21T12:15:00+02:00,20265,353
2020-06-22T12:15:00+02:00,20284,368
2020-06-23T12:15:00+02:00,20913,362
2020-06-24T12:15:00+02:00,21008,356
2020-06-25T12:15:00+02:00,21008,361
2020-06-26T12:15:00+02:00,21133,363
2020-06-27T12:15:00+02:00,20938,345
2020-06-28T12:15:00+02:00,20435,338
2020-06-29T12:15:00+02:00,20378,332
2020-06-30T12:15:00+02:00,20951,334
2020-07-01T12:15:00+02:00,21346,327
2020-07-02T12:15:00+02:00,21446,326
2020-07-03T12:15:00+02:00,21212,319
2020-07-04T12:15:00+02:00,20834,323
2020-07-05T12:15:00+02:00,20283,301
2020-07-06T12:15:00+02:00,20369,312
2020-07-07T12:15:00+02:00,20922,297
2020-07-08T12:15:00+02:00,21145,291
2020-07-09T12:15:00+02:00,21181,278
2020-07-10T12:15:00+02:00,21263,279
2020-07-11T12:15:00+02:00,21010,254
2020-07-12T12:15:00+02:00,20392,255
2020-07-13T12:15:00+02:00,20241,264
2020-07-14T12:15:00+02:00,20982,261
2020-07-15T12:15:00+02:00,21392,247
2020-07-16T12:15:00+02:00,21442,254
2020-07-17T12:15:00+02:00,21485,248
2020-07-18T12:15:00+02:00,21085,246
2020-07-19T12:15:00+02:00,20577,253
2020-07-20T12:15:00+02:00,20735,246
2020-07-21T12:15:00+02:00,21154,253
2020-07-22T12:15:00+02:00,21443,249
2020-07-23T12:15:00+02:00,21491,238
2020-07-24T12:15:00+02:00,21625,236
2020-07-25T12:15:00+02:00,21348,248
2020-07-26T12:15:00+02:00,20858,267
2020-07-27T12:15:00+02:00,20761,258
2020-07-28T12:15:00+02:00,21407,255
2020-07-29T12:15:00+02:00,21715,257
2020-07-30T12:15:00+02:00,21586,262
2020-07-31T12:15:00+02:00,21600,261
2020-08-01T12:15:00+02:00,21350,257
2020-08-02T12:15:00+02:00,20868,269
2020-08-03T12:15:00+02:00,20875,267
2020-08-04T12:15:00+02:00,21418,260
2020-08-05T12:15:00+02:00,21665,240
2020-08-06T12:15:00+02:00,21649,237
2020-08-07T12:15:00+02:00,21681,227
