date,faelleCovidAktuell,intensivBettenBelegt
"2020-03-20T12:15:00+01:00",200,576
"2020-03-21T12:15:00+01:00",308,2828
"2020-03-22T12:15:00+01:00",364,3255
"2020-03-23T12:15:00+01:00",451,3778
"2020-03-24T12:15:00+01:00",616,4856
"2020-03-25T12:15:00+01:00",789,5471
"2020-03-26T12:15:00+01:00",824,5960
"2020-03-27T12:15:00+01:00",905,6274
"2020-03-28T12:15:00+01:00",1001,6738
"2020-03-29T12:15:00+02:00",1063,6724
"2020-03-30T12:15:00+02:00",1203,7069
"2020-03-31T12:15:00+02:00",1550,8392
"2020-04-01T12:15:00+02:00",1784,9345
"2020-04-02T12:15:00+02:00",2102,10662
"2020-04-03T12:15:00+02:00",2361,11719
"2020-04-04T12:15:00+02:00",2471,11915
"2020-04-05T12:15:00+02:00",2528,11942
"2020-04-06T12:15:00+02:00",2551,11996
"2020-04-07T12:15:00+02:00",2641,11938
"2020-04-08T12:15:00+02:00",2654,12526
"2020-04-09T12:15:00+02:00",2714,13129
"2020-04-10T12:15:00+02:00",2702,12881
"2020-04-11T12:15:00+02:00",2652,12462
"2020-04-12T12:15:00+02:00",2652,12541
"2020-04-13T12:15:00+02:00",2719,12831
"2020-04-14T12:15:00+02:00",2722,13123
"2020-04-15T12:15:00+02:00",2735,14119
"2020-04-16T12:15:00+02:00",2810,15673
"2020-04-17T12:15:00+02:00",2879,16861
"2020-04-18T12:15:00+02:00",2928,17337
"2020-04-19T12:15:00+02:00",2870,16956
"2020-04-20T12:15:00+02:00",2900,17270
"2020-04-21T12:15:00+02:00",2855,18189
"2020-04-22T12:15:00+02:00",2739,18566
"2020-04-23T12:15:00+02:00",2720,18726
"2020-04-24T12:15:00+02:00",2644,18904
"2020-04-25T12:15:00+02:00",2538,18763
"2020-04-26T12:15:00+02:00",2524,18279
"2020-04-27T12:15:00+02:00",2466,18461
"2020-04-28T12:15:00+02:00",2391,18973
"2020-04-29T12:15:00+02:00",2310,19204
"2020-04-30T12:15:00+02:00",2235,19155
"2020-05-01T12:15:00+02:00",2118,19218
"2020-05-02T12:15:00+02:00",2046,18579
"2020-05-03T12:15:00+02:00",2011,18706
"2020-05-04T12:15:00+02:00",1976,18619
"2020-05-05T12:15:00+02:00",1903,19195
"2020-05-06T12:15:00+02:00",1820,19560
"2020-05-07T12:15:00+02:00",1763,19536
"2020-05-08T12:15:00+02:00",1659,19484
"2020-05-09T12:15:00+02:00",1594,19287
"2020-05-10T12:15:00+02:00",1603,18734
"2020-05-11T12:15:00+02:00",1587,18891
"2020-05-12T12:15:00+02:00",1496,19791
"2020-05-13T12:15:00+02:00",1384,19730
"2020-05-14T12:15:00+02:00",1316,19663
"2020-05-15T12:15:00+02:00",1232,19991
"2020-05-16T12:15:00+02:00",1173,19629
"2020-05-17T12:15:00+02:00",1125,19112
"2020-05-18T12:15:00+02:00",1122,19070
"2020-05-19T12:15:00+02:00",1087,19647
"2020-05-20T12:15:00+02:00",1019,19878
"2020-05-21T12:15:00+02:00",999,19877
"2020-05-22T12:15:00+02:00",971,19318
"2020-05-23T12:15:00+02:00",928,19505
"2020-05-24T12:15:00+02:00",896,19021
"2020-05-25T12:15:00+02:00",883,19076
"2020-05-26T12:15:00+02:00",810,19611
"2020-05-27T12:15:00+02:00",749,19874
"2020-05-28T12:15:00+02:00",723,19971
"2020-05-29T12:15:00+02:00",722,19899
"2020-05-30T12:15:00+02:00",711,19804
"2020-05-31T12:15:00+02:00",697,19139
"2020-06-01T12:15:00+02:00",696,19074
"2020-06-02T12:15:00+02:00",691,19143
"2020-06-03T12:15:00+02:00",631,19841
"2020-06-04T12:15:00+02:00",595,20160
"2020-06-05T12:15:00+02:00",584,20239
"2020-06-06T12:15:00+02:00",561,19964
"2020-06-07T12:15:00+02:00",566,19376
"2020-06-08T12:15:00+02:00",543,19230
"2020-06-09T12:15:00+02:00",516,20070
"2020-06-10T12:15:00+02:00",483,20218
"2020-06-11T12:15:00+02:00",452,20144
"2020-06-12T12:15:00+02:00",450,19675
"2020-06-13T12:15:00+02:00",441,19618
"2020-06-14T12:15:00+02:00",438,19233
"2020-06-15T12:15:00+02:00",434,19319
"2020-06-16T12:15:00+02:00",421,20038
"2020-06-17T12:15:00+02:00",407,20320
"2020-06-18T12:15:00+02:00",394,20448
"2020-06-19T12:15:00+02:00",374,20541
"2020-06-20T12:15:00+02:00",359,20226
"2020-06-21T12:15:00+02:00",350,19658
"2020-06-22T12:15:00+02:00",363,19676
"2020-06-23T12:15:00+02:00",358,20298
"2020-06-24T12:15:00+02:00",353,20380
"2020-06-25T12:15:00+02:00",358,20376
"2020-06-26T12:15:00+02:00",359,20522
"2020-06-27T12:15:00+02:00",343,20314
"2020-06-28T12:15:00+02:00",335,19811
"2020-06-29T12:15:00+02:00",329,19752
"2020-06-30T12:15:00+02:00",333,20325
"2020-07-01T12:15:00+02:00",324,20709
"2020-07-02T12:15:00+02:00",325,20806
"2020-07-03T12:15:00+02:00",314,20590
"2020-07-04T12:15:00+02:00",320,20226
"2020-07-05T12:15:00+02:00",299,19671
"2020-07-06T12:15:00+02:00",305,19716
"2020-07-07T12:15:00+02:00",292,20264
"2020-07-08T12:15:00+02:00",287,20483
"2020-07-09T12:15:00+02:00",272,20548
"2020-07-10T12:15:00+02:00",276,20641
"2020-07-11T12:15:00+02:00",253,20374
"2020-07-12T12:15:00+02:00",254,19767
"2020-07-13T12:15:00+02:00",263,19636
"2020-07-14T12:15:00+02:00",256,20355
"2020-07-15T12:15:00+02:00",246,20744
"2020-07-16T12:15:00+02:00",251,20784
"2020-07-17T12:15:00+02:00",246,20842
"2020-07-18T12:15:00+02:00",246,20453
"2020-07-19T12:15:00+02:00",249,19974
"2020-07-20T12:15:00+02:00",245,20115
"2020-07-21T12:15:00+02:00",251,20450
"2020-07-22T12:15:00+02:00",248,20592
"2020-07-23T12:15:00+02:00",234,20505
"2020-07-24T12:15:00+02:00",235,20553
"2020-07-25T12:15:00+02:00",247,20261
