date,faelleCovidAktuell
"2020-03-20T12:15:00+01:00",200
"2020-03-21T12:15:00+01:00",308
"2020-03-22T12:15:00+01:00",364
"2020-03-23T12:15:00+01:00",451
"2020-03-24T12:15:00+01:00",616
"2020-03-25T12:15:00+01:00",789
"2020-03-26T12:15:00+01:00",824
"2020-03-27T12:15:00+01:00",905
"2020-03-28T12:15:00+01:00",1001
"2020-03-29T12:15:00+02:00",1063
"2020-03-30T12:15:00+02:00",1203
"2020-03-31T12:15:00+02:00",1551
"2020-04-01T12:15:00+02:00",1785
"2020-04-02T12:15:00+02:00",2103
"2020-04-03T12:15:00+02:00",2364
"2020-04-04T12:15:00+02:00",2474
"2020-04-05T12:15:00+02:00",2531
"2020-04-06T12:15:00+02:00",2554
"2020-04-07T12:15:00+02:00",2644
"2020-04-08T12:15:00+02:00",2661
"2020-04-09T12:15:00+02:00",2718
"2020-04-10T12:15:00+02:00",2704
"2020-04-11T12:15:00+02:00",2657
"2020-04-12T12:15:00+02:00",2657
"2020-04-13T12:15:00+02:00",2722
"2020-04-14T12:15:00+02:00",2725
"2020-04-15T12:15:00+02:00",2739
"2020-04-16T12:15:00+02:00",2817
"2020-04-17T12:15:00+02:00",2883
"2020-04-18T12:15:00+02:00",2933
"2020-04-19T12:15:00+02:00",2875
"2020-04-20T12:15:00+02:00",2905
"2020-04-21T12:15:00+02:00",2860
"2020-04-22T12:15:00+02:00",2744
"2020-04-23T12:15:00+02:00",2728
"2020-04-24T12:15:00+02:00",2650
"2020-04-25T12:15:00+02:00",2543
"2020-04-26T12:15:00+02:00",2529
"2020-04-27T12:15:00+02:00",2471
"2020-04-28T12:15:00+02:00",2394
"2020-04-29T12:15:00+02:00",2313
"2020-04-30T12:15:00+02:00",2241
"2020-05-01T12:15:00+02:00",2124
"2020-05-02T12:15:00+02:00",2052
"2020-05-03T12:15:00+02:00",2018
"2020-05-04T12:15:00+02:00",1980
"2020-05-05T12:15:00+02:00",1906
"2020-05-06T12:15:00+02:00",1825
"2020-05-07T12:15:00+02:00",1769
"2020-05-08T12:15:00+02:00",1662
"2020-05-09T12:15:00+02:00",1596
"2020-05-10T12:15:00+02:00",1605
"2020-05-11T12:15:00+02:00",1590
"2020-05-12T12:15:00+02:00",1499
"2020-05-13T12:15:00+02:00",1386
"2020-05-14T12:15:00+02:00",1318
"2020-05-15T12:15:00+02:00",1235
"2020-05-16T12:15:00+02:00",1176
"2020-05-17T12:15:00+02:00",1128
"2020-05-18T12:15:00+02:00",1126
"2020-05-19T12:15:00+02:00",1088
"2020-05-20T12:15:00+02:00",1021
"2020-05-21T12:15:00+02:00",1000
"2020-05-22T12:15:00+02:00",975
"2020-05-23T12:15:00+02:00",931
"2020-05-24T12:15:00+02:00",900
"2020-05-25T12:15:00+02:00",885
"2020-05-26T12:15:00+02:00",816
"2020-05-27T12:15:00+02:00",751
"2020-05-28T12:15:00+02:00",726
"2020-05-29T12:15:00+02:00",725
"2020-05-30T12:15:00+02:00",716
"2020-05-31T12:15:00+02:00",699
"2020-06-01T12:15:00+02:00",698
"2020-06-02T12:15:00+02:00",694
"2020-06-03T12:15:00+02:00",635
"2020-06-04T12:15:00+02:00",600
"2020-06-05T12:15:00+02:00",588
"2020-06-06T12:15:00+02:00",562
"2020-06-07T12:15:00+02:00",567
"2020-06-08T12:15:00+02:00",546
"2020-06-09T12:15:00+02:00",522
"2020-06-10T12:15:00+02:00",488
"2020-06-11T12:15:00+02:00",453
"2020-06-12T12:15:00+02:00",453
"2020-06-13T12:15:00+02:00",442
"2020-06-14T12:15:00+02:00",438
"2020-06-15T12:15:00+02:00",434
"2020-06-16T12:15:00+02:00",422
"2020-06-17T12:15:00+02:00",409
"2020-06-18T12:15:00+02:00",398
"2020-06-19T12:15:00+02:00",377
"2020-06-20T12:15:00+02:00",362
"2020-06-21T12:15:00+02:00",353
"2020-06-22T12:15:00+02:00",368
"2020-06-23T12:15:00+02:00",362
"2020-06-24T12:15:00+02:00",356
"2020-06-25T12:15:00+02:00",361
"2020-06-26T12:15:00+02:00",363
"2020-06-27T12:15:00+02:00",345
"2020-06-28T12:15:00+02:00",338
"2020-06-29T12:15:00+02:00",332
"2020-06-30T12:15:00+02:00",334
"2020-07-01T12:15:00+02:00",327
"2020-07-02T12:15:00+02:00",326
"2020-07-03T12:15:00+02:00",319
"2020-07-04T12:15:00+02:00",323
"2020-07-05T12:15:00+02:00",301
"2020-07-06T12:15:00+02:00",312
"2020-07-07T12:15:00+02:00",297
"2020-07-08T12:15:00+02:00",291
"2020-07-09T12:15:00+02:00",278
"2020-07-10T12:15:00+02:00",279
"2020-07-11T12:15:00+02:00",254
"2020-07-12T12:15:00+02:00",255
"2020-07-13T12:15:00+02:00",264
"2020-07-14T12:15:00+02:00",261
"2020-07-15T12:15:00+02:00",247
"2020-07-16T12:15:00+02:00",254
"2020-07-17T12:15:00+02:00",248
"2020-07-18T12:15:00+02:00",246
"2020-07-19T12:15:00+02:00",253
"2020-07-20T12:15:00+02:00",246
"2020-07-21T12:15:00+02:00",253
"2020-07-22T12:15:00+02:00",249
"2020-07-23T12:15:00+02:00",238
"2020-07-24T12:15:00+02:00",236
"2020-07-25T12:15:00+02:00",248
"2020-07-26T12:15:00+02:00",267
"2020-07-27T12:15:00+02:00",258
"2020-07-28T12:15:00+02:00",255
"2020-07-29T12:15:00+02:00",257
"2020-07-30T12:15:00+02:00",262
"2020-07-31T12:15:00+02:00",261
"2020-08-01T12:15:00+02:00",257
"2020-08-02T12:15:00+02:00",269
"2020-08-03T12:15:00+02:00",267
"2020-08-04T12:15:00+02:00",260
"2020-08-05T12:15:00+02:00",240
"2020-08-06T12:15:00+02:00",237
"2020-08-07T12:15:00+02:00",227
"2020-08-08T12:15:00+02:00",229
"2020-08-09T12:15:00+02:00",234
"2020-08-10T12:15:00+02:00",228
"2020-08-11T12:15:00+02:00",231
"2020-08-12T12:15:00+02:00",221
"2020-08-13T12:15:00+02:00",224
"2020-08-14T12:15:00+02:00",230
"2020-08-15T12:15:00+02:00",228
"2020-08-16T12:15:00+02:00",225
"2020-08-17T12:15:00+02:00",227
"2020-08-18T12:15:00+02:00",220
"2020-08-19T12:15:00+02:00",227
"2020-08-20T12:15:00+02:00",230
"2020-08-21T12:15:00+02:00",237
"2020-08-22T12:15:00+02:00",232
"2020-08-23T12:15:00+02:00",245
"2020-08-24T12:15:00+02:00",245
"2020-08-25T12:15:00+02:00",225
"2020-08-26T12:15:00+02:00",227
"2020-08-27T12:15:00+02:00",240
"2020-08-28T12:15:00+02:00",236
"2020-08-29T12:15:00+02:00",241
"2020-08-30T12:15:00+02:00",244
"2020-08-31T12:15:00+02:00",245
"2020-09-01T12:15:00+02:00",234
"2020-09-02T12:15:00+02:00",227
"2020-09-03T12:15:00+02:00",222
"2020-09-04T12:15:00+02:00",224
"2020-09-05T12:15:00+02:00",222
"2020-09-06T12:15:00+02:00",218
"2020-09-07T12:15:00+02:00",228
"2020-09-08T12:15:00+02:00",230
"2020-09-09T12:15:00+02:00",227
"2020-09-10T12:15:00+02:00",233
"2020-09-11T12:15:00+02:00",220
"2020-09-12T12:15:00+02:00",233
"2020-09-13T12:15:00+02:00",236
"2020-09-14T12:15:00+02:00",237
"2020-09-15T12:15:00+02:00",236
"2020-09-16T12:15:00+02:00",233
"2020-09-17T12:15:00+02:00",238
"2020-09-18T12:15:00+02:00",246
"2020-09-19T12:15:00+02:00",257
"2020-09-20T12:15:00+02:00",268
"2020-09-21T12:15:00+02:00",267
"2020-09-22T12:15:00+02:00",278
"2020-09-23T12:15:00+02:00",293
"2020-09-24T12:15:00+02:00",296
"2020-09-25T12:15:00+02:00",301
"2020-09-26T12:15:00+02:00",312
"2020-09-27T12:15:00+02:00",325
"2020-09-28T12:15:00+02:00",353
"2020-09-29T12:15:00+02:00",352
"2020-09-30T12:15:00+02:00",355
"2020-10-01T12:15:00+02:00",362
"2020-10-02T12:15:00+02:00",373
"2020-10-03T12:15:00+02:00",403
"2020-10-04T12:15:00+02:00",424
"2020-10-05T12:15:00+02:00",446
"2020-10-06T12:15:00+02:00",449
"2020-10-07T12:15:00+02:00",470
"2020-10-08T12:15:00+02:00",487
"2020-10-09T12:15:00+02:00",510
"2020-10-10T12:15:00+02:00",531
"2020-10-11T12:15:00+02:00",545
"2020-10-12T12:15:00+02:00",590
"2020-10-13T12:15:00+02:00",618
"2020-10-14T12:15:00+02:00",602
"2020-10-15T12:15:00+02:00",655
"2020-10-16T12:15:00+02:00",690
"2020-10-17T12:15:00+02:00",731
"2020-10-18T12:15:00+02:00",769
"2020-10-19T12:15:00+02:00",851
"2020-10-20T12:15:00+02:00",879
"2020-10-21T12:15:00+02:00",943
"2020-10-22T12:15:00+02:00",1030
"2020-10-23T12:15:00+02:00",1121
"2020-10-24T12:15:00+02:00",1200
"2020-10-25T12:15:00+01:00",1294
"2020-10-26T12:15:00+01:00",1360
"2020-10-27T12:15:00+01:00",1468
"2020-10-28T12:15:00+01:00",1569
"2020-10-29T12:15:00+01:00",1696
"2020-10-30T12:15:00+01:00",1839
"2020-10-31T12:15:00+01:00",1944
"2020-11-01T12:15:00+01:00",2061
"2020-11-02T12:15:00+01:00",2243
"2020-11-03T12:15:00+01:00",2380
"2020-11-04T12:15:00+01:00",2546
"2020-11-05T12:15:00+01:00",2653
"2020-11-06T12:15:00+01:00",2753
"2020-11-07T12:15:00+01:00",2839
"2020-11-08T12:15:00+01:00",2905
"2020-11-09T12:15:00+01:00",3007
"2020-11-10T12:15:00+01:00",3058
"2020-11-11T12:15:00+01:00",3124
"2020-11-12T12:15:00+01:00",3185
"2020-11-13T12:15:00+01:00",3298
"2020-11-14T12:15:00+01:00",3324
"2020-11-15T12:15:00+01:00",3385
"2020-11-16T12:15:00+01:00",3435
"2020-11-17T12:15:00+01:00",3517
"2020-11-18T12:15:00+01:00",3561
"2020-11-19T12:15:00+01:00",3593
"2020-11-20T12:15:00+01:00",3615
"2020-11-21T12:15:00+01:00",3632
"2020-11-22T12:15:00+01:00",3709
"2020-11-23T12:15:00+01:00",3740
"2020-11-24T12:15:00+01:00",3767
"2020-11-25T12:15:00+01:00",3778
"2020-11-26T12:15:00+01:00",3826
"2020-11-27T12:15:00+01:00",3855
"2020-11-28T12:15:00+01:00",3888
"2020-11-29T12:15:00+01:00",3899
"2020-11-30T12:15:00+01:00",3926
"2020-12-01T12:15:00+01:00",3921
"2020-12-02T12:15:00+01:00",3958
"2020-12-03T12:15:00+01:00",3980
"2020-12-04T12:15:00+01:00",4011
"2020-12-05T12:15:00+01:00",4051

