date,Belegte Betten,Freie Betten,Notfallreserve
2020-03-20T12:15:00+01:00,598,2921,0
2020-03-21T12:15:00+01:00,2871,3627,0
2020-03-22T12:15:00+01:00,3300,3783,0
2020-03-23T12:15:00+01:00,3832,4121,0
2020-03-24T12:15:00+01:00,4942,4797,0
2020-03-25T12:15:00+01:00,5596,5173,0
2020-03-26T12:15:00+01:00,6090,5239,0
2020-03-27T12:15:00+01:00,6426,5479,0
2020-03-28T12:15:00+01:00,6895,5497,0
2020-03-29T12:15:00+02:00,6874,5589,0
2020-03-30T12:15:00+02:00,7232,5743,0
2020-03-31T12:15:00+02:00,8561,6357,0
2020-04-01T12:15:00+02:00,9471,7220,0
2020-04-02T12:15:00+02:00,10834,8152,0
2020-04-03T12:15:00+02:00,11903,8578,0
2020-04-04T12:15:00+02:00,12114,8837,0
2020-04-05T12:15:00+02:00,12147,8948,0
2020-04-06T12:15:00+02:00,12186,8962,0
2020-04-07T12:15:00+02:00,12108,8952,0
2020-04-08T12:15:00+02:00,12790,9119,0
2020-04-09T12:15:00+02:00,13371,9154,0
2020-04-10T12:15:00+02:00,13121,9135,0
2020-04-11T12:15:00+02:00,12709,9154,0
2020-04-12T12:15:00+02:00,12784,9299,0
2020-04-13T12:15:00+02:00,13072,9337,0
2020-04-14T12:15:00+02:00,13360,9579,0
2020-04-15T12:15:00+02:00,14327,10071,0
2020-04-16T12:15:00+02:00,15911,11395,0
2020-04-17T12:15:00+02:00,17121,11651,0
2020-04-18T12:15:00+02:00,17597,11821,0
2020-04-19T12:15:00+02:00,17216,12247,0
2020-04-20T12:15:00+02:00,17528,12221,0
2020-04-21T12:15:00+02:00,18466,12093,0
2020-04-22T12:15:00+02:00,18862,12116,0
2020-04-23T12:15:00+02:00,19060,12190,0
2020-04-24T12:15:00+02:00,19263,12287,0
2020-04-25T12:15:00+02:00,19129,12304,0
2020-04-26T12:15:00+02:00,18645,12709,0
2020-04-27T12:15:00+02:00,18833,12550,0
2020-04-28T12:15:00+02:00,19372,12223,0
2020-04-29T12:15:00+02:00,19640,12160,0
2020-04-30T12:15:00+02:00,19599,12208,0
2020-05-01T12:15:00+02:00,19669,12311,0
2020-05-02T12:15:00+02:00,19033,12928,0
2020-05-03T12:15:00+02:00,19159,12788,0
2020-05-04T12:15:00+02:00,19080,12733,0
2020-05-05T12:15:00+02:00,19697,12157,0
2020-05-06T12:15:00+02:00,20095,11859,0
2020-05-07T12:15:00+02:00,20065,11823,0
2020-05-08T12:15:00+02:00,20037,11670,0
2020-05-09T12:15:00+02:00,19816,11899,0
2020-05-10T12:15:00+02:00,19260,12316,0
2020-05-11T12:15:00+02:00,19420,12138,0
2020-05-12T12:15:00+02:00,20306,11935,0
2020-05-13T12:15:00+02:00,20243,11585,0
2020-05-14T12:15:00+02:00,20151,11758,0
2020-05-15T12:15:00+02:00,20490,11429,0
2020-05-16T12:15:00+02:00,20130,11619,0
2020-05-17T12:15:00+02:00,19597,12184,0
2020-05-18T12:15:00+02:00,19566,12147,0
2020-05-19T12:15:00+02:00,20158,11402,0
2020-05-20T12:15:00+02:00,20415,11333,0
2020-05-21T12:15:00+02:00,20412,11367,0
2020-05-22T12:15:00+02:00,19854,11920,0
2020-05-23T12:15:00+02:00,20047,11907,0
2020-05-24T12:15:00+02:00,19558,12254,0
2020-05-25T12:15:00+02:00,19647,12300,0
2020-05-26T12:15:00+02:00,20192,11655,0
2020-05-27T12:15:00+02:00,20488,11279,0
2020-05-28T12:15:00+02:00,20569,11157,0
2020-05-29T12:15:00+02:00,20498,11166,0
2020-05-30T12:15:00+02:00,20381,11299,0
2020-05-31T12:15:00+02:00,19718,11890,0
2020-06-01T12:15:00+02:00,19646,11971,0
2020-06-02T12:15:00+02:00,19722,11870,0
2020-06-03T12:15:00+02:00,20447,11199,0
2020-06-04T12:15:00+02:00,20765,10849,0
2020-06-05T12:15:00+02:00,20827,10760,0
2020-06-06T12:15:00+02:00,20567,11006,0
2020-06-07T12:15:00+02:00,19976,11566,0
2020-06-08T12:15:00+02:00,19838,11705,0
2020-06-09T12:15:00+02:00,20691,10952,0
2020-06-10T12:15:00+02:00,20857,10829,0
2020-06-11T12:15:00+02:00,20784,10876,0
2020-06-12T12:15:00+02:00,20292,11310,0
2020-06-13T12:15:00+02:00,20235,11294,0
2020-06-14T12:15:00+02:00,19836,11665,0
2020-06-15T12:15:00+02:00,19904,11703,0
2020-06-16T12:15:00+02:00,20619,11026,0
2020-06-17T12:15:00+02:00,20934,10728,0
2020-06-18T12:15:00+02:00,21071,10692,0
2020-06-19T12:15:00+02:00,21157,10592,0
2020-06-20T12:15:00+02:00,20847,10847,0
2020-06-21T12:15:00+02:00,20265,11421,0
2020-06-22T12:15:00+02:00,20284,11586,0
2020-06-23T12:15:00+02:00,20913,10951,0
2020-06-24T12:15:00+02:00,21008,10922,0
2020-06-25T12:15:00+02:00,21008,10877,0
2020-06-26T12:15:00+02:00,21133,10673,0
2020-06-27T12:15:00+02:00,20938,10866,0
2020-06-28T12:15:00+02:00,20435,11344,0
2020-06-29T12:15:00+02:00,20378,11489,0
2020-06-30T12:15:00+02:00,20951,10967,0
2020-07-01T12:15:00+02:00,21346,10667,0
2020-07-02T12:15:00+02:00,21446,10565,0
2020-07-03T12:15:00+02:00,21212,10510,0
2020-07-04T12:15:00+02:00,20834,10985,0
2020-07-05T12:15:00+02:00,20283,11481,0
2020-07-06T12:15:00+02:00,20369,11543,0
2020-07-07T12:15:00+02:00,20922,11073,0
2020-07-08T12:15:00+02:00,21145,10842,0
2020-07-09T12:15:00+02:00,21181,10733,0
2020-07-10T12:15:00+02:00,21263,10620,0
2020-07-11T12:15:00+02:00,21010,10845,0
2020-07-12T12:15:00+02:00,20392,11299,0
2020-07-13T12:15:00+02:00,20241,11518,0
2020-07-14T12:15:00+02:00,20982,10841,0
2020-07-15T12:15:00+02:00,21392,10493,0
2020-07-16T12:15:00+02:00,21442,10475,0
2020-07-17T12:15:00+02:00,21485,10488,0
2020-07-18T12:15:00+02:00,21085,10758,0
2020-07-19T12:15:00+02:00,20577,11192,0
2020-07-20T12:15:00+02:00,20735,11229,0
2020-07-21T12:15:00+02:00,21154,10884,0
2020-07-22T12:15:00+02:00,21443,10739,0
2020-07-23T12:15:00+02:00,21491,10862,0
2020-07-24T12:15:00+02:00,21625,10733,0
2020-07-25T12:15:00+02:00,21348,10940,0
2020-07-26T12:15:00+02:00,20858,11422,0
2020-07-27T12:15:00+02:00,20761,11578,0
2020-07-28T12:15:00+02:00,21407,11044,0
2020-07-29T12:15:00+02:00,21715,10897,0
2020-07-30T12:15:00+02:00,21586,11081,0
2020-07-31T12:15:00+02:00,21600,11043,0
2020-08-01T12:15:00+02:00,21350,11241,0
2020-08-02T12:15:00+02:00,20868,11677,0
2020-08-03T12:15:00+02:00,20875,11761,0
2020-08-04T12:15:00+02:00,21418,9551,12305
2020-08-05T12:15:00+02:00,21665,9165,12735
2020-08-06T12:15:00+02:00,21649,9128,12687
2020-08-07T12:15:00+02:00,21681,9058,12626
2020-08-08T12:15:00+02:00,21413,9205,12656
2020-08-09T12:15:00+02:00,20987,9605,12628
2020-08-10T12:15:00+02:00,20975,9510,12606
2020-08-11T12:15:00+02:00,21625,8867,12636
2020-08-12T12:15:00+02:00,21810,8778,12604
2020-08-13T12:15:00+02:00,21891,8608,12642
2020-08-14T12:15:00+02:00,22023,8549,12553
2020-08-15T12:15:00+02:00,21708,8768,12614
2020-08-16T12:15:00+02:00,21225,9229,12568
