countMeldebereiche,date
308,"2020-03-20T12:15:00+01:00"
402,"2020-03-21T12:15:00+01:00"
426,"2020-03-22T12:15:00+01:00"
463,"2020-03-23T12:15:00+01:00"
533,"2020-03-24T12:15:00+01:00"
581,"2020-03-25T12:15:00+01:00"
591,"2020-03-26T12:15:00+01:00"
606,"2020-03-27T12:15:00+01:00"
616,"2020-03-28T12:15:00+01:00"
613,"2020-03-29T12:15:00+02:00"
622,"2020-03-30T12:15:00+02:00"
701,"2020-03-31T12:15:00+02:00"
789,"2020-04-01T12:15:00+02:00"
866,"2020-04-02T12:15:00+02:00"
939,"2020-04-03T12:15:00+02:00"
984,"2020-04-04T12:15:00+02:00"
983,"2020-04-05T12:15:00+02:00"
979,"2020-04-06T12:15:00+02:00"
978,"2020-04-07T12:15:00+02:00"
979,"2020-04-08T12:15:00+02:00"
978,"2020-04-09T12:15:00+02:00"
945,"2020-04-10T12:15:00+02:00"
920,"2020-04-11T12:15:00+02:00"
937,"2020-04-12T12:15:00+02:00"
948,"2020-04-13T12:15:00+02:00"
979,"2020-04-14T12:15:00+02:00"
1040,"2020-04-15T12:15:00+02:00"
1137,"2020-04-16T12:15:00+02:00"
1209,"2020-04-17T12:15:00+02:00"
1253,"2020-04-18T12:15:00+02:00"
1256,"2020-04-19T12:15:00+02:00"
1272,"2020-04-20T12:15:00+02:00"
1286,"2020-04-21T12:15:00+02:00"
1293,"2020-04-22T12:15:00+02:00"
1308,"2020-04-23T12:15:00+02:00"
1312,"2020-04-24T12:15:00+02:00"
1312,"2020-04-25T12:15:00+02:00"
1312,"2020-04-26T12:15:00+02:00"
1313,"2020-04-27T12:15:00+02:00"
1317,"2020-04-28T12:15:00+02:00"
1322,"2020-04-29T12:15:00+02:00"
1322,"2020-04-30T12:15:00+02:00"
1329,"2020-05-01T12:15:00+02:00"
1329,"2020-05-02T12:15:00+02:00"
1329,"2020-05-03T12:15:00+02:00"
1329,"2020-05-04T12:15:00+02:00"
1332,"2020-05-05T12:15:00+02:00"
1331,"2020-05-06T12:15:00+02:00"
1330,"2020-05-07T12:15:00+02:00"
1330,"2020-05-08T12:15:00+02:00"
1330,"2020-05-09T12:15:00+02:00"
1330,"2020-05-10T12:15:00+02:00"
1331,"2020-05-11T12:15:00+02:00"
1339,"2020-05-12T12:15:00+02:00"
1341,"2020-05-13T12:15:00+02:00"
1345,"2020-05-14T12:15:00+02:00"
1345,"2020-05-15T12:15:00+02:00"
1345,"2020-05-16T12:15:00+02:00"
1345,"2020-05-17T12:15:00+02:00"
1346,"2020-05-18T12:15:00+02:00"
1348,"2020-05-19T12:15:00+02:00"
1348,"2020-05-20T12:15:00+02:00"
1349,"2020-05-21T12:15:00+02:00"
1348,"2020-05-22T12:15:00+02:00"
1348,"2020-05-23T12:15:00+02:00"
1348,"2020-05-24T12:15:00+02:00"
1350,"2020-05-25T12:15:00+02:00"
1351,"2020-05-26T12:15:00+02:00"
1349,"2020-05-27T12:15:00+02:00"
1349,"2020-05-28T12:15:00+02:00"
1348,"2020-05-29T12:15:00+02:00"
1347,"2020-05-30T12:15:00+02:00"
1347,"2020-05-31T12:15:00+02:00"
1347,"2020-06-01T12:15:00+02:00"
1344,"2020-06-02T12:15:00+02:00"
1344,"2020-06-03T12:15:00+02:00"
1344,"2020-06-04T12:15:00+02:00"
1343,"2020-06-05T12:15:00+02:00"
1344,"2020-06-06T12:15:00+02:00"
1344,"2020-06-07T12:15:00+02:00"
1344,"2020-06-08T12:15:00+02:00"
1348,"2020-06-09T12:15:00+02:00"
1349,"2020-06-10T12:15:00+02:00"
1351,"2020-06-11T12:15:00+02:00"
1351,"2020-06-12T12:15:00+02:00"
1352,"2020-06-13T12:15:00+02:00"
1352,"2020-06-14T12:15:00+02:00"
1351,"2020-06-15T12:15:00+02:00"
1351,"2020-06-16T12:15:00+02:00"
1351,"2020-06-17T12:15:00+02:00"
1352,"2020-06-18T12:15:00+02:00"
1352,"2020-06-19T12:15:00+02:00"
1354,"2020-06-20T12:15:00+02:00"
1354,"2020-06-21T12:15:00+02:00"
1357,"2020-06-22T12:15:00+02:00"
1358,"2020-06-23T12:15:00+02:00"
1358,"2020-06-24T12:15:00+02:00"
1356,"2020-06-25T12:15:00+02:00"
1356,"2020-06-26T12:15:00+02:00"
1357,"2020-06-27T12:15:00+02:00"
1357,"2020-06-28T12:15:00+02:00"
1357,"2020-06-29T12:15:00+02:00"
1357,"2020-06-30T12:15:00+02:00"
1356,"2020-07-01T12:15:00+02:00"
1356,"2020-07-02T12:15:00+02:00"
1353,"2020-07-03T12:15:00+02:00"
1352,"2020-07-04T12:15:00+02:00"
1352,"2020-07-05T12:15:00+02:00"
1352,"2020-07-06T12:15:00+02:00"
1352,"2020-07-07T12:15:00+02:00"
1353,"2020-07-08T12:15:00+02:00"
1352,"2020-07-09T12:15:00+02:00"
1351,"2020-07-10T12:15:00+02:00"
1352,"2020-07-11T12:15:00+02:00"
1351,"2020-07-12T12:15:00+02:00"
1352,"2020-07-13T12:15:00+02:00"
1352,"2020-07-14T12:15:00+02:00"
1353,"2020-07-15T12:15:00+02:00"
1355,"2020-07-16T12:15:00+02:00"
1355,"2020-07-17T12:15:00+02:00"
1353,"2020-07-18T12:15:00+02:00"
1353,"2020-07-19T12:15:00+02:00"
1356,"2020-07-20T12:15:00+02:00"
1352,"2020-07-21T12:15:00+02:00"
1346,"2020-07-22T12:15:00+02:00"
1339,"2020-07-23T12:15:00+02:00"
1337,"2020-07-24T12:15:00+02:00"
1335,"2020-07-25T12:15:00+02:00"
1335,"2020-07-26T12:15:00+02:00"
1336,"2020-07-27T12:15:00+02:00"
1333,"2020-07-28T12:15:00+02:00"
1334,"2020-07-29T12:15:00+02:00"
1333,"2020-07-30T12:15:00+02:00"
1334,"2020-07-31T12:15:00+02:00"
1336,"2020-08-01T12:15:00+02:00"
1335,"2020-08-02T12:15:00+02:00"
1336,"2020-08-03T12:15:00+02:00"
1338,"2020-08-04T12:15:00+02:00"
1339,"2020-08-05T12:15:00+02:00"
1338,"2020-08-06T12:15:00+02:00"
1337,"2020-08-07T12:15:00+02:00"
1338,"2020-08-08T12:15:00+02:00"
1338,"2020-08-09T12:15:00+02:00"
1327,"2020-08-10T12:15:00+02:00"
1327,"2020-08-11T12:15:00+02:00"
1327,"2020-08-12T12:15:00+02:00"
1328,"2020-08-13T12:15:00+02:00"
1333,"2020-08-14T12:15:00+02:00"
1333,"2020-08-15T12:15:00+02:00"
1334,"2020-08-16T12:15:00+02:00"
1336,"2020-08-17T12:15:00+02:00"
1337,"2020-08-18T12:15:00+02:00"
1337,"2020-08-19T12:15:00+02:00"
1338,"2020-08-20T12:15:00+02:00"
1339,"2020-08-21T12:15:00+02:00"
1339,"2020-08-22T12:15:00+02:00"
1339,"2020-08-23T12:15:00+02:00"
1337,"2020-08-24T12:15:00+02:00"
1337,"2020-08-25T12:15:00+02:00"
1337,"2020-08-26T12:15:00+02:00"
1336,"2020-08-27T12:15:00+02:00"
1333,"2020-08-28T12:15:00+02:00"
1334,"2020-08-29T12:15:00+02:00"
1333,"2020-08-30T12:15:00+02:00"
1332,"2020-08-31T12:15:00+02:00"
1333,"2020-09-01T12:15:00+02:00"
1336,"2020-09-02T12:15:00+02:00"
1336,"2020-09-03T12:15:00+02:00"
1337,"2020-09-04T12:15:00+02:00"
1337,"2020-09-05T12:15:00+02:00"
1337,"2020-09-06T12:15:00+02:00"
1335,"2020-09-07T12:15:00+02:00"
1334,"2020-09-08T12:15:00+02:00"
1333,"2020-09-09T12:15:00+02:00"
1336,"2020-09-10T12:15:00+02:00"
1337,"2020-09-11T12:15:00+02:00"
1335,"2020-09-12T12:15:00+02:00"
1335,"2020-09-13T12:15:00+02:00"
1334,"2020-09-14T12:15:00+02:00"
1335,"2020-09-15T12:15:00+02:00"
1335,"2020-09-16T12:15:00+02:00"
1339,"2020-09-17T12:15:00+02:00"
1339,"2020-09-18T12:15:00+02:00"
1339,"2020-09-19T12:15:00+02:00"
1339,"2020-09-20T12:15:00+02:00"
1338,"2020-09-21T12:15:00+02:00"
1336,"2020-09-22T12:15:00+02:00"
1337,"2020-09-23T12:15:00+02:00"
1336,"2020-09-24T12:15:00+02:00"
1338,"2020-09-25T12:15:00+02:00"
1337,"2020-09-26T12:15:00+02:00"
1337,"2020-09-27T12:15:00+02:00"
1338,"2020-09-28T12:15:00+02:00"
1339,"2020-09-29T12:15:00+02:00"
1339,"2020-09-30T12:15:00+02:00"
1338,"2020-10-01T12:15:00+02:00"
1338,"2020-10-02T12:15:00+02:00"
1337,"2020-10-03T12:15:00+02:00"
1336,"2020-10-04T12:15:00+02:00"
1336,"2020-10-05T12:15:00+02:00"
1336,"2020-10-06T12:15:00+02:00"
1334,"2020-10-07T12:15:00+02:00"
1331,"2020-10-08T12:15:00+02:00"
1332,"2020-10-09T12:15:00+02:00"
1334,"2020-10-10T12:15:00+02:00"
1334,"2020-10-11T12:15:00+02:00"
1331,"2020-10-12T12:15:00+02:00"
1332,"2020-10-13T12:15:00+02:00"
1331,"2020-10-14T12:15:00+02:00"
1334,"2020-10-15T12:15:00+02:00"
1334,"2020-10-16T12:15:00+02:00"
1336,"2020-10-17T12:15:00+02:00"
1336,"2020-10-18T12:15:00+02:00"
1338,"2020-10-19T12:15:00+02:00"
1338,"2020-10-20T12:15:00+02:00"
1336,"2020-10-21T12:15:00+02:00"
1335,"2020-10-22T12:15:00+02:00"
1336,"2020-10-23T12:15:00+02:00"
1336,"2020-10-24T12:15:00+02:00"
1336,"2020-10-25T12:15:00+01:00"
1336,"2020-10-26T12:15:00+01:00"
1336,"2020-10-27T12:15:00+01:00"
1337,"2020-10-28T12:15:00+01:00"
1336,"2020-10-29T12:15:00+01:00"
1335,"2020-10-30T12:15:00+01:00"
1334,"2020-10-31T12:15:00+01:00"
1334,"2020-11-01T12:15:00+01:00"
1335,"2020-11-02T12:15:00+01:00"
1335,"2020-11-03T12:15:00+01:00"
1338,"2020-11-04T12:15:00+01:00"
1338,"2020-11-05T12:15:00+01:00"
1338,"2020-11-06T12:15:00+01:00"
1339,"2020-11-07T12:15:00+01:00"
1339,"2020-11-08T12:15:00+01:00"
1339,"2020-11-09T12:15:00+01:00"
1339,"2020-11-10T12:15:00+01:00"
1339,"2020-11-11T12:15:00+01:00"
1341,"2020-11-12T12:15:00+01:00"
1340,"2020-11-13T12:15:00+01:00"
1339,"2020-11-14T12:15:00+01:00"
1340,"2020-11-15T12:15:00+01:00"
1340,"2020-11-16T12:15:00+01:00"
1340,"2020-11-17T12:15:00+01:00"
1340,"2020-11-18T12:15:00+01:00"
1340,"2020-11-19T12:15:00+01:00"
1339,"2020-11-20T12:15:00+01:00"
1340,"2020-11-21T12:15:00+01:00"
1340,"2020-11-22T12:15:00+01:00"
1341,"2020-11-23T12:15:00+01:00"
1341,"2020-11-24T12:15:00+01:00"
1341,"2020-11-25T12:15:00+01:00"
1341,"2020-11-26T12:15:00+01:00"
1341,"2020-11-27T12:15:00+01:00"
1340,"2020-11-28T12:15:00+01:00"
1340,"2020-11-29T12:15:00+01:00"
1339,"2020-11-30T12:15:00+01:00"
1339,"2020-12-01T12:15:00+01:00"
1339,"2020-12-02T12:15:00+01:00"
1339,"2020-12-03T12:15:00+01:00"
1339,"2020-12-04T12:15:00+01:00"
1339,"2020-12-05T12:15:00+01:00"
1339,"2020-12-06T12:15:00+01:00"
1340,"2020-12-07T12:15:00+01:00"
1341,"2020-12-08T12:15:00+01:00"
1343,"2020-12-09T12:15:00+01:00"
1342,"2020-12-10T12:15:00+01:00"
1342,"2020-12-11T12:15:00+01:00"
1343,"2020-12-12T12:15:00+01:00"
