date,Belegte Betten,COVID-19-Fälle
2020-11-05T12:15:00+01:00,1328,240
2020-11-04T12:15:00+01:00,1321,232
2020-11-03T12:15:00+01:00,1293,212
2020-11-02T12:15:00+01:00,1233,202
2020-11-01T12:15:00+01:00,1248,184
2020-10-31T12:15:00+01:00,1264,174
2020-10-30T12:15:00+01:00,1277,166
2020-10-29T12:15:00+01:00,1299,158
2020-10-28T12:15:00+01:00,1274,146
2020-10-27T12:15:00+01:00,1265,151
2020-10-26T12:15:00+01:00,1214,142
2020-10-25T12:15:00+01:00,1213,120
2020-10-24T12:15:00+02:00,1232,107
2020-10-23T12:15:00+02:00,1233,101
2020-10-22T12:15:00+02:00,1220,87
2020-10-21T12:15:00+02:00,1213,84
2020-10-20T12:15:00+02:00,1185,53
2020-10-19T12:15:00+02:00,1164,53
2020-10-18T12:15:00+02:00,1156,50
2020-10-17T12:15:00+02:00,1177,48
2020-10-16T12:15:00+02:00,1243,45
2020-10-15T12:15:00+02:00,1229,40
2020-10-14T12:15:00+02:00,1206,37
2020-10-13T12:15:00+02:00,1172,35
2020-10-12T12:15:00+02:00,1141,32
2020-10-11T12:15:00+02:00,1116,30
2020-10-10T12:15:00+02:00,1173,27
2020-10-09T12:15:00+02:00,1204,22
2020-10-08T12:15:00+02:00,1210,22
2020-10-07T12:15:00+02:00,1215,21
2020-10-06T12:15:00+02:00,1178,19
2020-10-05T12:15:00+02:00,1143,15
2020-10-04T12:15:00+02:00,1130,14
2020-10-03T12:15:00+02:00,1178,12
2020-10-02T12:15:00+02:00,1198,12
2020-10-01T12:15:00+02:00,1195,12
2020-09-30T12:15:00+02:00,1193,9
2020-09-29T12:15:00+02:00,1164,10
2020-09-28T12:15:00+02:00,1131,9
2020-09-27T12:15:00+02:00,1129,7
2020-09-26T12:15:00+02:00,1185,7
2020-09-25T12:15:00+02:00,1199,8
2020-09-24T12:15:00+02:00,1215,9
2020-09-23T12:15:00+02:00,1223,8
2020-09-22T12:15:00+02:00,1233,7
2020-09-21T12:15:00+02:00,1169,6
2020-09-20T12:15:00+02:00,1195,7
2020-09-19T12:15:00+02:00,1218,7
2020-09-18T12:15:00+02:00,1265,8
2020-09-17T12:15:00+02:00,1246,7
2020-09-16T12:15:00+02:00,1250,10
2020-09-15T12:15:00+02:00,1218,8
2020-09-14T12:15:00+02:00,1178,8
2020-09-13T12:15:00+02:00,1195,6
2020-09-12T12:15:00+02:00,1250,6
2020-09-11T12:15:00+02:00,1271,6
2020-09-10T12:15:00+02:00,1277,6
2020-09-09T12:15:00+02:00,1258,8
2020-09-08T12:15:00+02:00,1245,7
2020-09-07T12:15:00+02:00,1182,6
2020-09-06T12:15:00+02:00,1182,6
2020-09-05T12:15:00+02:00,1225,6
2020-09-04T12:15:00+02:00,1352,6
2020-09-03T12:15:00+02:00,1361,6
2020-09-02T12:15:00+02:00,1353,6
2020-09-01T12:15:00+02:00,1371,5
2020-08-31T12:15:00+02:00,1310,5
2020-08-30T12:15:00+02:00,1324,6
2020-08-29T12:15:00+02:00,1361,6
2020-08-28T12:15:00+02:00,1354,6
2020-08-27T12:15:00+02:00,1344,7
