date,faelleCovidAktuell,intensivBettenBelegt
"2020-12-24T12:15:00+01:00",579,1257
"2020-12-23T12:15:00+01:00",594,1268
"2020-12-22T12:15:00+01:00",581,1282
"2020-12-21T12:15:00+01:00",595,1287
"2020-12-20T12:15:00+01:00",589,1294
"2020-12-19T12:15:00+01:00",582,1312
"2020-12-18T12:15:00+01:00",575,1333
"2020-12-17T12:15:00+01:00",573,1330
"2020-12-16T12:15:00+01:00",580,1350
"2020-12-15T12:15:00+01:00",552,1339
"2020-12-14T12:15:00+01:00",540,1289
"2020-12-13T12:15:00+01:00",520,1287
"2020-12-12T12:15:00+01:00",523,1311
"2020-12-11T12:15:00+01:00",512,1314
"2020-12-10T12:15:00+01:00",470,1303
"2020-12-09T12:15:00+01:00",461,1281
"2020-12-08T12:15:00+01:00",452,1276
"2020-12-07T12:15:00+01:00",440,1237
"2020-12-06T12:15:00+01:00",422,1206
"2020-12-05T12:15:00+01:00",415,1224
"2020-12-04T12:15:00+01:00",418,1233
"2020-12-03T12:15:00+01:00",420,1237
"2020-12-02T12:15:00+01:00",410,1227
"2020-12-01T12:15:00+01:00",385,1201
"2020-11-30T12:15:00+01:00",378,1183
"2020-11-29T12:15:00+01:00",376,1165
"2020-11-28T12:15:00+01:00",360,1195
"2020-11-27T12:15:00+01:00",347,1178
"2020-11-26T12:15:00+01:00",342,1208
"2020-11-25T12:15:00+01:00",345,1196
"2020-11-24T12:15:00+01:00",325,1198
"2020-11-23T12:15:00+01:00",322,1164
"2020-11-22T12:15:00+01:00",308,1144
"2020-11-21T12:15:00+01:00",309,1155
"2020-11-20T12:15:00+01:00",304,1179
"2020-11-19T12:15:00+01:00",301,1162
"2020-11-18T12:15:00+01:00",302,1208
"2020-11-17T12:15:00+01:00",293,1218
"2020-11-16T12:15:00+01:00",272,1163
"2020-11-15T12:15:00+01:00",266,1133
"2020-11-14T12:15:00+01:00",272,1198
"2020-11-13T12:15:00+01:00",264,1216
"2020-11-12T12:15:00+01:00",260,1211
"2020-11-11T12:15:00+01:00",258,1199
"2020-11-10T12:15:00+01:00",268,1220
"2020-11-09T12:15:00+01:00",268,1166
"2020-11-08T12:15:00+01:00",261,1156
"2020-11-07T12:15:00+01:00",260,1192
"2020-11-06T12:15:00+01:00",247,1217
"2020-11-05T12:15:00+01:00",240,1243
"2020-11-04T12:15:00+01:00",232,1240
