"betriebssituationEingeschraenkt","betriebssituationKeineAngabe","betriebssituationRegulaererBetrieb","betriebssituationTeilweiseEingeschraenkt",date
2,0,16,2,"2020-03-20T12:15:00+01:00"
2,0,23,5,"2020-03-21T12:15:00+01:00"
2,0,24,6,"2020-03-22T12:15:00+01:00"
2,0,25,6,"2020-03-23T12:15:00+01:00"
2,0,27,7,"2020-03-24T12:15:00+01:00"
2,0,30,7,"2020-03-25T12:15:00+01:00"
2,0,30,7,"2020-03-26T12:15:00+01:00"
1,0,29,7,"2020-03-27T12:15:00+01:00"
1,0,29,6,"2020-03-28T12:15:00+01:00"
1,0,29,6,"2020-03-29T12:15:00+02:00"
1,0,32,5,"2020-03-30T12:15:00+02:00"
1,0,34,5,"2020-03-31T12:15:00+02:00"
1,0,34,7,"2020-04-01T12:15:00+02:00"
2,0,34,9,"2020-04-02T12:15:00+02:00"
2,0,33,10,"2020-04-03T12:15:00+02:00"
2,0,37,9,"2020-04-04T12:15:00+02:00"
2,2,34,9,"2020-04-05T12:15:00+02:00"
1,2,33,9,"2020-04-06T12:15:00+02:00"
1,6,32,8,"2020-04-07T12:15:00+02:00"
3,4,35,3,"2020-04-08T12:15:00+02:00"
3,7,37,2,"2020-04-09T12:15:00+02:00"
3,7,39,2,"2020-04-10T12:15:00+02:00"
2,7,37,2,"2020-04-11T12:15:00+02:00"
2,6,37,3,"2020-04-12T12:15:00+02:00"
2,5,37,3,"2020-04-13T12:15:00+02:00"
3,4,38,2,"2020-04-14T12:15:00+02:00"
3,4,40,2,"2020-04-15T12:15:00+02:00"
3,4,43,1,"2020-04-16T12:15:00+02:00"
4,3,49,5,"2020-04-17T12:15:00+02:00"
4,5,50,4,"2020-04-18T12:15:00+02:00"
4,5,50,4,"2020-04-19T12:15:00+02:00"
4,2,53,5,"2020-04-20T12:15:00+02:00"
4,2,52,5,"2020-04-21T12:15:00+02:00"
4,3,55,4,"2020-04-22T12:15:00+02:00"
4,3,55,5,"2020-04-23T12:15:00+02:00"
3,5,53,6,"2020-04-24T12:15:00+02:00"
3,3,55,7,"2020-04-25T12:15:00+02:00"
3,6,53,6,"2020-04-26T12:15:00+02:00"
3,4,56,6,"2020-04-27T12:15:00+02:00"
3,5,57,6,"2020-04-28T12:15:00+02:00"
2,8,56,6,"2020-04-29T12:15:00+02:00"
2,8,56,6,"2020-04-30T12:15:00+02:00"
2,7,57,6,"2020-05-01T12:15:00+02:00"
2,5,60,5,"2020-05-02T12:15:00+02:00"
2,4,61,5,"2020-05-03T12:15:00+02:00"
