date,faelleCovidAktuell
"2021-01-12T12:15:00+01:00",516
"2021-01-11T12:15:00+01:00",497
"2021-01-10T12:15:00+01:00",498
"2021-01-09T12:15:00+01:00",515
"2021-01-08T12:15:00+01:00",528
"2021-01-07T12:15:00+01:00",514
"2021-01-06T12:15:00+01:00",521
"2021-01-05T12:15:00+01:00",543
"2021-01-04T12:15:00+01:00",539
"2021-01-03T12:15:00+01:00",556
"2021-01-02T12:15:00+01:00",563
"2021-01-01T12:15:00+01:00",564
"2020-12-31T12:15:00+01:00",575
"2020-12-30T12:15:00+01:00",572
"2020-12-29T12:15:00+01:00",580
"2020-12-28T12:15:00+01:00",565
"2020-12-27T12:15:00+01:00",581
"2020-12-26T12:15:00+01:00",578
"2020-12-25T12:15:00+01:00",564
"2020-12-24T12:15:00+01:00",579
"2020-12-23T12:15:00+01:00",594
"2020-12-22T12:15:00+01:00",581
"2020-12-21T12:15:00+01:00",595
"2020-12-20T12:15:00+01:00",589
"2020-12-19T12:15:00+01:00",582
"2020-12-18T12:15:00+01:00",575
"2020-12-17T12:15:00+01:00",573
"2020-12-16T12:15:00+01:00",580
"2020-12-15T12:15:00+01:00",552
"2020-12-14T12:15:00+01:00",540
"2020-12-13T12:15:00+01:00",520
"2020-12-12T12:15:00+01:00",523
"2020-12-11T12:15:00+01:00",512
"2020-12-10T12:15:00+01:00",470
"2020-12-09T12:15:00+01:00",461
"2020-12-08T12:15:00+01:00",452
"2020-12-07T12:15:00+01:00",440
"2020-12-06T12:15:00+01:00",422
"2020-12-05T12:15:00+01:00",415
"2020-12-04T12:15:00+01:00",418
"2020-12-03T12:15:00+01:00",420
"2020-12-02T12:15:00+01:00",410
"2020-12-01T12:15:00+01:00",385
"2020-11-30T12:15:00+01:00",378
"2020-11-29T12:15:00+01:00",376
"2020-11-28T12:15:00+01:00",360
"2020-11-27T12:15:00+01:00",347
"2020-11-26T12:15:00+01:00",342
"2020-11-25T12:15:00+01:00",345
"2020-11-24T12:15:00+01:00",325
"2020-11-23T12:15:00+01:00",322
"2020-11-22T12:15:00+01:00",308
"2020-11-21T12:15:00+01:00",309
"2020-11-20T12:15:00+01:00",304
"2020-11-19T12:15:00+01:00",301
"2020-11-18T12:15:00+01:00",302
"2020-11-17T12:15:00+01:00",293
"2020-11-16T12:15:00+01:00",272
"2020-11-15T12:15:00+01:00",266
"2020-11-14T12:15:00+01:00",272
"2020-11-13T12:15:00+01:00",264
"2020-11-12T12:15:00+01:00",260
"2020-11-11T12:15:00+01:00",258
"2020-11-10T12:15:00+01:00",268
"2020-11-09T12:15:00+01:00",268
"2020-11-08T12:15:00+01:00",261
"2020-11-07T12:15:00+01:00",260
"2020-11-06T12:15:00+01:00",247
"2020-11-05T12:15:00+01:00",240
"2020-11-04T12:15:00+01:00",232
"2020-11-03T12:15:00+01:00",212
"2020-11-02T12:15:00+01:00",202
"2020-11-01T12:15:00+01:00",184
"2020-10-31T12:15:00+01:00",174
"2020-10-30T12:15:00+01:00",166
"2020-10-29T12:15:00+01:00",158
"2020-10-28T12:15:00+01:00",146
"2020-10-27T12:15:00+01:00",151
"2020-10-26T12:15:00+01:00",142
"2020-10-25T12:15:00+01:00",120
"2020-10-24T12:15:00+02:00",107
"2020-10-23T12:15:00+02:00",101
"2020-10-22T12:15:00+02:00",87
"2020-10-21T12:15:00+02:00",84
"2020-10-20T12:15:00+02:00",53
"2020-10-19T12:15:00+02:00",53
"2020-10-18T12:15:00+02:00",50
"2020-10-17T12:15:00+02:00",48
"2020-10-16T12:15:00+02:00",45
"2020-10-15T12:15:00+02:00",40
"2020-10-14T12:15:00+02:00",37
"2020-10-13T12:15:00+02:00",35
"2020-10-12T12:15:00+02:00",32
"2020-10-11T12:15:00+02:00",30
"2020-10-10T12:15:00+02:00",27
"2020-10-09T12:15:00+02:00",22
"2020-10-08T12:15:00+02:00",22
"2020-10-07T12:15:00+02:00",21
"2020-10-06T12:15:00+02:00",19
"2020-10-05T12:15:00+02:00",15
"2020-10-04T12:15:00+02:00",14
"2020-10-03T12:15:00+02:00",12
"2020-10-02T12:15:00+02:00",12
"2020-10-01T12:15:00+02:00",12
"2020-09-30T12:15:00+02:00",9
"2020-09-29T12:15:00+02:00",10
"2020-09-28T12:15:00+02:00",9
"2020-09-27T12:15:00+02:00",7
"2020-09-26T12:15:00+02:00",7
"2020-09-25T12:15:00+02:00",8
"2020-09-24T12:15:00+02:00",9
"2020-09-23T12:15:00+02:00",8
"2020-09-22T12:15:00+02:00",7
"2020-09-21T12:15:00+02:00",6
"2020-09-20T12:15:00+02:00",7
"2020-09-19T12:15:00+02:00",7
"2020-09-18T12:15:00+02:00",8
"2020-09-17T12:15:00+02:00",7
"2020-09-16T12:15:00+02:00",10
"2020-09-15T12:15:00+02:00",8
"2020-09-14T12:15:00+02:00",8
"2020-09-13T12:15:00+02:00",6
"2020-09-12T12:15:00+02:00",6
"2020-09-11T12:15:00+02:00",6
"2020-09-10T12:15:00+02:00",6
"2020-09-09T12:15:00+02:00",8
"2020-09-08T12:15:00+02:00",7
"2020-09-07T12:15:00+02:00",6
"2020-09-06T12:15:00+02:00",6
"2020-09-05T12:15:00+02:00",6
"2020-09-04T12:15:00+02:00",6
"2020-09-03T12:15:00+02:00",6
"2020-09-02T12:15:00+02:00",6
"2020-09-01T12:15:00+02:00",5
"2020-08-31T12:15:00+02:00",5
"2020-08-30T12:15:00+02:00",6
"2020-08-29T12:15:00+02:00",6
"2020-08-28T12:15:00+02:00",6
"2020-08-27T12:15:00+02:00",7
"2020-08-26T12:15:00+02:00",5
"2020-08-25T12:15:00+02:00",5
"2020-08-24T12:15:00+02:00",5
"2020-08-23T12:15:00+02:00",5
"2020-08-22T12:15:00+02:00",5
"2020-08-21T12:15:00+02:00",5
"2020-08-20T12:15:00+02:00",6
"2020-08-19T12:15:00+02:00",5
"2020-08-18T12:15:00+02:00",5
"2020-08-17T12:15:00+02:00",4
"2020-08-16T12:15:00+02:00",4
"2020-08-15T12:15:00+02:00",4
"2020-08-14T12:15:00+02:00",6
"2020-08-13T12:15:00+02:00",5
"2020-08-12T12:15:00+02:00",4
"2020-08-11T12:15:00+02:00",6
"2020-08-10T12:15:00+02:00",6
"2020-08-09T12:15:00+02:00",6
"2020-08-08T12:15:00+02:00",6
"2020-08-07T12:15:00+02:00",6
"2020-08-06T12:15:00+02:00",5
"2020-08-05T12:15:00+02:00",5
"2020-08-04T12:15:00+02:00",25
"2020-08-03T12:15:00+02:00",26
"2020-08-02T12:15:00+02:00",26
"2020-08-01T12:15:00+02:00",25
"2020-07-31T12:15:00+02:00",27
"2020-07-30T12:15:00+02:00",25
"2020-07-29T12:15:00+02:00",25
"2020-07-28T12:15:00+02:00",26
"2020-07-27T12:15:00+02:00",27
"2020-07-26T12:15:00+02:00",27
"2020-07-25T12:15:00+02:00",26
"2020-07-24T12:15:00+02:00",27
"2020-07-23T12:15:00+02:00",27
"2020-07-22T12:15:00+02:00",27
"2020-07-21T12:15:00+02:00",27
"2020-07-20T12:15:00+02:00",27
"2020-07-19T12:15:00+02:00",28
"2020-07-18T12:15:00+02:00",28
"2020-07-17T12:15:00+02:00",29
"2020-07-16T12:15:00+02:00",30
"2020-07-15T12:15:00+02:00",29
"2020-07-14T12:15:00+02:00",28
"2020-07-13T12:15:00+02:00",29
"2020-07-12T12:15:00+02:00",29
"2020-07-11T12:15:00+02:00",29
"2020-07-10T12:15:00+02:00",29
"2020-07-09T12:15:00+02:00",27
"2020-07-08T12:15:00+02:00",27
"2020-07-07T12:15:00+02:00",29
"2020-07-06T12:15:00+02:00",30
"2020-07-05T12:15:00+02:00",31
"2020-07-04T12:15:00+02:00",33
"2020-07-03T12:15:00+02:00",33
"2020-07-02T12:15:00+02:00",35
"2020-07-01T12:15:00+02:00",34
"2020-06-30T12:15:00+02:00",33
"2020-06-29T12:15:00+02:00",35
"2020-06-28T12:15:00+02:00",35
"2020-06-27T12:15:00+02:00",35
"2020-06-26T12:15:00+02:00",37
"2020-06-25T12:15:00+02:00",35
"2020-06-24T12:15:00+02:00",34
"2020-06-23T12:15:00+02:00",32
"2020-06-22T12:15:00+02:00",32
"2020-06-21T12:15:00+02:00",32
"2020-06-20T12:15:00+02:00",35
"2020-06-19T12:15:00+02:00",32
"2020-06-18T12:15:00+02:00",33
"2020-06-17T12:15:00+02:00",33
"2020-06-16T12:15:00+02:00",31
"2020-06-15T12:15:00+02:00",29
"2020-06-14T12:15:00+02:00",29
"2020-06-13T12:15:00+02:00",29
"2020-06-12T12:15:00+02:00",29
"2020-06-11T12:15:00+02:00",29
"2020-06-10T12:15:00+02:00",30
"2020-06-09T12:15:00+02:00",31
"2020-06-08T12:15:00+02:00",30
"2020-06-07T12:15:00+02:00",30
"2020-06-06T12:15:00+02:00",30
"2020-06-05T12:15:00+02:00",33
"2020-06-04T12:15:00+02:00",33
"2020-06-03T12:15:00+02:00",32
"2020-06-02T12:15:00+02:00",33
"2020-06-01T12:15:00+02:00",32
"2020-05-31T12:15:00+02:00",34
"2020-05-30T12:15:00+02:00",33
"2020-05-29T12:15:00+02:00",37
"2020-05-28T12:15:00+02:00",39
"2020-05-27T12:15:00+02:00",38
"2020-05-26T12:15:00+02:00",43
"2020-05-25T12:15:00+02:00",47
"2020-05-24T12:15:00+02:00",46
"2020-05-23T12:15:00+02:00",45
