date,Belegte Betten,Freie Betten,Notfallreserve
2020-10-22T12:15:00+02:00,1220,523,732
2020-10-21T12:15:00+02:00,1213,542,720
2020-10-20T12:15:00+02:00,1185,589,713
2020-10-19T12:15:00+02:00,1164,622,703
2020-10-18T12:15:00+02:00,1156,626,702
2020-10-17T12:15:00+02:00,1177,594,695
2020-10-16T12:15:00+02:00,1243,552,698
2020-10-15T12:15:00+02:00,1229,567,700
2020-10-14T12:15:00+02:00,1206,590,702
2020-10-13T12:15:00+02:00,1172,624,701
2020-10-12T12:15:00+02:00,1141,656,702
2020-10-11T12:15:00+02:00,1116,671,709
2020-10-10T12:15:00+02:00,1173,615,707
2020-10-09T12:15:00+02:00,1204,590,698
2020-10-08T12:15:00+02:00,1210,587,695
2020-10-07T12:15:00+02:00,1215,573,700
2020-10-06T12:15:00+02:00,1178,607,699
2020-10-05T12:15:00+02:00,1143,643,708
2020-10-04T12:15:00+02:00,1130,648,709
2020-10-03T12:15:00+02:00,1178,602,701
2020-10-02T12:15:00+02:00,1198,592,701
2020-10-01T12:15:00+02:00,1195,608,701
2020-09-30T12:15:00+02:00,1193,622,680
2020-09-29T12:15:00+02:00,1164,644,673
2020-09-28T12:15:00+02:00,1131,643,708
2020-09-27T12:15:00+02:00,1129,636,712
2020-09-26T12:15:00+02:00,1185,582,706
2020-09-25T12:15:00+02:00,1199,571,713
2020-09-24T12:15:00+02:00,1215,552,710
2020-09-23T12:15:00+02:00,1223,567,720
2020-09-22T12:15:00+02:00,1233,557,717
2020-09-21T12:15:00+02:00,1169,599,747
2020-09-20T12:15:00+02:00,1195,557,743
2020-09-19T12:15:00+02:00,1218,543,740
2020-09-18T12:15:00+02:00,1265,500,739
2020-09-17T12:15:00+02:00,1246,527,738
2020-09-16T12:15:00+02:00,1250,523,739
2020-09-15T12:15:00+02:00,1218,553,740
2020-09-14T12:15:00+02:00,1178,592,747
2020-09-13T12:15:00+02:00,1195,573,748
2020-09-12T12:15:00+02:00,1250,517,742
2020-09-11T12:15:00+02:00,1271,502,744
2020-09-10T12:15:00+02:00,1277,496,741
2020-09-09T12:15:00+02:00,1258,515,740
2020-09-08T12:15:00+02:00,1245,529,737
2020-09-07T12:15:00+02:00,1182,586,736
2020-09-06T12:15:00+02:00,1182,580,738
2020-09-05T12:15:00+02:00,1225,535,739
