date,intensiv_betten_belegt,intensiv_betten_frei,"intensiv_betten_notfall7d"
"2021-01-16T12:15:00+01:00",1195,289,615
"2021-01-15T12:15:00+01:00",1205,290,613
"2021-01-14T12:15:00+01:00",1215,280,609
"2021-01-13T12:15:00+01:00",1206,291,607
"2021-01-12T12:15:00+01:00",1192,298,616
"2021-01-11T12:15:00+01:00",1172,314,614
"2021-01-10T12:15:00+01:00",1168,314,615
"2021-01-09T12:15:00+01:00",1206,278,612
"2021-01-08T12:15:00+01:00",1226,262,613
"2021-01-07T12:15:00+01:00",1228,260,610
"2021-01-06T12:15:00+01:00",1220,266,613
"2021-01-05T12:15:00+01:00",1216,264,613
"2021-01-04T12:15:00+01:00",1192,283,613
"2021-01-03T12:15:00+01:00",1221,246,620
"2021-01-02T12:15:00+01:00",1221,246,619
"2021-01-01T12:15:00+01:00",1230,240,615
"2020-12-31T12:15:00+01:00",1238,240,613
"2020-12-30T12:15:00+01:00",1256,235,609
"2020-12-29T12:15:00+01:00",1258,227,615
"2020-12-28T12:15:00+01:00",1231,253,614
"2020-12-27T12:15:00+01:00",1210,258,618
"2020-12-26T12:15:00+01:00",1227,246,618
"2020-12-25T12:15:00+01:00",1217,242,622
"2020-12-24T12:15:00+01:00",1257,214,619
"2020-12-23T12:15:00+01:00",1268,222,611
"2020-12-22T12:15:00+01:00",1282,196,616
"2020-12-21T12:15:00+01:00",1287,192,625
"2020-12-20T12:15:00+01:00",1294,216,619
"2020-12-19T12:15:00+01:00",1312,201,613
"2020-12-18T12:15:00+01:00",1333,189,608
"2020-12-17T12:15:00+01:00",1330,186,619
"2020-12-16T12:15:00+01:00",1350,162,627
"2020-12-15T12:15:00+01:00",1339,177,639
"2020-12-14T12:15:00+01:00",1289,216,643
"2020-12-13T12:15:00+01:00",1287,206,650
"2020-12-12T12:15:00+01:00",1311,188,648
"2020-12-11T12:15:00+01:00",1314,187,651
"2020-12-10T12:15:00+01:00",1303,199,653
"2020-12-09T12:15:00+01:00",1281,221,652
"2020-12-08T12:15:00+01:00",1276,224,669
"2020-12-07T12:15:00+01:00",1237,255,675
"2020-12-06T12:15:00+01:00",1206,287,686
"2020-12-05T12:15:00+01:00",1224,265,684
"2020-12-04T12:15:00+01:00",1233,258,681
"2020-12-03T12:15:00+01:00",1237,251,697
"2020-12-02T12:15:00+01:00",1227,262,698
"2020-12-01T12:15:00+01:00",1201,291,715
"2020-11-30T12:15:00+01:00",1183,301,714
"2020-11-29T12:15:00+01:00",1165,327,719
"2020-11-28T12:15:00+01:00",1195,300,720
"2020-11-27T12:15:00+01:00",1178,323,718
"2020-11-26T12:15:00+01:00",1208,304,715
"2020-11-25T12:15:00+01:00",1196,304,724
"2020-11-24T12:15:00+01:00",1198,316,726
"2020-11-23T12:15:00+01:00",1164,360,719
"2020-11-22T12:15:00+01:00",1144,372,727
"2020-11-21T12:15:00+01:00",1155,359,729
"2020-11-20T12:15:00+01:00",1179,335,728
"2020-11-19T12:15:00+01:00",1162,371,712
"2020-11-18T12:15:00+01:00",1208,334,702
"2020-11-17T12:15:00+01:00",1218,324,704
"2020-11-16T12:15:00+01:00",1163,377,697
"2020-11-15T12:15:00+01:00",1133,390,714
"2020-11-14T12:15:00+01:00",1198,320,717
"2020-11-13T12:15:00+01:00",1216,314,696
"2020-11-12T12:15:00+01:00",1211,336,687
"2020-11-11T12:15:00+01:00",1199,360,686
"2020-11-10T12:15:00+01:00",1220,346,685
"2020-11-09T12:15:00+01:00",1166,392,690
"2020-11-08T12:15:00+01:00",1156,384,701
"2020-11-07T12:15:00+01:00",1192,348,703
"2020-11-06T12:15:00+01:00",1217,332,706
"2020-11-05T12:15:00+01:00",1243,316,704
"2020-11-04T12:15:00+01:00",1240,318,708
"2020-11-03T12:15:00+01:00",1216,396,664
"2020-11-02T12:15:00+01:00",1158,450,695
