"Datum";"Jahr";"Monat";"Tag";"Laborbestätigte Fälle";"Laborbestätigte Fälle (kumuliert)";"Einweisung Krankenhaus";"Einweisung Krankenhaus (kumuliert)";"Sterbefälle";"Sterbefälle (kumuliert)";"Genesung (geschätzt)";"Genesung (geschätzt, kumuliert)";"Patienten im Krankenhaus"
"2020-03-07";"2020";"03 ";"07";2;2;0;0;0;0;0;0;0
"2020-03-08";"2020";"03 ";"08";0;2;0;0;0;0;0;0;0
"2020-03-09";"2020";"03 ";"09";0;2;0;0;0;0;0;0;0
"2020-03-10";"2020";"03 ";"10";3;5;0;0;0;0;0;0;0
"2020-03-11";"2020";"03 ";"11";0;5;2;2;0;0;0;0;0
"2020-03-12";"2020";"03 ";"12";0;5;0;2;0;0;0;0;0
"2020-03-13";"2020";"03 ";"13";7;12;0;2;0;0;0;0;0
"2020-03-14";"2020";"03 ";"14";6;18;0;2;0;0;0;0;0
"2020-03-15";"2020";"03 ";"15";0;18;1;3;0;0;0;0;0
"2020-03-16";"2020";"03 ";"16";7;25;1;4;0;0;0;0;0
"2020-03-17";"2020";"03 ";"17";10;35;1;5;0;0;0;0;0
"2020-03-18";"2020";"03 ";"18";15;50;1;6;0;0;0;0;0
"2020-03-19";"2020";"03 ";"19";10;60;2;8;0;0;0;0;0
"2020-03-20";"2020";"03 ";"20";37;97;1;9;0;0;0;0;0
"2020-03-21";"2020";"03 ";"21";18;115;1;10;0;0;2;2;0
"2020-03-22";"2020";"03 ";"22";24;139;1;11;0;0;0;2;0
"2020-03-23";"2020";"03 ";"23";15;154;3;14;1;1;1;3;0
"2020-03-24";"2020";"03 ";"24";13;167;3;17;1;2;2;5;0
"2020-03-25";"2020";"03 ";"25";49;216;0;17;0;2;1;6;0
"2020-03-26";"2020";"03 ";"26";23;239;0;17;0;2;7;13;0
"2020-03-27";"2020";"03 ";"27";48;287;6;23;0;2;7;20;0
"2020-03-28";"2020";"03 ";"28";27;314;2;25;0;2;11;31;0
"2020-03-29";"2020";"03 ";"29";6;320;3;28;1;3;4;35;0
