Datum,bestätigte Fälle,in stationärer Behandlung,verstorben
10.03.2020,3,null,null
11.03.2020,3,null,null
12.03.2020,3,null,null
13.03.2020,6,null,null
14.03.2020,6,null,null
15.03.2020,6,null,null
16.03.2020,13,null,null
17.03.2020,16,null,null
18.03.2020,18,null,null
19.03.2020,27,null,null
20.03.2020,31,null,null
21.03.2020,46,null,null
22.03.2020,53,null,null
23.03.2020,55,null,null
24.03.2020,59,null,null
25.03.2020,61,null,null
26.03.2020,71,null,null
27.03.2020,74,null,null
28.03.2020,87,null,null
29.03.2020,96,null,null
30.03.2020,104,14,null
31.03.2020,114,16,null
01.04.2020,117,16,null
02.04.2020,133,20,null
03.04.2020,134,26,1
04.04.2020,143,35,2
05.04.2020,147,37,2
06.04.2020,148,37,3
07.04.2020,151,37,3
08.04.2020,156,37,3
09.04.2020,166,37,3
11.04.2020,171,34,3
13.04.2020,178,37,3
14.04.2020,182,37,3
15.04.2020,185,45,4
16.04.2020,186,35,4
17.04.2020,189,43,4
18.04.2020,190,39,4
19.04.2020,192,39,4
20.04.2020,192,39,4
21.04.2020,192,31,4
22.04.2020,193,23,5
23.04.2020,194,23,5
24.04.2020,195,23,5
25.04.2020,196,23,5
26.04.2020,196,19,5
27.04.2020,196,19,5
28.04.2020,196,14,5
29.04.2020,196,13,5
30.04.2020,197,14,5
01.05.2020,197,11,5
02.05.2020,198,9,5
03.05.2020,198,7,5
04.05.2020,198,9,5
05.05.2020,198,13,5
06.05.2020,198,13,5
07.05.2020,199,16,5
08.05.2020,199,4,5
09.05.2020,199,5,5
10.05.2020,199,3,6
11.05.2020,199,3,6
12.05.2020,199,3,6
13.05.2020,200,3,6
14.05.2020,201,3,6
15.05.2020,201,3,6
16.05.2020,201,3,6
17.05.2020,202,2,6
18.05.2020,202,3,6
19.05.2020,202,3,6
20.05.2020,202,2,6
21.05.2020,202,2,6
22.05.2020,202,2,6
23.05.2020,203,2,6
25.05.2020,203,2,6
26.05.2020,204,2,6
27.05.2020,204,2,6
28.05.2020,204,2,6
29.05.2020,204,2,6
