10.07.2020,bestätigte Fälle,in stationärer Behandlung,6
13.07.2020,211,null,6
14.07.2020,211,null,6
15.07.2020,212,null,6
16.07.2020,212,null,6
17.07.2020,214,null,6
20.07.2020,214,null,6
21.07.2020,214,null,6
22.07.2020,214,null,6
23.07.2020,214,null,6
24.07.2020,216,null,6
27.07.2020,217,null,6
28.07.2020,217,null,6
29.07.2020,222,null,6
30.07.2020,222,null,6
31.07.2020,225,null,6
01.08.2020,226,null,6
02.08.2020,226,null,6
03.08.2020,227,null,6
04.08.2020,227,null,6
05.08.2020,229,null,6
06.08.2020,232,null,6
07.08.2020,232,null,6
10.08.2020,235,null,6
11.08.2020,236,null,6
12.08.2020,236,null,6
13.08.2020,236,null,6
14.08.2020,237,null,6
17.08.2020,239,null,6
18.08.2020,239,null,6
19.08.2020,240,null,6
20.08.2020,241,null,6
21.08.2020,241,null,6
24.08.2020,241,null,6
25.08.2020,242,null,6
26.08.2020,245,null,6
27.08.2020,246,null,6
28.08.2020,248,null,6
31.08.2020,254,null,6
01.09.2020,254,null,6
02.09.2020,258,null,6
03.09.2020,259,null,6
04.09.2020,260,null,6
07.09.2020,261,null,6
08.09.2020,264,null,6
09.09.2020,267,null,6
10.09.2020,268,null,6
11.09.2020,270,null,6
14.09.2020,274,null,6
15.09.2020,275,null,6
16.09.2020,280,null,6
17.09.2020,284,null,6
18.09.2020,287,2,6
21.09.2020,293,3,6
22.09.2020,293,3,6
23.09.2020,299,4,6
24.09.2020,309,4,6
25.09.2020,316,4,6
28.09.2020,324,5,6
29.09.2020,326,5,6
30.09.2020,336,6,6
01.10.2020,338,5,6
02.10.2020,340,5,6
05.10.2020,346,5,6
06.10.2020,355,5,6
07.10.2020,361,6,6
08.10.2020,376,8,6
09.10.2020,381,10,6
12.10.2020,402,19,6
13.10.2020,415,20,6
14.10.2020,434,22,6
15.10.2020,452,28,6
16.10.2020,479,27,6
19.10.2020,540,35,7
20.10.2020,551,27,7
21.10.2020,571,29,7
22.10.2020,592,32,7
23.10.2020,620,35,7
26.10.2020,697,44,8
27.10.2020,789,46,9
28.10.2020,829,51,9
29.10.2020,901,58,9
30.10.2020,954,64,9
02.11.2020,1091,85,9
03.11.2020,1131,84,10
04.11.2020,1193,90,10
05.11.2020,1295,89,10
06.11.2020,1433,89,11
09.11.2020,1636,97,11
10.11.2020,1642,104,11
11.11.2020,1699,123,12
12.11.2020,1740,138,12
13.11.2020,1790,142,12
14.11.2020,1884,null,12
15.11.2020,1921,null,null
16.11.2020,1936,152,16
18.11.2020,2051,159,16
19.11.2020,2212,179,16
22.11.2020,2453,199,16
23.11.2020,2529,204,16
24.11.2020,2613,205,19
25.11.2020,2709,201,50
26.11.2020,2849,210,50
