GEN,AGS,25.01.2021,26.01.2021,27.01.2021,28.01.2021,29.01.2021,30.01.2021,31.01.2021,01.02.2021,02.02.2021,03.02.2021,04.02.2021,05.02.2021,06.02.2021,07.02.2021,08.02.2021,09.02.2021,10.02.2021,11.02.2021,12.02.2021,13.02.2021,14.02.2021,15.02.2021,16.02.2021,17.02.2021,18.02.2021,19.02.2021,20.02.2021,21.02.2021,22.02.2021,23.02.2021,24.02.2021,25.02.2021,26.02.2021,27.02.2021,28.02.2021,current,current_time
Flensburg,1001,1020.0,,,,1440.0,1440.0,1440.0,1440.0,1440.0,1860.0,1860.0,1860.0,2040.0,2040.0,2040.0,2040.0,2040.0,2040.0,2400.0,2400.0,2520.0,2520.0,2520.0,2520.0,2520.0,2520.0,2520.0,2520.0,2520.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808,3808,28/02/2021 17:30
Kiel,1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Lübeck,1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Neumünster,1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Dithmarschen,1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Herzogtum Lauenburg,1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Nordfriesland,1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Ostholstein,1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Pinneberg,1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Plön,1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Rendsburg-Eckernförde,1058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 17:00
Schleswig-Flensburg,1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Segeberg,1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Steinburg,1061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Stormarn,1062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Hamburg,2000,32435.0,,,,32435.0,32435.0,32435.0,32435.0,32435.0,32435.0,32435.0,32435.0,53886.0,53886.0,53886.0,53886.0,53886.0,53886.0,53886.0,53886.0,53886.0,53886.0,53886.0,53886.0,53886.0,113615.0,119987.0,119987.0,119987.0,119987.0,135348.0,135348.0,135348.0,135348.0,147871,147871,28/02/2021 00:00
