GEN,AGS,25.01.2021,26.01.2021,27.01.2021,28.01.2021,29.01.2021,30.01.2021,31.01.2021,01.02.2021,02.02.2021,03.02.2021,04.02.2021,05.02.2021,06.02.2021,07.02.2021,08.02.2021,09.02.2021,10.02.2021,11.02.2021,12.02.2021,13.02.2021,14.02.2021,15.02.2021,16.02.2021,17.02.2021,18.02.2021,19.02.2021,20.02.2021,21.02.2021,22.02.2021,23.02.2021,24.02.2021,25.02.2021,26.02.2021,27.02.2021,28.02.2021,01.03.2021,02.03.2021,03.03.2021,04.03.2021,05.03.2021,06.03.2021,07.03.2021,08.03.2021,09.03.2021,10.03.2021,11.03.2021,12.03.2021,13.03.2021,14.03.2021,15.03.2021,16.03.2021,17.03.2021,18.03.2021,19.03.2021,20.03.2021,21.03.2021,22.03.2021,23.03.2021,24.03.2021,25.03.2021,26.03.2021,27.03.2021,28.03.2021,29.03.2021,30.03.2021,31.03.2021,01.04.2021,02.04.2021,03.04.2021,04.04.2021,05.04.2021,06.04.2021,07.04.2021,08.04.2021,09.04.2021,10.04.2021,11.04.2021,12.04.2021,13.04.2021,14.04.2021,15.04.2021,16.04.2021,17.04.2021,18.04.2021,19.04.2021,20.04.2021,21.04.2021,current,current_time
Flensburg,1001,1020.0,,,,1440.0,1440.0,1440.0,1440.0,1440.0,1860.0,1860.0,1860.0,2040.0,2040.0,2040.0,2040.0,2040.0,2040.0,2400.0,2400.0,2520.0,2520.0,2520.0,2520.0,2520.0,2520.0,2520.0,2520.0,2520.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,15168.0,15168.0,15168.0,21573.0,21573.0,21573.0,21573.0,21573.0,21573.0,21573.0,21573,21573,20/04/2021 00:00
Kiel,1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/04/2021 00:00
Lübeck,1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/04/2021 00:00
Neumünster,1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/04/2021 00:00
Dithmarschen,1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/04/2021 00:00
Herzogtum Lauenburg,1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/04/2021 00:00
Nordfriesland,1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/04/2021 00:00
Ostholstein,1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/04/2021 00:00
Pinneberg,1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/04/2021 00:00
Plön,1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/04/2021 00:00
Rendsburg-Eckernförde,1058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/04/2021 16:00
Schleswig-Flensburg,1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612,17612,21/04/2021 00:00
Segeberg,1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/04/2021 00:00
Steinburg,1061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/04/2021 00:00
Stormarn,1062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/04/2021 00:00
Hamburg,2000,32435.0,,,,32435.0,32435.0,32435.0,32435.0,32435.0,32435.0,32435.0,32435.0,53886.0,53886.0,53886.0,53886.0,53886.0,53886.0,53886.0,53886.0,53886.0,53886.0,53886.0,53886.0,53886.0,113615.0,119987.0,119987.0,119987.0,119987.0,135348.0,135348.0,135348.0,135348.0,147871.0,147871.0,156523.0,159898.0,159898.0,159898.0,174901.0,174901.0,174901.0,188415.0,188415.0,200591.0,200591.0,211810.0,211810.0,211810.0,211810.0,231408.0,231408.0,240381.0,240381.0,244660.0,244660.0,244660.0,260973.0,260973.0,260973.0,260973.0,260973.0,260973.0,260973.0,260973.0,304596.0,304596.0,304596.0,304596.0,304596.0,304596.0,304596.0,304596.0,304596.0,364131.0,364131.0,364131.0,364131.0,364131.0,395094.0,412815.0,412815.0,412815.0,412815.0,412815.0,412815,412815,21/04/2021 00:00
Braunschweig,3101,4181.0,,,,4181.0,4181.0,4181.0,4181.0,4181.0,4181.0,4181.0,4181.0,4181.0,4181.0,4181.0,4181.0,4181.0,4181.0,4181.0,4181.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,14337.0,14337.0,14337.0,14337.0,14337.0,14337.0,14337.0,14337.0,14337.0,14337.0,14337.0,14337.0,14337.0,20571.0,20571.0,20571.0,20571.0,20571.0,20571.0,20571.0,20571.0,20571.0,20571.0,20571.0,20571.0,20571.0,27155.0,27155.0,27155.0,27155.0,27155.0,27155.0,27155.0,34594.0,34594.0,34594.0,34594.0,34594.0,34594.0,34594.0,34594.0,34594.0,34594.0,34594.0,34594.0,34594.0,46217.0,46217.0,46217.0,46217.0,46217.0,46217.0,46217.0,49178.0,49178.0,49178.0,49178.0,49178.0,49178.0,49178.0,49178,49178,21/04/2021 00:00
Salzgitter,3102,1995.0,,,,2797.0,2797.0,3462.0,3462.0,3462.0,3462.0,3462.0,3462.0,3462.0,3462.0,3462.0,3462.0,3462.0,3462.0,3462.0,3462.0,3462.0,3462.0,3462.0,3462.0,3462.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,11500.0,11841.0,11841.0,11841.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532,23532,20/04/2021 00:00
Wolfsburg,3103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692,14692,20/04/2021 00:00
Gifhorn,3151,2348.0,,,,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,5476.0,5476.0,5476.0,8933.0,8933.0,8933.0,8933.0,8933.0,8933.0,8933.0,8933.0,8933.0,8933.0,11041.0,11041.0,11041.0,11041.0,11041.0,11041.0,11041.0,11041.0,11041.0,11041.0,11041.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,28037.0,28037.0,28037.0,28037.0,28037.0,28037.0,28037.0,28037,28037,21/04/2021 00:00
Goslar,3153,,,,,3558.0,3558.0,3558.0,3558.0,3558.0,4583.0,4583.0,4583.0,4890.0,5538.0,6260.0,6260.0,6260.0,6260.0,6260.0,7757.0,8037.0,8037.0,8037.0,8037.0,8558.0,8896.0,8896.0,9470.0,9470.0,9470.0,9470.0,10087.0,10087.0,10087.0,11141.0,11141.0,11231.0,11231.0,11231.0,12604.0,12604.0,13523.0,13523.0,13523.0,14428.0,15322.0,15322.0,16532.0,16532.0,16532.0,16532.0,16532.0,17893.0,17893.0,17893.0,19333.0,19333.0,19333.0,21001.0,21746.0,21746.0,21746.0,21746.0,21746.0,21746.0,21746.0,21746.0,21746.0,21746.0,21746.0,21746.0,21746.0,21746.0,28885.0,28885.0,31062.0,31062.0,31062.0,31062.0,33407.0,33407.0,33407.0,33407.0,33407.0,33407.0,33407.0,33407,33407,21/04/2021 00:00
Helmstedt,3154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11394.0,11394.0,11394.0,11394.0,11394.0,11394.0,11394.0,14361.0,14361.0,14361.0,14361.0,14361.0,14361.0,14361.0,14361.0,14361.0,14361.0,14361.0,14361.0,14361.0,14361.0,14361.0,14361.0,14361.0,14361.0,14361.0,14361.0,14361.0,14361.0,14361.0,14361.0,14361.0,14361,14361,21/04/2021 00:00
Northeim,3155,1773.0,,,,2308.0,2308.0,2308.0,2308.0,2308.0,3073.0,3274.0,3274.0,3274.0,3274.0,4707.0,4707.0,4030.0,4030.0,4030.0,4030.0,4030.0,4030.0,4030.0,4030.0,4030.0,6213.0,6213.0,6213.0,6213.0,6213.0,7230.0,7613.0,7613.0,7613.0,7613.0,7613.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510.0,8510,8510,21/04/2021 00:00
Peine,3157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/04/2021 00:00
Wolfenbüttel,3158,1170.0,,,,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,1170.0,23439.0,23439.0,23439.0,23439.0,23439.0,23439.0,23439.0,23439.0,23439.0,23439.0,23439,23439,21/04/2021 00:00
Göttingen,3159,120.0,,,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34461.0,34461.0,37648.0,37648.0,37648.0,37648.0,37648.0,37648,37648,21/04/2021 00:00
Region Hannover,3241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/04/2021 00:00
Diepholz,3251,2990.0,,,,3210.0,3210.0,3210.0,3210.0,3210.0,3210.0,3210.0,3210.0,3210.0,3210.0,3210.0,3210.0,3210.0,3210.0,3210.0,3210.0,3210.0,3210.0,3210.0,3210.0,3210.0,8946.0,8946.0,8946.0,8946.0,8946.0,8946.0,8946.0,11060.0,11060.0,11060.0,11060.0,11060.0,11060.0,11060.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490.0,13490,13490,20/04/2021 00:00
